,單位：戶,民國109年,,,,2020,Unit:Household,,,,,,,,,
,表３４ 金門縣普通住戶之住宅所有權屬,,Table 34 Kinmen County Home Ownership of Ordinary Households,,,,,,,,,表３４ 普通住戶之住宅所有權屬,表３４ 金門縣普通住戶之住宅所有權屬,表３４,金門縣,普通住戶之住宅所有權屬
,,,,,,,,,,,,Table 34 Home Ownership of Ordinary Households,Table 34 Kinmen County Home Ownership of Ordinary Households,Table 34,Kinmen County,Home Ownership of Ordinary Households
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                    Unit:Household,,,,,,,,,,,,,
,,總 計,自有,不住在一起的配偶、父母或子女所擁有,,租用,配住或其他（含借住）,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grand total,Self-owned,"Owned by spouse,parent or child(ren)not living together",,Rented,Allotted or others(including borrowed),,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,By Township/City/District,,,,,,,,
,金門縣,20037,15848,1703,,1538,948,Kinmen County,,,,,,,,
,金城鎮,6033,4820,366,,588,259,Jincheng Township,,,,,,,,
,金沙鎮,2646,2326,124,,111,85,Jinsha Township,,,,,,,,
,金湖鎮,5096,3962,345,,484,305,Jinhu Township,,,,,,,,
,金寧鄉,5240,3936,729,,323,252,Jinning Township,,,,,,,,
,烈嶼鄉,1004,789,136,,32,47,Lieyu Township,,,,,,,,
,烏坵鄉,18,15,3,,0,0,Wuqiu Township,,,,,,,,
,註：本表僅統計居住於住宅內之普通住戶。,,Note：This table only includes ordinary households living in the housing unit.,,,,,,,,,,,,,
