,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,
,表３８ 金門縣住宅之竣工年份,,Table 38 Kinmen County Completion Year of Construction of Housing Units,,,,,,表３８ 住宅之竣工年份,表３８ 金門縣住宅之竣工年份,表３８,金門縣,住宅之竣工年份
,,,,,,,,,Table 38 Completion Year of Construction of Housing Units,Table 38 Kinmen County Completion Year of Construction of Housing Units,Table 38,Kinmen County,Completion Year of Construction of Housing Units
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,
,,總計,６９年以前,７０－７９年,８０－８９年,,９０－９９年,１００－１０９年2011-2020,,,,,
,,,,,,,,,,,,,
,,,合計,１００－１０４年,１０５－１０９年,,,,,,,,
,,Grand total,Before 1980,1981-1990,1991-2000,,2001-2010,,,,,,
,,,,,,,,,,,,,
,,,Total,2011-2015,2016-2020,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,
,金門縣,23405,5653,3600,4586,,2447,7119,3416,3703,Kinmen County,,
,金城鎮,6797,2036,1148,1644,,427,1542,662,880,Jincheng Township,,
,金沙鎮,3210,957,550,778,,443,482,265,217,Jinsha Township,,
,金湖鎮,5958,1267,935,982,,887,1887,712,1175,Jinhu Township,,
,金寧鄉,5770,755,544,935,,483,3053,1681,1372,Jinning Township,,
,烈嶼鄉,1590,558,423,247,,207,155,96,59,Lieyu Township,,
,烏坵鄉,80,80,0,0,,0,0,0,0,Wuqiu Township,,
