,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,
,表３９ 金門縣住宅之樓地板面積,,Table 39 Kinmen County Total Floor Area of Housing Units,,,,,表３９ 住宅之樓地板面積,表３９ 金門縣住宅之樓地板面積,表３９,金門縣,住宅之樓地板面積
,,,,,,,,Table 39 Total Floor Area of Housing Units,Table 39 Kinmen County Total Floor Area of Housing Units,Table 39,Kinmen County,Total Floor Area of Housing Units
,,,,,,,,,,,,
,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,
,,總 計,未滿６０平方公尺,６０－未滿１２０平方公尺,,１２０－未滿１８０平方公尺,１８０－未滿３００平方公尺,３００平方公尺以上,平均每宅面積（平方公尺 / 宅）,,,
,,,,,,,,,,,,
,,Grand total,Under 60square meters,60-under 120square meters,,120-under 180square meters,180-under 300square meters,300 squaremetersand more,Average floor areaper housing unit(square meter/unit),,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,By Township/City/District,,
,金門縣,23405,2987,6585,,5630,7375,828,150.30000000000001,Kinmen County,,
,金城鎮,6797,813,2037,,1660,2063,224,148.4,Jincheng Township,,
,金沙鎮,3210,296,967,,667,1129,151,160.1,Jinsha Township,,
,金湖鎮,5958,1039,1623,,1683,1476,137,137.4,Jinhu Township,,
,金寧鄉,5770,700,1510,,1239,2086,235,156.19999999999999,Jinning Township,,
,烈嶼鄉,1590,139,446,,369,555,81,162.1,Lieyu Township,,
,烏坵鄉,80,0,2,,12,66,0,219.8,Wuqiu Township,,
