,單位：宅,民國109年,2020,Unit:Housing unit,,,,,,,
,表４０ 金門縣住宅之建築類型,,Table 40 Kinmen County Type of Building,,,,表４０ 住宅之建築類型,表４０ 金門縣住宅之建築類型,表４０,金門縣,住宅之建築類型
,,,,,,,Table 40 Type of Building,Table 40 Kinmen County Type of Building,Table 40,Kinmen County,Type of Building
,,,,,,,,,,,
,,,,,,,,,,,
,單位：宅                     民國109年11月,,November 2020                 Unit:Housing unit,,,,,,,,
,,總 計,平房,２－５樓,,６－１２樓,１３樓以上,,,,
,,,,,,,,,,,
,,Grand total,Flat,2-5 floors,,6-12 floors,13 floorsand over,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,By Township/City/District,,,
,金門縣,23405,5790,16899,,716,0,Kinmen County,,,
,金城鎮,6797,1341,5199,,257,0,Jincheng Township,,,
,金沙鎮,3210,1304,1906,,0,0,Jinsha Township,,,
,金湖鎮,5958,1167,4332,,459,0,Jinhu Township,,,
,金寧鄉,5770,1231,4539,,0,0,Jinning Township,,,
,烈嶼鄉,1590,720,870,,0,0,Lieyu Township,,,
,烏坵鄉,80,27,53,,0,0,Wuqiu Township,,,
,,,,,,,,,,,
,,,,,,,,,,,
,單位：宅,民國109年,2020,Unit:Housing unit,,,,,,,
,表４０ 金門縣住宅之建築類型（續）,,Table 40 Kinmen County Type of Building(Cont.),,,,表４０ 住宅之建築類型,表４０ 金門縣住宅之建築類型,表４０,金門縣,住宅之建築類型
,,,,,,,Table 40 Type of Building,Table 40 Kinmen County Type of Building,Table 40,Kinmen County,Type of Building
,,,,,,,,,,,
,,,,,,,,,,,
,單位：宅                     民國109年11月,,November 2020                 Unit:Housing unit,,,,,,,,
,,總 計,平房,２－５樓,,６－１２樓,１３樓以上,,,,
,,,,,,,,,,,
,,Grand total,Flat,2-5 floors,,6-12 floors,13 floorsand over,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按樓地板面積分,,,,,,,By Total Floor Area,,,
,總計,23405,5790,16899,,716,-,Grand Total,,,
,未滿６０平方公尺,2987,765,1901,,321,-,Under 60 Square Meters,,,
,６０－未滿１２０平方公尺,6585,1898,4384,,303,-,60-Under 120 Square Meters,,,
,１２０－未滿１８０平方公尺,5630,1386,4194,,50,-,120-Under 180 Square Meters,,,
,１８０－未滿３００平方公尺,7375,1556,5781,,38,-,180-Under 300 Square Meters,,,
,３００平方公尺以上,828,185,639,,4,-,300 Square Meters and More,,,
,按竣工年份分,,,,,,,By Completion Year of Construction,,,
,總計,23405,5790,16899,,716,0,Grand Total,,,
,６９年以前,5653,2714,2939,,0,0,Before 1980,,,
,７０－７９年,3600,1198,2402,,0,0,1981-1990,,,
,８０－８９年,4586,1450,3017,,119,0,1991-2000,,,
,９０－９９年,2447,147,2279,,21,0,2001-2010,,,
,１００－１０９年,7119,281,6262,,576,0,2011-2020,,,
,１００－１０４年,3416,181,3156,,79,0,2011-2015,,,
,１０５－１０９年,3703,100,3106,,497,0,2016-2020,,,
