,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,
,表４１ 金門縣空閒住宅之竣工年份,,Table 41 Kinmen County Completion Year of Vacant Housing Units,,,,,,表４１ 空閒住宅之竣工年份,表４１ 金門縣空閒住宅之竣工年份,表４１,金門縣,空閒住宅之竣工年份
,,,,,,,,,Table 41 Completion Year of Vacant Housing Units,Table 41 Kinmen County Completion Year of Vacant Housing Units,Table 41,Kinmen County,Completion Year of Vacant Housing Units
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,
,,總 計,６９年以前,７０－７９年,８０－８９年,,９０－９９年,１００－１０９年2011-2020,,,,,
,,,,,,,,,,,,,
,,,合計,１００－１０４年,１０５－１０９年,,,,,,,,
,,Grand total,Before 1980,1981-1990,1991-2000,,2001-2010,,,,,,
,,,,,,,,,,,,,
,,,Total,2011-2015,2016-2020,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,
,金門縣,7250,1803,860,1102,,543,2942,1226,1716,Kinmen County,,
,金城鎮,1875,489,255,378,,96,657,224,433,Jincheng Township,,
,金沙鎮,992,381,143,213,,97,158,88,70,Jinsha Township,,
,金湖鎮,1933,325,178,254,,187,989,302,687,Jinhu Township,,
,金寧鄉,1706,269,122,170,,88,1057,564,493,Jinning Township,,
,烈嶼鄉,682,277,162,87,,75,81,48,33,Lieyu Township,,
,烏坵鄉,62,62,0,0,,0,0,0,0,Wuqiu Township,,
,註：空閒住宅係指該住宅無人經常居住但包括於假日或偶爾居住，或因工作、出國等原因未經常居住，以及待租、待售、已租、已售、  修繕中或因其他原因而目前(普查期間)未使用等情形。,,"Note：Vacant housing unit refers to a house not being occupied, including occupied sometimes or on holidays, usually living in elsewhere other thanthis house due to work or abroad, for rent, for sale, rented, sold out, under repair, or not in use during the census period for any other reason.",,,,,,,,,,
