,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,,,,,
,表４３ 金門縣有人經常居住住宅之使用情形,,Table 43 Kinmen County Housing Usage of Occupied Housing Units,,,,,,,,,表４３ 有人經常居住住宅之使用情形,表４３ 金門縣有人經常居住住宅之使用情形,表４３,金門縣,有人經常居住住宅之使用情形
,,,,,,,,,,,,Table 43 Housing Usage of Occupied Housing Units,Table 43 Kinmen County Housing Usage of Occupied Housing Units,Table 43,Kinmen County,Housing Usage of Occupied Housing Units
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,,,
,,總 計,住宅專用,住宅兼其他用途,,Residence and other usage,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,合計,,兼工業用,兼商業或服務業用,兼農業用,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grand total,Residence only,,,,,,,,,,,,,
,,Total,,Residence andfactory,Residence andbusiness or service,Residence andagriculture,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,By Township/City/District,,,,,,,
,金門縣,14928,13939,989,,40,948,1,Kinmen County,,,,,,,
,金城鎮,4396,3938,458,,7,451,0,Jincheng Township,,,,,,,
,金沙鎮,2130,2063,67,,6,61,0,Jinsha Township,,,,,,,
,金湖鎮,3796,3479,317,,11,306,0,Jinhu Township,,,,,,,
,金寧鄉,3717,3610,107,,15,92,0,Jinning Township,,,,,,,
,烈嶼鄉,871,831,40,,1,38,1,Lieyu Township,,,,,,,
,烏坵鄉,18,18,0,,0,0,0,Wuqiu Township,,,,,,,
