,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４４ 金門縣有人經常居住住宅之居住人數,,Table 44 Kinmen County Number of Persons of Occupied Housing Units,,,,,,,表４４ 有人經常居住住宅之居住人數,表４４ 金門縣有人經常居住住宅之居住人數,表４４,金門縣,有人經常居住住宅之居住人數
,,,,,,,,,,Table 44 Number of Persons of Occupied Housing Units,Table 44 Kinmen County Number of Persons of Occupied Housing Units,Table 44,Kinmen County,Number of Persons of Occupied Housing Units
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每宅居住人口數（人 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Number of personsper housing unit(person/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,,
,金門縣,14928,3082,3656,2733,,2260,1381,1816,4.0999999999999996,Kinmen County,,,
,金城鎮,4396,822,1110,811,,643,464,546,4.3,Jincheng Township,,,
,金沙鎮,2130,398,565,380,,292,222,273,4,Jinsha Township,,,
,金湖鎮,3796,824,942,743,,575,267,445,4,Jinhu Township,,,
,金寧鄉,3717,833,817,651,,661,349,406,4,Jinning Township,,,
,烈嶼鄉,871,194,216,148,,89,78,146,3.6,Lieyu Township,,,
,烏坵鄉,18,11,6,0,,0,1,0,1.6,Wuqiu Township,,,
