,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４５ 金門縣有人經常居住住宅之房廳數,,Table 45 Kinmen County Number of Rooms of Occupied Housing Units,,,,,,,表４５ 有人經常居住住宅之房廳數,表４５ 金門縣有人經常居住住宅之房廳數,表４５,金門縣,有人經常居住住宅之房廳數
,,,,,,,,,,Table 45 Number of Rooms of Occupied Housing Units,Table 45 Kinmen County Number of Rooms of Occupied Housing Units,Table 45,Kinmen County,Number of Rooms of Occupied Housing Units
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１間,２間,３間,,４間,５間,６間以上,平均每宅房廳數（間 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 room,2 rooms,3 rooms,,4 rooms,5 rooms,6 roomsand more,Average numberof rooms perhousing unit(room/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,,
,金門縣,14928,124,784,1174,,2769,2559,7518,5.8,Kinmen County,,,
,金城鎮,4396,35,237,445,,853,693,2133,5.7,Jincheng Township,,,
,金沙鎮,2130,16,125,137,,321,250,1281,6.3,Jinsha Township,,,
,金湖鎮,3796,57,190,298,,771,855,1625,5.5,Jinhu Township,,,
,金寧鄉,3717,7,171,222,,686,629,2002,6,Jinning Township,,,
,烈嶼鄉,871,9,60,70,,133,122,477,6.2,Lieyu Township,,,
,烏坵鄉,18,0,1,2,,5,10,0,4.3,Wuqiu Township,,,
,按樓地板面積分,,,,,,,,,,By Total Floor Area,,,
,總計,14928,124,784,1174,,2769,2559,7518,5.8,Grand Total,,,
,未滿６０平方公尺,1025,113,368,300,,228,14,2,2.7,Under 60 Square Meters,,,
,６０－未滿１２０平方公尺,3770,2,250,434,,1327,955,802,4.7,60-Under 120 Square Meters,,,
,１２０－未滿１８０平方公尺,3945,9,105,209,,543,887,2192,5.7,120-Under 180 Square Meters,,,
,１８０－未滿３００平方公尺,5424,-,61,228,,660,676,3799,6.8,180-Under 300 Square Meters,,,
,３００平方公尺以上,764,-,-,3,,11,27,723,9.6999999999999993,300 Square Meters and More,,,
