,單位：宅,,民國109年,,,,,,2020,Unit:Housing unit,,,,
,表４６ 金門縣有人經常居住住宅之平均每人使用房廳數及衛浴套數,,"Table 46 Kinmen County Average Number of Rooms, Baths/Toilets Per Person of",,,,,,,表４６ 有人經常居住住宅之平均每人使用房廳數及衛浴套數,表４６ 金門縣有人經常居住住宅之平均每人使用房廳數及衛浴套數,表４６,金門縣,有人經常居住住宅之平均每人使用房廳數及衛浴套數
,,,Occupied Housing Units,,,,,,,"Table 46 Average Number of Rooms, Baths/Toilets Per Person of","Table 46 Kinmen County Average Number of Rooms, Baths/Toilets Per Person of",Table 46,Kinmen County,"Average Number of Rooms, Baths/Toilets Per Person of"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總計,每人使用房廳數  Number of rooms per person,,每人使用衛浴套數  Number of baths or toilets per person,,,,,,,,,
,,未滿１間,１－未滿２間,２－未滿３間,３間以上,平均每人,,未滿０. ５套,０. ５－未滿１套,１－未滿２套,２套以上,平均每人,,
,,使用房廳數,,使用衛浴套數,,,,,,,,,,
,,Grand total,（間 / 人）,,（套 / 人）,,,,,,,,,
,,under1 room,1 - under2 rooms,2 - under3 rooms,3 roomsand more,Average number ofrooms per person(room/person),,under0.5 set,0.5 - under1 set,1 - under2 sets,2 setsand more,Average number of,,
,,,baths or toilets,,,,,,,,,,,
,,,per person,,,,,,,,,,,
,,,(set/person),,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,,,By Township/City/District
,金門縣,14928,1276,5530,3434,4688,1.4,,2457,4680,5319,2472,0.6,Kinmen County
,金城鎮,4396,411,1745,935,1305,1.3,,770,1488,1486,652,0.6,Jincheng Township
,金沙鎮,2130,140,744,533,713,1.6,,352,660,832,286,0.7,Jinsha Township
,金湖鎮,3796,349,1435,861,1151,1.4,,638,1171,1400,587,0.6,Jinhu Township
,金寧鄉,3717,273,1334,910,1200,1.5,,489,1117,1319,792,0.7,Jinning Township
,烈嶼鄉,871,102,272,188,309,1.7,,207,238,273,153,0.7,Lieyu Township
,烏坵鄉,18,1,0,7,10,2.7,,1,6,9,2,0.7,Wuqiu Township
,按樓地板面積分,,,,,,,,,,,,,By Total Floor Area
,總計,14928,1276,5530,3434,4688,1.4,,2457,4680,5319,2472,0.6,Grand Total
,未滿６０平方公尺,1025,132,379,268,246,1.2,,179,255,542,49,0.5,Under 60 Square Meters
,６０－未滿１２０平方公尺,3770,355,1527,846,1042,1.3,,733,1307,1182,548,0.5,60-Under 120 Square Meters
,１２０－未滿１８０平方公尺,3945,328,1449,855,1313,1.4,,641,1277,1362,665,0.6,120-Under 180 Square Meters
,１８０－未滿３００平方公尺,5424,379,1882,1300,1863,1.6,,762,1586,1976,1100,0.7,180-Under 300 Square Meters
,３００平方公尺以上,764,82,293,165,224,1.5,,142,255,257,110,0.7,300 Square Meters and More
