,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 雲林縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況,表１４ 雲林縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況,表１４,雲林縣,１５歲以上民間常住人口有工作者之工作地與經常居住地概況
,Table 14 Yunlin County Working and Usually Living Place of the Employed,,,#rtitle1,0,0,Yunlin County,0
,Civilian Resident Population Aged 15 Years and Over,,,(1)總計,,,,
,(1)總計 (1)Grand total,,,(1)Grand total,,,,
,,,,,,,,
,單位：人                民國109年11月November 2020                Unit:Person,,,,,,,
,,總 計,同現住鄉鎮市區,同現住縣市不同鄉鎮市區,不同縣市或國外地區,,,
,,,,,,,,
,,,,,,,,
,,Grand total,Same township/city/district,Same county/city,Other county/city or overseas,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,按鄉鎮市區別分,,,,,,,
,By Township/City/District,,,,,,,
,雲林縣,282151,209620,58051,14480,,,
,Yunlin County,,,,,,,
,斗六市,53580,47245,3897,2438,,,
,Douliu City,,,,,,,
,斗南鎮,20634,13418,5397,1819,,,
,Dounan Township,,,,,,,
,虎尾鎮,32100,21911,8479,1710,,,
,Huwei Township,,,,,,,
,西螺鎮,19844,15804,3358,682,,,
,Xiluo Township,,,,,,,
,土庫鎮,12504,7675,4395,434,,,
,Tuku Township,,,,,,,
,北港鎮,14233,10760,1767,1706,,,
,Beigang Township,,,,,,,
,古坑鄉,13094,7731,4416,947,,,
,Gukeng Township,,,,,,,
,大埤鄉,7539,4631,2174,734,,,
,Dapi Township,,,,,,,
,莿桐鄉,13449,7842,5120,487,,,
,Citong Township,,,,,,,
,林內鄉,6757,3319,2854,584,,,
,Linnei Township,,,,,,,
,二崙鄉,12167,8873,2926,368,,,
,Erlun Township,,,,,,,
,崙背鄉,9705,7154,2243,308,,,
,Lunbei Township,,,,,,,
,麥寮鄉,17452,16368,652,432,,,
,Mailiao Township,,,,,,,
,東勢鄉,5653,3932,1632,89,,,
,Dongshi Township,,,,,,,
,褒忠鄉,4534,3328,1087,119,,,
,Baozhong Township,,,,,,,
,臺西鄉,7185,4614,2421,150,,,
,Taixi Township,,,,,,,
,元長鄉,10095,7489,2116,490,,,
,Yuanchang Township,,,,,,,
,四湖鄉,6060,5048,862,150,,,
,Sihu Township,,,,,,,
,口湖鄉,7267,5919,1044,304,,,
,Kouhu Township,,,,,,,
,水林鄉,8299,6559,1211,529,,,
,Shuilin Township,,,,,,,
,註：本表資料不含勞動部核准引進之產業及社福移工。,,,,,,,
,Note：This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 雲林縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）,表１４ 雲林縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）,表１４,雲林縣,１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）
,Table 14 Yunlin County Working and Usually Living Place of the Employed,,,#rtitle1,0,0,Yunlin County,0
,Civilian Resident Population Aged 15 Years and Over(Cont.1),,,(2)男性,,,,
,(2)男性 (2)Male,,,(2)Male,,,,
,,,,,,,,
,單位：人                民國109年11月November 2020                Unit:Person,,,,,,,
,,總 計,同現住鄉鎮市區,同現住縣市不同鄉鎮市區,不同縣市或國外地區,,,
,,,,,,,,
,,,,,,,,
,,Grand total,Same township/city/district,Same county/city,Other county/city or overseas,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,按鄉鎮市區別分,,,,,,,
,By Township/City/District,,,,,,,
,雲林縣,164674,121497,34372,8805,,,
,Yunlin County,,,,,,,
,斗六市,29957,26139,2286,1532,,,
,Douliu City,,,,,,,
,斗南鎮,11977,7902,3117,958,,,
,Dounan Township,,,,,,,
,虎尾鎮,17993,11645,5193,1155,,,
,Huwei Township,,,,,,,
,西螺鎮,11301,8729,2108,464,,,
,Xiluo Township,,,,,,,
,土庫鎮,7355,4538,2561,256,,,
,Tuku Township,,,,,,,
,北港鎮,8337,6159,1156,1022,,,
,Beigang Township,,,,,,,
,古坑鄉,7581,4524,2467,590,,,
,Gukeng Township,,,,,,,
,大埤鄉,4716,3079,1277,360,,,
,Dapi Township,,,,,,,
,莿桐鄉,7750,4639,2806,305,,,
,Citong Township,,,,,,,
,林內鄉,3885,1966,1570,349,,,
,Linnei Township,,,,,,,
,二崙鄉,6920,5051,1628,241,,,
,Erlun Township,,,,,,,
,崙背鄉,5774,4161,1395,218,,,
,Lunbei Township,,,,,,,
,麥寮鄉,11359,10856,278,225,,,
,Mailiao Township,,,,,,,
,東勢鄉,3338,2288,1007,43,,,
,Dongshi Township,,,,,,,
,褒忠鄉,2664,1871,709,84,,,
,Baozhong Township,,,,,,,
,臺西鄉,4380,2613,1658,109,,,
,Taixi Township,,,,,,,
,元長鄉,5861,4338,1237,286,,,
,Yuanchang Township,,,,,,,
,四湖鄉,3727,3060,593,74,,,
,Sihu Township,,,,,,,
