,單位：人,民國109年,,,,2020,Unit:Person,,
,表２０ 雲林縣５歲以上常住人口遷徙情形,,Table 20 Yunlin County Migration Status of the Resident Population,,表２０ ５歲以上常住人口遷徙情形,表２０ 雲林縣５歲以上常住人口遷徙情形,表２０,雲林縣,５歲以上常住人口遷徙情形
,,,Aged 5 Years and Over,,Table 20 Migration Status of the Resident Population,Table 20 Yunlin County Migration Status of the Resident Population,Table 20,Yunlin County,Migration Status of the Resident Population
,(1)總計,,(1)Grand total,,,,,,
,,,,,,,,,
,單位：人                    民國109年11月,,November 2020                    Unit:Person,,,,,,
,,總 計,同現住處所,同現住鄉鎮市區不同處所,,同現住縣市不同鄉鎮市區,不同縣市,大陸地區（含港澳）及國外地區,
,,,,,,,,,
,,,,,,,,,
,,Grand total,Same place,Same township/city/district,,Same county/city,Othercounty/city,The Chinese Mainland (including Hong Kong and Macau) and overseas,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按經常居住地區分,,,,,,,,By Usually Living Township/City/District
,雲林縣,545851,459259,38345,,24076,21737,2434,Yunlin County
,斗六市,103802,81713,11062,,4276,5718,1033,Douliu City
,斗南鎮,38671,34892,1819,,1158,685,117,Dounan Township
,虎尾鎮,72791,51525,6720,,9449,4871,226,Huwei Township
,西螺鎮,34426,30243,2301,,1067,705,110,Xiluo Township
,土庫鎮,24365,20127,2144,,1361,699,34,Tuku Township
,北港鎮,31128,27873,1389,,517,1165,184,Beigang Township
,古坑鄉,24569,20818,1686,,862,1145,58,Gukeng Township
,大埤鄉,14158,13160,457,,308,198,35,Dapi Township
,莿桐鄉,23014,21145,862,,598,336,73,Citong Township
,林內鄉,14186,12186,681,,693,579,47,Linnei Township
,二崙鄉,20008,17817,1148,,565,421,57,Erlun Township
,崙背鄉,17643,15827,946,,495,300,75,Lunbei Township
,麥寮鄉,32231,25047,3710,,1014,2412,48,Mailiao Township
,東勢鄉,10005,9117,372,,227,221,68,Dongshi Township
,褒忠鄉,8635,7686,281,,335,231,102,Baozhong Township
,臺西鄉,14269,12711,553,,222,759,24,Taixi Township
,元長鄉,18138,16535,679,,522,363,39,Yuanchang Township
,四湖鄉,12645,11697,566,,101,247,34,Sihu Township
,口湖鄉,15109,14043,379,,195,444,48,Kouhu Township
,水林鄉,16058,15097,590,,111,238,22,Shuilin Township
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.本表係比較5年前居住地與現住處所之異同。,,Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.2.This table compares the difference between the living place 5 years ago and the usually living place.,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,單位：人,民國109年,,,,2020,Unit:Person,,
,表２０ 雲林縣５歲以上常住人口遷徙情形（續１）,,Table 20 Yunlin County Migration Status of the Resident Population,,表２０ ５歲以上常住人口遷徙情形（續１）,表２０ 雲林縣５歲以上常住人口遷徙情形（續１）,表２０,雲林縣,５歲以上常住人口遷徙情形（續１）
