,單位：戶,民國109年,,,,,2020,Unit:Household,,,
,表３２ 雲林縣普通住戶之戶內人口數,,Table 32 Yunlin County Number of Persons of Ordinary Households,,表３２ 普通住戶之戶內人口數,表３２ 雲林縣普通住戶之戶內人口數,表３２,雲林縣,普通住戶之戶內人口數,,
,,,,,Table 32 Number of Persons of Ordinary Households,Table 32 Yunlin County Number of Persons of Ordinary Households,Table 32,Yunlin County,Number of Persons of Ordinary Households,,
,,,,,,,,,,,
,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每戶人口數（人 / 戶）,
,,,,,,,,,,,
,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Average number ofpersons per household(person/household),
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District
,雲林縣,200611,57867,52796,36616,,26822,13056,13454,2.8,Yunlin County
,斗六市,37190,9561,9852,7743,,5803,2261,1970,2.8,Douliu City
,斗南鎮,14286,4068,3413,2872,,1845,1021,1067,2.8,Dounan Township
,虎尾鎮,23406,6279,5971,4654,,3663,1423,1416,2.8,Huwei Township
,西螺鎮,12514,3269,3049,2313,,1825,1008,1050,2.9,Xiluo Township
,土庫鎮,8239,2248,2141,1416,,1120,570,744,2.9,Tuku Township
,北港鎮,13506,5158,3739,1975,,1385,646,603,2.4,Beigang Township
,古坑鄉,9044,2328,2520,1614,,1245,716,621,2.8,Gukeng Township
,大埤鄉,5373,1539,1373,905,,691,417,448,2.8,Dapi Township
,莿桐鄉,7875,1760,1934,1560,,1123,640,858,3.1,Citong Township
,林內鄉,4841,1239,1340,946,,652,341,323,2.8,Linnei Township
,二崙鄉,6929,1706,1681,1275,,975,586,706,3,Erlun Township
,崙背鄉,6634,1902,1979,1066,,779,443,465,2.7,Lunbei Township
,麥寮鄉,12645,4158,3091,2299,,1646,759,692,2.7,Mailiao Township
,東勢鄉,4132,1396,1143,659,,445,267,222,2.6,Dongshi Township
,褒忠鄉,3156,939,870,548,,365,182,252,2.8,Baozhong Township
,臺西鄉,5652,1873,1618,770,,571,353,467,2.7,Taixi Township
,元長鄉,6975,2077,1934,1190,,843,429,502,2.7,Yuanchang Township
,四湖鄉,5481,2018,1607,787,,552,262,255,2.4,Sihu Township
,口湖鄉,6181,2009,1795,1047,,599,373,358,2.6,Kouhu Township
,水林鄉,6552,2340,1746,977,,695,359,435,2.6,Shuilin Township
