,單位：戶,民國109年,,,,2020,Unit:Household,,,,,,,,,
,表３４ 雲林縣普通住戶之住宅所有權屬,,Table 34 Yunlin County Home Ownership of Ordinary Households,,,,,,,,,表３４ 普通住戶之住宅所有權屬,表３４ 雲林縣普通住戶之住宅所有權屬,表３４,雲林縣,普通住戶之住宅所有權屬
,,,,,,,,,,,,Table 34 Home Ownership of Ordinary Households,Table 34 Yunlin County Home Ownership of Ordinary Households,Table 34,Yunlin County,Home Ownership of Ordinary Households
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                    Unit:Household,,,,,,,,,,,,,
,,總 計,自有,不住在一起的配偶、父母或子女所擁有,,租用,配住或其他（含借住）,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grand total,Self-owned,"Owned by spouse,parent or child(ren)not living together",,Rented,Allotted or others(including borrowed),,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,By Township/City/District,,,,,,,,
,雲林縣,200258,168859,13264,,11036,7099,Yunlin County,,,,,,,,
,斗六市,37140,31207,1847,,3145,941,Douliu City,,,,,,,,
,斗南鎮,14248,12119,1062,,699,368,Dounan Township,,,,,,,,
,虎尾鎮,23386,19976,1354,,1368,688,Huwei Township,,,,,,,,
,西螺鎮,12507,11099,608,,405,395,Xiluo Township,,,,,,,,
,土庫鎮,8235,7310,551,,188,186,Tuku Township,,,,,,,,
,北港鎮,13474,10747,1669,,498,560,Beigang Township,,,,,,,,
,古坑鄉,9012,8135,305,,319,253,Gukeng Township,,,,,,,,
,大埤鄉,5338,4915,249,,96,78,Dapi Township,,,,,,,,
,莿桐鄉,7868,6828,659,,201,180,Citong Township,,,,,,,,
,林內鄉,4839,4115,299,,211,214,Linnei Township,,,,,,,,
,二崙鄉,6925,6106,277,,310,232,Erlun Township,,,,,,,,
,崙背鄉,6610,5370,376,,160,704,Lunbei Township,,,,,,,,
,麥寮鄉,12596,8377,1254,,2378,587,Mailiao Township,,,,,,,,
,東勢鄉,4123,3231,649,,131,112,Dongshi Township,,,,,,,,
,褒忠鄉,3150,2630,225,,112,183,Baozhong Township,,,,,,,,
,臺西鄉,5645,5015,142,,165,323,Taixi Township,,,,,,,,
,元長鄉,6964,5892,382,,214,476,Yuanchang Township,,,,,,,,
,四湖鄉,5476,5045,122,,149,160,Sihu Township,,,,,,,,
,口湖鄉,6176,5153,525,,141,357,Kouhu Township,,,,,,,,
,水林鄉,6546,5589,709,,146,102,Shuilin Township,,,,,,,,
,註：本表僅統計居住於住宅內之普通住戶。,,Note：This table only includes ordinary households living in the housing unit.,,,,,,,,,,,,,
