,民國109年,單位：宅,,,,,2020,Unit:Housing unit,,,,,,
,表３７ 雲林縣住宅使用情形,,Table 37 Yunlin County Housing Usage Status,,,,,,,表３７ 住宅使用情形,表３７ 雲林縣住宅使用情形,表３７,雲林縣,住宅使用情形
,,,,,,,,,,Table 37 Housing Usage Status,Table 37 Yunlin County Housing Usage Status,Table 37,Yunlin County,Housing Usage Status
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,,
,,總計,有人經常居住住宅,,,無人經常居住住宅  Unoccupied (for other uses or vacant),,,,,,,,
,,,,,,,,,,,,,,
,,合計,,偶爾自住,自住以外用途（如辦公室、倉庫等）,目前沒有使用,,,,,,,,
,,,,,,,,,,,,,,
,,Grand total,Occupied,,,,,,,,,,,
,,Total,,Owner occupiedsometimes,Unoccupied butfor other uses,Not in use now,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,By Township/City/District,,,,,
,雲林縣,227420,165304,62116,,21633,10379,30104,Yunlin County,,,,,
,斗六市,44178,33964,10214,,2623,1980,5611,Douliu City,,,,,
,斗南鎮,15431,12654,2777,,832,705,1240,Dounan Township,,,,,
,虎尾鎮,27920,19663,8257,,2848,741,4668,Huwei Township,,,,,
,西螺鎮,15757,11379,4378,,2738,954,686,Xiluo Township,,,,,
,土庫鎮,9756,7446,2310,,1102,386,822,Tuku Township,,,,,
,北港鎮,15001,10956,4045,,1014,742,2289,Beigang Township,,,,,
,古坑鄉,10128,7873,2255,,510,239,1506,Gukeng Township,,,,,
,大埤鄉,6253,4548,1705,,630,169,906,Dapi Township,,,,,
,莿桐鄉,9254,6818,2436,,855,341,1240,Citong Township,,,,,
,林內鄉,5496,3899,1597,,415,294,888,Linnei Township,,,,,
,二崙鄉,8013,5985,2028,,711,341,976,Erlun Township,,,,,
,崙背鄉,7564,5119,2445,,435,336,1674,Lunbei Township,,,,,
,麥寮鄉,9493,7069,2424,,910,627,887,Mailiao Township,,,,,
,東勢鄉,4516,2606,1910,,699,353,858,Dongshi Township,,,,,
,褒忠鄉,3727,2528,1199,,370,285,544,Baozhong Township,,,,,
,臺西鄉,7009,3989,3020,,1589,460,971,Taixi Township,,,,,
,元長鄉,7763,5111,2652,,682,363,1607,Yuanchang Township,,,,,
,四湖鄉,6737,4288,2449,,963,62,1424,Sihu Township,,,,,
,口湖鄉,6655,4780,1875,,839,352,684,Kouhu Township,,,,,
,水林鄉,6769,4629,2140,,868,649,623,Shuilin Township,,,,,
