,單位：宅,民國109年,2020,Unit:Housing unit,,,,,,
,表４０ 雲林縣住宅之建築類型,,,,,表４０ 住宅之建築類型,表４０ 雲林縣住宅之建築類型,表４０,雲林縣,住宅之建築類型
,Table 40 Yunlin County Type of Building,,,,,Table 40 Type of Building,Table 40 Yunlin County Type of Building,Table 40,Yunlin County,Type of Building
,,,,,,,,,,
,,,,,,,,,,
,單位：宅                 民國109年11月November 2020             Unit:Housing unit,,,,,,,,,
,,總 計,平房,２－５樓,６－１２樓,１３樓以上,,,,
,,,,,,,,,,
,,Grand total,Flat,2-5 floors,6-12 floors,13 floorsand over,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,
,By Township/City/District,,,,,,,,,
,雲林縣,227420,32929,182932,9587,1972,,,,
,Yunlin County,,,,,,,,,
,斗六市,44178,4684,33889,4291,1314,,,,
,Douliu City,,,,,,,,,
,斗南鎮,15431,2164,12296,859,112,,,,
,Dounan Township,,,,,,,,,
,虎尾鎮,27920,2555,23096,1908,361,,,,
,Huwei Township,,,,,,,,,
,西螺鎮,15757,2093,13384,280,0,,,,
,Xiluo Township,,,,,,,,,
,土庫鎮,9756,1490,8262,4,0,,,,
,Tuku Township,,,,,,,,,
,北港鎮,15001,1971,11658,1187,185,,,,
,Beigang Township,,,,,,,,,
,古坑鄉,10128,1914,7898,316,0,,,,
,Gukeng Township,,,,,,,,,
,大埤鄉,6253,949,5304,0,0,,,,
,Dapi Township,,,,,,,,,
,莿桐鄉,9254,1237,7910,107,0,,,,
,Citong Township,,,,,,,,,
,林內鄉,5496,1011,4475,10,0,,,,
,Linnei Township,,,,,,,,,
,二崙鄉,8013,1383,6630,0,0,,,,
,Erlun Township,,,,,,,,,
,崙背鄉,7564,1552,6006,6,0,,,,
,Lunbei Township,,,,,,,,,
,麥寮鄉,9493,2077,6807,609,0,,,,
,Mailiao Township,,,,,,,,,
,東勢鄉,4516,928,3588,0,0,,,,
,Dongshi Township,,,,,,,,,
,褒忠鄉,3727,565,3160,2,0,,,,
,Baozhong Township,,,,,,,,,
,臺西鄉,7009,1307,5697,5,0,,,,
,Taixi Township,,,,,,,,,
,元長鄉,7763,1286,6477,0,0,,,,
,Yuanchang Township,,,,,,,,,
,四湖鄉,6737,1206,5528,3,0,,,,
,Sihu Township,,,,,,,,,
,口湖鄉,6655,1287,5368,0,0,,,,
,Kouhu Township,,,,,,,,,
,水林鄉,6769,1270,5499,0,0,,,,
,Shuilin Township,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,單位：宅,民國109年,2020,Unit:Housing unit,,,,,,
,表４０ 雲林縣住宅之建築類型（續）,,,,,表４０ 住宅之建築類型,表４０ 雲林縣住宅之建築類型,表４０,雲林縣,住宅之建築類型
,Table 40 Yunlin County Type of Building(Cont.),,,,,Table 40 Type of Building,Table 40 Yunlin County Type of Building,Table 40,Yunlin County,Type of Building
,,,,,,,,,,
,,,,,,,,,,
,單位：宅                 民國109年11月November 2020             Unit:Housing unit,,,,,,,,,
,,總 計,平房,２－５樓,６－１２樓,１３樓以上,,,,
,,,,,,,,,,
,,Grand total,Flat,2-5 floors,6-12 floors,13 floorsand over,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,按樓地板面積分,,,,,,,,,
,By Total Floor Area,,,,,,,,,
,總計,227420,32929,182932,9587,1972,,,,
,Grand Total,,,,,,,,,
,未滿６０平方公尺,21471,5975,14638,828,30,,,,
,Under 60 Square Meters,,,,,,,,,
,６０－未滿１２０平方公尺,64383,12551,46564,4285,983,,,,
,60-Under 120 Square Meters,,,,,,,,,
,１２０－未滿１８０平方公尺,78050,8486,65652,3084,828,,,,
,120-Under 180 Square Meters,,,,,,,,,
,１８０－未滿３００平方公尺,57030,5378,50356,1173,123,,,,
,180-Under 300 Square Meters,,,,,,,,,
,３００平方公尺以上,6486,539,5722,217,8,,,,
,300 Square Meters and More,,,,,,,,,
,按竣工年份分,,,,,,,,,
,By Completion Year of Construction,,,,,,,,,
,總計,227420,32929,182932,9587,1972,,,,
,Grand Total,,,,,,,,,
,６９年以前,88618,11933,76674,11,0,,,,
,Before 1980,,,,,,,,,
,７０－７９年,39788,8107,31503,178,0,,,,
,1981-1990,,,,,,,,,
,８０－８９年,50591,6691,33924,8152,1824,,,,
,1991-2000,,,,,,,,,
,９０－９９年,29792,4482,24351,811,148,,,,
,2001-2010,,,,,,,,,
,１００－１０９年,18631,1716,16480,435,0,,,,
,2011-2020,,,,,,,,,
,１００－１０４年,8922,1062,7790,70,0,,,,
,2011-2015,,,,,,,,,
,１０５－１０９年,9709,654,8690,365,0,,,,
,2016-2020,,,,,,,,,
