,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,
,表４１ 雲林縣空閒住宅之竣工年份,,Table 41 Yunlin County Completion Year of Vacant Housing Units,,,,,,表４１ 空閒住宅之竣工年份,表４１ 雲林縣空閒住宅之竣工年份,表４１,雲林縣,空閒住宅之竣工年份
,,,,,,,,,Table 41 Completion Year of Vacant Housing Units,Table 41 Yunlin County Completion Year of Vacant Housing Units,Table 41,Yunlin County,Completion Year of Vacant Housing Units
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,
,,總 計,６９年以前,７０－７９年,８０－８９年,,９０－９９年,１００－１０９年2011-2020,,,,,
,,,,,,,,,,,,,
,,,合計,１００－１０４年,１０５－１０９年,,,,,,,,
,,Grand total,Before 1980,1981-1990,1991-2000,,2001-2010,,,,,,
,,,,,,,,,,,,,
,,,Total,2011-2015,2016-2020,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,
,雲林縣,51737,21764,8792,9946,,6916,4319,1657,2662,Yunlin County,,
,斗六市,8234,2749,981,2362,,1107,1035,458,577,Douliu City,,
,斗南鎮,2072,898,359,482,,186,147,120,27,Dounan Township,,
,虎尾鎮,7516,2656,1005,1594,,1022,1239,354,885,Huwei Township,,
,西螺鎮,3424,1647,586,421,,472,298,116,182,Xiluo Township,,
,土庫鎮,1924,737,391,380,,262,154,106,48,Tuku Township,,
,北港鎮,3303,1623,535,642,,375,128,33,95,Beigang Township,,
,古坑鄉,2016,964,299,300,,150,303,17,286,Gukeng Township,,
,大埤鄉,1536,684,360,240,,198,54,33,21,Dapi Township,,
,莿桐鄉,2095,757,358,435,,358,187,72,115,Citong Township,,
,林內鄉,1303,576,273,284,,128,42,9,33,Linnei Township,,
,二崙鄉,1687,891,230,284,,218,64,0,64,Erlun Township,,
,崙背鄉,2109,706,383,273,,520,227,121,106,Lunbei Township,,
,麥寮鄉,1797,576,233,308,,526,154,77,77,Mailiao Township,,
,東勢鄉,1557,729,286,273,,229,40,17,23,Dongshi Township,,
,褒忠鄉,914,442,176,203,,72,21,8,13,Baozhong Township,,
,臺西鄉,2560,1319,690,382,,152,17,12,5,Taixi Township,,
,元長鄉,2289,957,511,392,,355,74,27,47,Yuanchang Township,,
,四湖鄉,2387,1070,552,322,,368,75,45,30,Sihu Township,,
,口湖鄉,1523,883,322,141,,149,28,12,16,Kouhu Township,,
,水林鄉,1491,900,262,228,,69,32,20,12,Shuilin Township,,
,註：空閒住宅係指該住宅無人經常居住但包括於假日或偶爾居住，或因工作、出國等原因未經常居住，以及待租、待售、已租、已售、  修繕中或因其他原因而目前(普查期間)未使用等情形。,,"Note：Vacant housing unit refers to a house not being occupied, including occupied sometimes or on holidays, usually living in elsewhere other thanthis house due to work or abroad, for rent, for sale, rented, sold out, under repair, or not in use during the census period for any other reason.",,,,,,,,,,
