,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,
,表４２ 雲林縣空閒住宅之樓地板面積,,Table 42 Yunlin County Total Floor Area of Vacant Housing Units,,,,,表４２ 空閒住宅之樓地板面積,表４２ 雲林縣空閒住宅之樓地板面積,表４２,雲林縣,空閒住宅之樓地板面積
,,,,,,,,Table 42 Total Floor Area of Vacant Housing Units,Table 42 Yunlin County Total Floor Area of Vacant Housing Units,Table 42,Yunlin County,Total Floor Area of Vacant Housing Units
,,,,,,,,,,,,
,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,
,,總 計,未滿６０平方公尺,６０－未滿１２０平方公尺,,１２０－未滿１８０平方公尺,１８０－未滿３００平方公尺,３００平方公尺以上,平均每宅面積（平方公尺 / 宅）,,,
,,,,,,,,,,,,
,,Grand total,Under 60square meters,60-under 120square meters,,120-under 180square meters,180-under 300square meters,300 squaremetersand more,Average floor areaper housing unit(square meter/unit),,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,By Township/City/District,,
,雲林縣,51737,7778,17122,,14881,11032,924,134,Yunlin County,,
,斗六市,8234,1305,2253,,2593,1974,109,137.6,Douliu City,,
,斗南鎮,2072,308,805,,576,342,41,126.1,Dounan Township,,
,虎尾鎮,7516,599,2526,,2655,1664,72,138.6,Huwei Township,,
,西螺鎮,3424,495,1055,,896,915,63,139.6,Xiluo Township,,
,土庫鎮,1924,242,514,,639,498,31,142.30000000000001,Tuku Township,,
,北港鎮,3303,729,1185,,826,500,63,119,Beigang Township,,
,古坑鄉,2016,343,759,,506,371,37,126.5,Gukeng Township,,
,大埤鄉,1536,245,553,,498,230,10,123.9,Dapi Township,,
,莿桐鄉,2095,283,544,,577,624,67,149.80000000000001,Citong Township,,
,林內鄉,1303,190,447,,351,301,14,134.19999999999999,Linnei Township,,
,二崙鄉,1687,314,572,,487,270,44,128.1,Erlun Township,,
,崙背鄉,2109,250,760,,647,418,34,134.9,Lunbei Township,,
,麥寮鄉,1797,256,752,,464,287,38,124.9,Mailiao Township,,
,東勢鄉,1557,274,510,,462,291,20,129.1,Dongshi Township,,
,褒忠鄉,914,192,322,,232,156,12,123.1,Baozhong Township,,
,臺西鄉,2560,309,900,,642,608,101,142.69999999999999,Taixi Township,,
,元長鄉,2289,356,700,,730,450,53,135.69999999999999,Yuanchang Township,,
,四湖鄉,2387,537,723,,466,630,31,134.4,Sihu Township,,
,口湖鄉,1523,337,621,,324,222,19,115.6,Kouhu Township,,
,水林鄉,1491,214,621,,310,281,65,137.1,Shuilin Township,,
,註：空閒住宅係指該住宅無人經常居住但包括於假日或偶爾居住，或因工作、出國等原因未經常居住，以及待租、待售、已租、  已售、修繕中或因其他原因而目前(普查期間)未使用等情形。,,"Note：Vacant housing unit refers to a house not being occupied, including occupied sometimes or on holidays, usually living in elsewhere other than   this house due to work or abroad, for rent, for sale, rented, sold out, under repair, or not in use during the census period for any other reason.",,,,,,,,,
