,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,,,,,
,表４３ 雲林縣有人經常居住住宅之使用情形,,Table 43 Yunlin County Housing Usage of Occupied Housing Units,,,,,,,,,表４３ 有人經常居住住宅之使用情形,表４３ 雲林縣有人經常居住住宅之使用情形,表４３,雲林縣,有人經常居住住宅之使用情形
,,,,,,,,,,,,Table 43 Housing Usage of Occupied Housing Units,Table 43 Yunlin County Housing Usage of Occupied Housing Units,Table 43,Yunlin County,Housing Usage of Occupied Housing Units
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,,,
,,總 計,住宅專用,住宅兼其他用途,,Residence and other usage,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,合計,,兼工業用,兼商業或服務業用,兼農業用,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grand total,Residence only,,,,,,,,,,,,,
,,Total,,Residence andfactory,Residence andbusiness or service,Residence andagriculture,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,By Township/City/District,,,,,,,
,雲林縣,165304,156309,8995,,622,7552,821,Yunlin County,,,,,,,
,斗六市,33964,32516,1448,,249,1158,41,Douliu City,,,,,,,
,斗南鎮,12654,11698,956,,76,845,35,Dounan Township,,,,,,,
,虎尾鎮,19663,18734,929,,23,856,50,Huwei Township,,,,,,,
,西螺鎮,11379,10832,547,,22,432,93,Xiluo Township,,,,,,,
,土庫鎮,7446,7221,225,,17,128,80,Tuku Township,,,,,,,
,北港鎮,10956,9938,1018,,16,943,59,Beigang Township,,,,,,,
,古坑鄉,7873,7543,330,,17,273,40,Gukeng Township,,,,,,,
,大埤鄉,4548,4433,115,,19,76,20,Dapi Township,,,,,,,
,莿桐鄉,6818,6556,262,,5,183,74,Citong Township,,,,,,,
,林內鄉,3899,3743,156,,4,130,22,Linnei Township,,,,,,,
,二崙鄉,5985,5600,385,,11,314,60,Erlun Township,,,,,,,
,崙背鄉,5119,4665,454,,31,389,34,Lunbei Township,,,,,,,
,麥寮鄉,7069,6305,764,,27,714,23,Mailiao Township,,,,,,,
,東勢鄉,2606,2397,209,,13,162,34,Dongshi Township,,,,,,,
,褒忠鄉,2528,2335,193,,21,151,21,Baozhong Township,,,,,,,
,臺西鄉,3989,3833,156,,9,125,22,Taixi Township,,,,,,,
,元長鄉,5111,4798,313,,35,258,20,Yuanchang Township,,,,,,,
,四湖鄉,4288,4094,194,,23,120,51,Sihu Township,,,,,,,
,口湖鄉,4780,4548,232,,4,213,15,Kouhu Township,,,,,,,
,水林鄉,4629,4520,109,,0,82,27,Shuilin Township,,,,,,,
