,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４５ 雲林縣有人經常居住住宅之房廳數,,Table 45 Yunlin County Number of Rooms of Occupied Housing Units,,,,,,,表４５ 有人經常居住住宅之房廳數,表４５ 雲林縣有人經常居住住宅之房廳數,表４５,雲林縣,有人經常居住住宅之房廳數
,,,,,,,,,,Table 45 Number of Rooms of Occupied Housing Units,Table 45 Yunlin County Number of Rooms of Occupied Housing Units,Table 45,Yunlin County,Number of Rooms of Occupied Housing Units
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１間,２間,３間,,４間,５間,６間以上,平均每宅房廳數（間 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 room,2 rooms,3 rooms,,4 rooms,5 rooms,6 roomsand more,Average numberof rooms perhousing unit(room/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,,
,雲林縣,165304,774,11343,14905,,37950,39651,60681,5.0999999999999996,Yunlin County,,,
,斗六市,33964,185,1269,2910,,7888,10127,11585,5,Douliu City,,,
,斗南鎮,12654,63,942,1511,,3704,3023,3411,4.7,Dounan Township,,,
,虎尾鎮,19663,9,912,1199,,3334,5068,9141,5.4,Huwei Township,,,
,西螺鎮,11379,7,555,909,,2867,2806,4235,5.0999999999999996,Xiluo Township,,,
,土庫鎮,7446,38,681,524,,1277,1798,3128,5.2,Tuku Township,,,
,北港鎮,10956,59,754,855,,2500,2698,4090,5,Beigang Township,,,
,古坑鄉,7873,35,550,875,,1921,1647,2845,5,Gukeng Township,,,
,大埤鄉,4548,5,384,395,,965,963,1836,5.3,Dapi Township,,,
,莿桐鄉,6818,20,406,604,,1748,1649,2391,5.0999999999999996,Citong Township,,,
,林內鄉,3899,21,259,357,,868,903,1491,5.0999999999999996,Linnei Township,,,
,二崙鄉,5985,45,499,592,,1372,1101,2376,5.2,Erlun Township,,,
,崙背鄉,5119,38,437,332,,1229,1169,1914,5.2,Lunbei Township,,,
,麥寮鄉,7069,48,846,796,,1641,1778,1960,4.7,Mailiao Township,,,
,東勢鄉,2606,5,283,210,,582,432,1094,5.2,Dongshi Township,,,
,褒忠鄉,2528,17,269,242,,533,418,1049,5.2,Baozhong Township,,,
,臺西鄉,3989,43,380,444,,958,816,1348,4.9000000000000004,Taixi Township,,,
,元長鄉,5111,46,452,502,,1089,908,2114,5.4,Yuanchang Township,,,
,四湖鄉,4288,26,526,467,,1254,734,1281,4.8,Sihu Township,,,
,口湖鄉,4780,31,616,555,,1060,712,1806,5,Kouhu Township,,,
,水林鄉,4629,33,323,626,,1160,901,1586,5,Shuilin Township,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４５ 雲林縣有人經常居住住宅之房廳數（續）,,Table 45 Yunlin County Number of Rooms of Occupied Housing Units(Cont.),,,,,,,表４５ 有人經常居住住宅之房廳數（續）,表４５ 雲林縣有人經常居住住宅之房廳數（續）,表４５,雲林縣,有人經常居住住宅之房廳數（續）
,,,,,,,,,,Table 45 Number of Rooms of Occupied Housing Units(Cont.),Table 45 Yunlin County Number of Rooms of Occupied Housing Units(Cont.),Table 45,Yunlin County,Number of Rooms of Occupied Housing Units(Cont.)
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１間,２間,３間,,４間,５間,６間以上,平均每宅房廳數（間 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 room,2 rooms,3 rooms,,4 rooms,5 rooms,6 roomsand more,Average numberof rooms perhousing unit(room/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按樓地板面積分,,,,,,,,,,By Total Floor Area,,,
,總計,165304,774,11343,14905,,37950,39651,60681,5.0999999999999996,Grand Total,,,
,未滿６０平方公尺,11823,600,4758,2157,,3840,431,37,2.9,Under 60 Square Meters,,,
,６０－未滿１２０平方公尺,43731,102,4284,5898,,13125,9607,10715,4.5999999999999996,60-Under 120 Square Meters,,,
,１２０－未滿１８０平方公尺,60403,72,1649,3757,,12693,18740,23492,5.2,120-Under 180 Square Meters,,,
,１８０－未滿３００平方公尺,43910,-,652,3030,,8120,10174,21934,5.6,180-Under 300 Square Meters,,,
,３００平方公尺以上,5437,-,-,63,,172,699,4503,7.6,300 Square Meters and More,,,
