,單位：人,民國109年,,,,2020,Unit:Person,,
,表２０ 高雄市５歲以上常住人口遷徙情形,,Table 20 Kaohsiung City Migration Status of the Resident Population,,表２０ ５歲以上常住人口遷徙情形,表２０ 高雄市５歲以上常住人口遷徙情形,表２０,高雄市,５歲以上常住人口遷徙情形
,,,Aged 5 Years and Over,,Table 20 Migration Status of the Resident Population,Table 20 Kaohsiung City Migration Status of the Resident Population,Table 20,Kaohsiung City,Migration Status of the Resident Population
,(1)總計,,(1)Grand total,,,,,,
,,,,,,,,,
,單位：人                    民國109年11月,,November 2020                    Unit:Person,,,,,,
,,總 計,同現住處所,同現住鄉鎮市區不同處所,,同現住縣市不同鄉鎮市區,不同縣市,大陸地區（含港澳）及國外地區,
,,,,,,,,,
,,,,,,,,,
,,Grand total,Same place,Same township/city/district,,Same county/city,Othercounty/city,The Chinese Mainland (including Hong Kong and Macau) and overseas,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按經常居住地區分,,,,,,,,By Usually Living Township/City/District
,高雄市,2570502,2054151,212978,,184532,102539,16302,Kaohsiung City
,鹽埕區,21707,17691,1206,,1649,993,168,Yancheng District
,鼓山區,125824,93620,12666,,11339,6513,1686,Gushan District
,左營區,188234,152475,16385,,12190,6354,830,Zuoying District
,楠梓區,185582,131935,21601,,17979,12490,1577,Nanzi District
,三民區,314357,253259,29334,,16803,13255,1706,Sanmin District
,新興區,42277,34299,3117,,3484,1055,322,Xinxing District
,前金區,28105,21046,2192,,3377,1163,327,Qianjin District
,苓雅區,149187,118488,12479,,11004,5912,1304,Lingya District
,前鎮區,164748,137594,12439,,11086,2811,818,Qianzhen District
,旗津區,23288,19790,1709,,862,885,42,Qijin District
,小港區,140639,107268,16271,,11209,5382,509,Xiaogang District
,鳳山區,335573,278051,25163,,20563,10588,1208,Fengshan District
,林園區,60373,49410,6201,,3003,1597,162,Linyuan District
,大寮區,112136,88649,8175,,10422,4390,500,Daliao District
,大樹區,44467,34081,2690,,3220,3665,811,Dashu District
,大社區,36625,29376,2023,,3549,1416,261,Dashe District
,仁武區,92206,72209,7768,,9405,2358,466,Renwu District
,鳥松區,44200,34295,2882,,5066,1707,250,Niaosong District
,岡山區,91279,76615,6844,,4228,3108,484,Gangshan District
,橋頭區,35990,31137,1653,,2513,579,108,Qiaotou District
,燕巢區,42408,27686,2431,,6346,5151,794,Yanchao District
,田寮區,4279,3868,21,,267,123,0,Tianliao District
,阿蓮區,28978,24600,2038,,1108,1111,121,Alian District
,路竹區,50780,39949,4219,,3279,2438,895,Luzhu District
,湖內區,31591,26053,1695,,2067,1438,338,Hunei District
,茄萣區,25740,22680,1432,,551,1016,61,Qieding District
,永安區,9881,8763,420,,494,140,64,Yong'an District
,彌陀區,16280,14569,895,,652,138,26,Mituo District
,梓官區,29572,26199,1411,,1613,322,27,Ziguan District
