,單位：戶,民國109年,,,,,,,2020,,Unit:Household,,,,,
,表３３ 高雄市普通住戶之家戶型態,,Table 33 Kaohsiung City Family Household Type of Ordinary Households,,表３３ 普通住戶之家戶型態,表３３ 高雄市普通住戶之家戶型態,表３３,高雄市,普通住戶之家戶型態,,,,,,,
,,,,,Table 33 Family Household Type of Ordinary Households,Table 33 Kaohsiung City Family Household Type of Ordinary Households,Table 33,Kaohsiung City,Family Household Type of Ordinary Households,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,,,,,,
,,總 計,核心家戶 Nucleus family household,主幹家戶,,Stem family household,單人家戶,其他家戶 Other household,,,,,,,,
,,合計,夫婦、配偶或同居伴侶,父母與未婚子女,父（或母）與未婚子女（單親家庭）,合計,,袓父母、父母及未婚子女,父母與已婚子女,袓父母與未婚孫子女（隔代家庭）,合計,有親屬關係,無親屬關係,,,
,,,,,,,,,,,,,,,,
,,Grandtotal,Total,A marriedcouple or unmarried partner,A marriedcouple withtheir unmarriedchild(ren),Father/mother withhis/her unmarried child(ren)(single parent),Total,,"Grandparent,parent and theirunmarriedchild(ren)",A marriedcouple withtheir marriedchild(ren),Grandparent withtheir unmarriedgrandchild(ren)(skip-generation),One-personhousehold,Total,Withrelatives,With norelatives,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,,,,,By Township/City/District
,高雄市,952477,491860,132396,280287,79177,144679,,95002,37275,12402,252460,63478,51836,11642,Kaohsiung City
,鹽埕區,9635,3762,1167,1951,644,1100,,662,288,150,3948,825,579,246,Yancheng District
,鼓山區,49977,26039,7238,14849,3952,5781,,3618,1665,498,14993,3164,2477,687,Gushan District
,左營區,68572,37936,8735,23381,5820,8712,,5818,2190,704,17674,4250,3606,644,Zuoying District
,楠梓區,69092,39770,10061,22889,6820,7733,,5005,1889,839,16932,4657,3433,1224,Nanzi District
,三民區,118080,61085,17046,34175,9864,17181,,11371,4289,1521,30981,8833,6738,2095,Sanmin District
,新興區,19079,8540,2878,4442,1220,2143,,1293,674,176,7200,1196,883,313,Xinxing District
,前金區,13171,5495,2075,2491,929,1291,,774,384,133,5296,1089,731,358,Qianjin District
,苓雅區,60130,31027,9042,16772,5213,7438,,4215,2366,857,17695,3970,3167,803,Lingya District
,前鎮區,64578,33782,8998,19078,5706,9060,,5692,2503,865,17333,4403,3766,637,Qianzhen District
,旗津區,8678,4094,963,2213,918,1292,,869,301,122,2616,676,568,108,Qijin District
,小港區,56100,31008,8372,18259,4377,6194,,3746,1802,646,16044,2854,2407,447,Xiaogang District
,鳳山區,120718,65979,15757,39429,10793,19863,,13417,4803,1643,27771,7105,6249,856,Fengshan District
,林園區,21899,10436,2657,5769,2010,4148,,2780,1044,324,5854,1461,1286,175,Linyuan District
,大寮區,38896,19494,4760,11118,3616,7027,,4733,1823,471,9798,2577,2278,299,Daliao District
,大樹區,13240,6191,1685,3529,977,3320,,2307,823,190,2725,1004,851,153,Dashu District
,大社區,12829,6387,1386,3862,1139,2558,,1690,663,205,2796,1088,803,285,Dashe District
,仁武區,30868,16991,4004,10616,2371,5818,,4343,1163,312,6207,1852,1649,203,Renwu District
,鳥松區,16797,8568,2750,4754,1064,2674,,1756,787,131,4521,1034,902,132,Niaosong District
,岡山區,31422,16628,4335,9782,2511,5546,,3645,1382,519,7097,2151,1790,361,Gangshan District
,橋頭區,12961,6738,1841,3799,1098,2671,,1969,516,186,2824,728,609,119,Qiaotou District
,燕巢區,11278,5072,1386,2808,878,2339,,1715,498,126,2845,1022,760,262,Yanchao District
,田寮區,1879,736,341,282,113,255,,136,95,24,732,156,114,42,Tianliao District
,阿蓮區,9163,4169,1276,2330,563,2330,,1696,472,162,1952,712,627,85,Alian District
,路竹區,15600,8155,2018,4974,1163,3412,,2591,599,222,2854,1179,955,224,Luzhu District
,湖內區,11568,5463,1484,3040,939,1977,,1417,397,163,3415,713,612,101,Hunei District
,茄萣區,9124,4015,916,2385,714,1909,,1293,502,114,2521,679,586,93,Qieding District
,永安區,3581,1718,481,1003,234,647,,437,174,36,961,255,213,42,Yong'an District
