,單位：戶,民國109年,,,,2020,Unit:Household,,,,,,,,,
,表３４ 高雄市普通住戶之住宅所有權屬,,Table 34 Kaohsiung City Home Ownership of Ordinary Households,,,,,,,,,表３４ 普通住戶之住宅所有權屬,表３４ 高雄市普通住戶之住宅所有權屬,表３４,高雄市,普通住戶之住宅所有權屬
,,,,,,,,,,,,Table 34 Home Ownership of Ordinary Households,Table 34 Kaohsiung City Home Ownership of Ordinary Households,Table 34,Kaohsiung City,Home Ownership of Ordinary Households
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                    Unit:Household,,,,,,,,,,,,,
,,總 計,自有,不住在一起的配偶、父母或子女所擁有,,租用,配住或其他（含借住）,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grand total,Self-owned,"Owned by spouse,parent or child(ren)not living together",,Rented,Allotted or others(including borrowed),,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,By Township/City/District,,,,,,,,
,高雄市,950703,751162,63710,,86654,49177,Kaohsiung City,,,,,,,,
,鹽埕區,9625,6447,545,,2029,604,Yancheng District,,,,,,,,
,鼓山區,49946,38596,2206,,5634,3510,Gushan District,,,,,,,,
,左營區,68538,54591,3518,,5986,4443,Zuoying District,,,,,,,,
,楠梓區,69072,56404,3712,,6829,2127,Nanzi District,,,,,,,,
,三民區,117828,92831,7821,,12089,5087,Sanmin District,,,,,,,,
,新興區,19067,14452,1369,,2461,785,Xinxing District,,,,,,,,
,前金區,13167,9493,697,,2380,597,Qianjin District,,,,,,,,
,苓雅區,60098,46236,3803,,6781,3278,Lingya District,,,,,,,,
,前鎮區,64449,50567,5787,,4919,3176,Qianzhen District,,,,,,,,
,旗津區,8668,5381,1070,,856,1361,Qijin District,,,,,,,,
,小港區,56056,42400,6815,,3114,3727,Xiaogang District,,,,,,,,
,鳳山區,120606,97427,7507,,10146,5526,Fengshan District,,,,,,,,
,林園區,21858,16782,2142,,1437,1497,Linyuan District,,,,,,,,
,大寮區,38675,31654,1605,,3771,1645,Daliao District,,,,,,,,
,大樹區,13204,11322,544,,860,478,Dashu District,,,,,,,,
,大社區,12785,10264,777,,1020,724,Dashe District,,,,,,,,
,仁武區,30757,25130,1898,,2184,1545,Renwu District,,,,,,,,
,鳥松區,16790,12504,786,,2742,758,Niaosong District,,,,,,,,
,岡山區,31327,25713,1940,,2414,1260,Gangshan District,,,,,,,,
,橋頭區,12942,10679,1189,,740,334,Qiaotou District,,,,,,,,
,燕巢區,11177,8494,1092,,1188,403,Yanchao District,,,,,,,,
,田寮區,1870,1448,267,,21,134,Tianliao District,,,,,,,,
,阿蓮區,9120,7979,399,,498,244,Alian District,,,,,,,,
,路竹區,15529,13172,967,,926,464,Luzhu District,,,,,,,,
,湖內區,11520,8642,919,,1616,343,Hunei District,,,,,,,,
,茄萣區,9124,7003,262,,1018,841,Qieding District,,,,,,,,
,永安區,3562,2518,610,,174,260,Yong'an District,,,,,,,,
,彌陀區,5640,4448,455,,230,507,Mituo District,,,,,,,,
,梓官區,10896,8859,817,,522,698,Ziguan District,,,,,,,,
,旗山區,11609,8961,774,,1080,794,Qishan District,,,,,,,,
,美濃區,11292,10098,601,,336,257,Meinong District,,,,,,,,
,六龜區,3420,2746,282,,236,156,Liugui District,,,,,,,,
,甲仙區,1483,1160,69,,150,104,Jiaxian District,,,,,,,,
,杉林區,3557,2218,133,,117,1089,Shanlin District,,,,,,,,
,內門區,3817,3112,285,,125,295,Neimen District,,,,,,,,
,茂林區,348,311,11,,1,25,Maolin District,,,,,,,,
,桃源區,764,712,1,,10,41,Taoyuan District,,,,,,,,
,那瑪夏區,517,408,35,,14,60,Namaxia District,,,,,,,,
,註：本表僅統計居住於住宅內之普通住戶。,,Note：This table only includes ordinary households living in the housing unit.,,,,,,,,,,,,,
