,民國109年,單位：宅,,,,,2020,Unit:Housing unit,,,,,,
,表３７ 高雄市住宅使用情形,,Table 37 Kaohsiung City Housing Usage Status,,,,,,,表３７ 住宅使用情形,表３７ 高雄市住宅使用情形,表３７,高雄市,住宅使用情形
,,,,,,,,,,Table 37 Housing Usage Status,Table 37 Kaohsiung City Housing Usage Status,Table 37,Kaohsiung City,Housing Usage Status
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,,
,,總計,有人經常居住住宅,,,無人經常居住住宅  Unoccupied (for other uses or vacant),,,,,,,,
,,,,,,,,,,,,,,
,,合計,,偶爾自住,自住以外用途（如辦公室、倉庫等）,目前沒有使用,,,,,,,,
,,,,,,,,,,,,,,
,,Grand total,Occupied,,,,,,,,,,,
,,Total,,Owner occupiedsometimes,Unoccupied butfor other uses,Not in use now,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,By Township/City/District,,,,,
,高雄市,1107058,866006,241052,,56360,51267,133425,Kaohsiung City,,,,,
,鹽埕區,13356,8979,4377,,607,623,3147,Yancheng District,,,,,
,鼓山區,64275,48543,15732,,3012,1351,11369,Gushan District,,,,,
,左營區,89376,67634,21742,,4158,2957,14627,Zuoying District,,,,,
,楠梓區,80043,65182,14861,,5484,2888,6489,Nanzi District,,,,,
,三民區,138260,110280,27980,,5800,5847,16333,Sanmin District,,,,,
,新興區,28870,17985,10885,,2156,4208,4521,Xinxing District,,,,,
,前金區,18271,10637,7634,,1147,1726,4761,Qianjin District,,,,,
,苓雅區,77030,58091,18939,,3855,6609,8475,Lingya District,,,,,
,前鎮區,79272,61358,17914,,3115,3387,11412,Qianzhen District,,,,,
,旗津區,7795,6135,1660,,320,293,1047,Qijin District,,,,,
,小港區,51059,43757,7302,,2091,1052,4159,Xiaogang District,,,,,
,鳳山區,138419,117219,21200,,5178,4832,11190,Fengshan District,,,,,
,林園區,21079,17354,3725,,755,779,2191,Linyuan District,,,,,
,大寮區,41541,33749,7792,,1163,1151,5478,Daliao District,,,,,
,大樹區,12887,10621,2266,,636,350,1280,Dashu District,,,,,
,大社區,13432,11121,2311,,502,408,1401,Dashe District,,,,,
,仁武區,33977,28041,5936,,1399,1748,2789,Renwu District,,,,,
,鳥松區,20981,13747,7234,,804,2608,3822,Niaosong District,,,,,
,岡山區,35550,29633,5917,,1077,1212,3628,Gangshan District,,,,,
,橋頭區,16278,12864,3414,,634,714,2066,Qiaotou District,,,,,
,燕巢區,10279,8258,2021,,433,837,751,Yanchao District,,,,,
,田寮區,2417,1539,878,,348,58,472,Tianliao District,,,,,
,阿蓮區,9147,7716,1431,,447,508,476,Alian District,,,,,
,路竹區,16954,13594,3360,,918,1004,1438,Luzhu District,,,,,
,湖內區,11437,8885,2552,,464,427,1661,Hunei District,,,,,
,茄萣區,8951,7212,1739,,359,308,1072,Qieding District,,,,,
,永安區,3610,2768,842,,234,308,300,Yong'an District,,,,,
,彌陀區,5489,4594,895,,174,223,498,Mituo District,,,,,
,梓官區,11276,9148,2128,,444,522,1162,Ziguan District,,,,,
,旗山區,12549,7786,4763,,2947,594,1222,Qishan District,,,,,
,美濃區,14498,9490,5008,,2684,1116,1208,Meinong District,,,,,
,六龜區,4859,2882,1977,,707,237,1033,Liugui District,,,,,
,甲仙區,2364,1399,965,,393,112,460,Jiaxian District,,,,,
,杉林區,5105,3353,1752,,957,120,675,Shanlin District,,,,,
,內門區,4131,2951,1180,,538,103,539,Neimen District,,,,,
,茂林區,446,318,128,,101,10,17,Maolin District,,,,,
,桃源區,1047,705,342,,182,25,135,Taoyuan District,,,,,
,那瑪夏區,748,478,270,,137,12,121,Namaxia District,,,,,
