,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,,,,,
,表４３ 高雄市有人經常居住住宅之使用情形,,Table 43 Kaohsiung City Housing Usage of Occupied Housing Units,,,,,,,,,表４３ 有人經常居住住宅之使用情形,表４３ 高雄市有人經常居住住宅之使用情形,表４３,高雄市,有人經常居住住宅之使用情形
,,,,,,,,,,,,Table 43 Housing Usage of Occupied Housing Units,Table 43 Kaohsiung City Housing Usage of Occupied Housing Units,Table 43,Kaohsiung City,Housing Usage of Occupied Housing Units
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,,,
,,總 計,住宅專用,住宅兼其他用途,,Residence and other usage,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,合計,,兼工業用,兼商業或服務業用,兼農業用,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grand total,Residence only,,,,,,,,,,,,,
,,Total,,Residence andfactory,Residence andbusiness or service,Residence andagriculture,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,By Township/City/District,,,,,,,
,高雄市,866006,823175,42831,,2307,39689,835,Kaohsiung City,,,,,,,
,鹽埕區,8979,8116,863,,36,827,0,Yancheng District,,,,,,,
,鼓山區,48543,47341,1202,,34,1168,0,Gushan District,,,,,,,
,左營區,67634,65419,2215,,71,2144,0,Zuoying District,,,,,,,
,楠梓區,65182,62579,2603,,32,2571,0,Nanzi District,,,,,,,
,三民區,110280,102907,7373,,191,7182,0,Sanmin District,,,,,,,
,新興區,17985,16292,1693,,29,1664,0,Xinxing District,,,,,,,
,前金區,10637,9925,712,,7,705,0,Qianjin District,,,,,,,
,苓雅區,58091,53983,4108,,28,4080,0,Lingya District,,,,,,,
,前鎮區,61358,58730,2628,,295,2333,0,Qianzhen District,,,,,,,
,旗津區,6135,5799,336,,27,309,0,Qijin District,,,,,,,
,小港區,43757,41767,1990,,59,1931,0,Xiaogang District,,,,,,,
,鳳山區,117219,111687,5532,,198,5334,0,Fengshan District,,,,,,,
,林園區,17354,16662,692,,26,642,24,Linyuan District,,,,,,,
,大寮區,33749,32617,1132,,158,964,10,Daliao District,,,,,,,
,大樹區,10621,10119,502,,33,463,6,Dashu District,,,,,,,
,大社區,11121,10578,543,,9,534,0,Dashe District,,,,,,,
,仁武區,28041,26728,1313,,111,1194,8,Renwu District,,,,,,,
,鳥松區,13747,13212,535,,61,458,16,Niaosong District,,,,,,,
,岡山區,29633,28035,1598,,205,1357,36,Gangshan District,,,,,,,
,橋頭區,12864,12358,506,,25,450,31,Qiaotou District,,,,,,,
,燕巢區,8258,7821,437,,160,264,13,Yanchao District,,,,,,,
,田寮區,1539,1515,24,,0,12,12,Tianliao District,,,,,,,
,阿蓮區,7716,7287,429,,83,315,31,Alian District,,,,,,,
,路竹區,13594,12925,669,,88,519,62,Luzhu District,,,,,,,
,湖內區,8885,8346,539,,165,352,22,Hunei District,,,,,,,
,茄萣區,7212,6988,224,,44,180,0,Qieding District,,,,,,,
,永安區,2768,2697,71,,14,57,0,Yong'an District,,,,,,,
,彌陀區,4594,4406,188,,20,159,9,Mituo District,,,,,,,
,梓官區,9148,8938,210,,46,164,0,Ziguan District,,,,,,,
,旗山區,7786,7281,505,,21,450,34,Qishan District,,,,,,,
,美濃區,9490,9000,490,,11,428,51,Meinong District,,,,,,,
,六龜區,2882,2752,130,,2,106,22,Liugui District,,,,,,,
,甲仙區,1399,1289,110,,1,102,7,Jiaxian District,,,,,,,
,杉林區,3353,2821,532,,11,135,386,Shanlin District,,,,,,,
,內門區,2951,2779,172,,6,115,51,Neimen District,,,,,,,
,茂林區,318,316,2,,0,2,0,Maolin District,,,,,,,
,桃源區,705,693,12,,0,10,2,Taoyuan District,,,,,,,
,那瑪夏區,478,467,11,,0,9,2,Namaxia District,,,,,,,
