,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４４ 高雄市有人經常居住住宅之居住人數,,Table 44 Kaohsiung City Number of Persons of Occupied Housing Units,,,,,,,表４４ 有人經常居住住宅之居住人數,表４４ 高雄市有人經常居住住宅之居住人數,表４４,高雄市,有人經常居住住宅之居住人數
,,,,,,,,,,Table 44 Number of Persons of Occupied Housing Units,Table 44 Kaohsiung City Number of Persons of Occupied Housing Units,Table 44,Kaohsiung City,Number of Persons of Occupied Housing Units
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每宅居住人口數（人 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Number of personsper housing unit(person/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,,
,高雄市,866006,191480,226026,190123,,142335,60912,55130,3,Kaohsiung City,,,
,鹽埕區,8979,3101,2301,1558,,1046,495,478,2.5,Yancheng District,,,
,鼓山區,48543,12347,13272,10300,,8056,2592,1976,2.6,Gushan District,,,
,左營區,67634,16026,17851,16306,,10915,3835,2701,2.7,Zuoying District,,,
,楠梓區,65182,14023,17878,15017,,11753,3961,2550,2.9,Nanzi District,,,
,三民區,110280,24564,30092,25069,,17586,7151,5818,2.9,Sanmin District,,,
,新興區,17985,6016,5113,3278,,2055,829,694,2.5,Xinxing District,,,
,前金區,10637,3819,3261,1800,,1012,431,314,2.7,Qianjin District,,,
,苓雅區,58091,14751,16158,12665,,8752,3405,2360,2.6,Lingya District,,,
,前鎮區,61358,13451,16760,13700,,9467,4535,3445,2.8,Qianzhen District,,,
,旗津區,6135,1263,1322,1170,,957,579,844,3.8,Qijin District,,,
,小港區,43757,8418,10770,9504,,7749,3418,3898,3.3,Xiaogang District,,,
,鳳山區,117219,22742,30173,27104,,21280,9242,6678,2.9,Fengshan District,,,
,林園區,17354,3255,4214,3883,,2759,1372,1871,3.5,Linyuan District,,,
,大寮區,33749,6981,7936,7432,,5831,2680,2889,3.3,Daliao District,,,
,大樹區,10621,1974,2550,2224,,1733,974,1166,3.8,Dashu District,,,
,大社區,11121,2009,2638,2596,,1971,908,999,3.4,Dashe District,,,
,仁武區,28041,4271,5909,6687,,5809,2507,2858,3.4,Renwu District,,,
,鳥松區,13747,3165,3699,2785,,2267,1012,819,3.3,Niaosong District,,,
,岡山區,29633,5648,7396,6827,,5095,2465,2202,3.1,Gangshan District,,,
,橋頭區,12864,2287,3339,2724,,2229,1068,1217,2.9,Qiaotou District,,,
,燕巢區,8258,1597,1858,1617,,1381,776,1029,4,Yanchao District,,,
,田寮區,1539,497,428,239,,165,98,112,2.8,Tianliao District,,,
,阿蓮區,7716,1331,1828,1392,,1280,807,1078,3.7,Alian District,,,
,路竹區,13594,2219,2988,2696,,2731,1291,1669,3.7,Luzhu District,,,
,湖內區,8885,2112,2197,1740,,1300,747,789,3.6,Hunei District,,,
,茄萣區,7212,1551,1432,1464,,1268,611,886,3.7,Qieding District,,,
,永安區,2768,508,576,525,,475,303,381,3.7,Yong'an District,,,
,彌陀區,4594,805,978,852,,784,520,655,3.7,Mituo District,,,
,梓官區,9148,1804,2096,2101,,1582,770,795,3.4,Ziguan District,,,
,旗山區,7786,2158,2264,1435,,896,450,583,3.8,Qishan District,,,
,美濃區,9490,2922,3111,1498,,1015,426,518,2.9,Meinong District,,,
,六龜區,2882,992,904,464,,244,131,147,2.6,Liugui District,,,
,甲仙區,1399,473,442,220,,136,62,66,2.6,Jiaxian District,,,
,杉林區,3353,1158,1022,525,,301,165,182,2.6,Shanlin District,,,
,內門區,2951,786,864,493,,289,193,326,3.3,Neimen District,,,
,茂林區,318,114,86,45,,32,17,24,2.7,Maolin District,,,
,桃源區,705,230,203,101,,73,41,57,2.8,Taoyuan District,,,
,那瑪夏區,478,112,117,87,,61,45,56,3.3,Namaxia District,,,
