,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４５ 高雄市有人經常居住住宅之房廳數,,Table 45 Kaohsiung City Number of Rooms of Occupied Housing Units,,,,,,,表４５ 有人經常居住住宅之房廳數,表４５ 高雄市有人經常居住住宅之房廳數,表４５,高雄市,有人經常居住住宅之房廳數
,,,,,,,,,,Table 45 Number of Rooms of Occupied Housing Units,Table 45 Kaohsiung City Number of Rooms of Occupied Housing Units,Table 45,Kaohsiung City,Number of Rooms of Occupied Housing Units
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１間,２間,３間,,４間,５間,６間以上,平均每宅房廳數（間 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 room,2 rooms,3 rooms,,4 rooms,5 rooms,6 roomsand more,Average numberof rooms perhousing unit(room/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,,
,高雄市,866006,6754,40999,81667,,255060,273277,208249,4.7,Kaohsiung City,,,
,鹽埕區,8979,852,952,1149,,2814,1745,1467,4.0999999999999996,Yancheng District,,,
,鼓山區,48543,678,2264,5459,,17541,14627,7974,4.4000000000000004,Gushan District,,,
,左營區,67634,461,2317,5730,,20205,23906,15015,4.7,Zuoying District,,,
,楠梓區,65182,161,1952,7646,,19385,18567,17471,4.8,Nanzi District,,,
,三民區,110280,1148,6005,9026,,29726,36104,28271,4.7,Sanmin District,,,
,新興區,17985,276,1768,2328,,4714,4832,4067,4.5,Xinxing District,,,
,前金區,10637,526,1403,1819,,2536,2698,1655,4.0999999999999996,Qianjin District,,,
,苓雅區,58091,416,3004,6300,,18814,19319,10238,4.5999999999999996,Lingya District,,,
,前鎮區,61358,209,2366,4348,,22509,20764,11162,4.5999999999999996,Qianzhen District,,,
,旗津區,6135,92,508,900,,2148,1160,1327,4.4000000000000004,Qijin District,,,
,小港區,43757,112,638,4818,,15654,14224,8311,4.7,Xiaogang District,,,
,鳳山區,117219,307,3531,11090,,37460,41595,23236,4.7,Fengshan District,,,
,林園區,17354,17,908,1513,,4595,5357,4964,4.9000000000000004,Linyuan District,,,
,大寮區,33749,88,1677,2814,,8834,12072,8264,4.8,Daliao District,,,
,大樹區,10621,37,497,816,,3087,3174,3010,4.9000000000000004,Dashu District,,,
,大社區,11121,38,399,975,,2818,3271,3620,5,Dashe District,,,
,仁武區,28041,89,848,1664,,5969,9391,10080,5.0999999999999996,Renwu District,,,
,鳥松區,13747,35,879,1113,,3605,3946,4169,4.9000000000000004,Niaosong District,,,
,岡山區,29633,201,1501,1935,,6606,10107,9283,5,Gangshan District,,,
,橋頭區,12864,72,453,1189,,3113,3750,4287,5,Qiaotou District,,,
,燕巢區,8258,48,714,724,,1813,2286,2673,4.9000000000000004,Yanchao District,,,
,田寮區,1539,9,227,315,,474,226,288,4.2,Tianliao District,,,
,阿蓮區,7716,37,387,606,,1749,1729,3208,5.2,Alian District,,,
,路竹區,13594,93,801,1098,,3022,3108,5472,5.0999999999999996,Luzhu District,,,
,湖內區,8885,555,661,454,,2184,2205,2826,4.7,Hunei District,,,
,茄萣區,7212,36,465,848,,1667,1843,2353,4.9000000000000004,Qieding District,,,
,永安區,2768,13,240,203,,515,680,1117,5.0999999999999996,Yong'an District,,,
,彌陀區,4594,46,330,486,,1058,1284,1390,4.8,Mituo District,,,
,梓官區,9148,14,400,905,,2608,2984,2237,4.7,Ziguan District,,,
,旗山區,7786,22,636,760,,1968,2001,2399,5,Qishan District,,,
,美濃區,9490,7,844,1005,,2412,2344,2878,4.9000000000000004,Meinong District,,,
,六龜區,2882,14,361,392,,847,542,726,4.5999999999999996,Liugui District,,,
,甲仙區,1399,14,188,156,,328,262,451,4.8,Jiaxian District,,,
,杉林區,3353,6,349,499,,1002,497,1000,4.7,Shanlin District,,,
,內門區,2951,16,315,346,,834,422,1018,4.8,Neimen District,,,
,茂林區,318,1,35,59,,115,57,51,4.2,Maolin District,,,
,桃源區,705,5,107,107,,172,131,183,4.4000000000000004,Taoyuan District,,,
,那瑪夏區,478,3,69,72,,159,67,108,4.4000000000000004,Namaxia District,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４５ 高雄市有人經常居住住宅之房廳數（續）,,Table 45 Kaohsiung City Number of Rooms of Occupied Housing Units(Cont.),,,,,,,表４５ 有人經常居住住宅之房廳數（續）,表４５ 高雄市有人經常居住住宅之房廳數（續）,表４５,高雄市,有人經常居住住宅之房廳數（續）
,,,,,,,,,,Table 45 Number of Rooms of Occupied Housing Units(Cont.),Table 45 Kaohsiung City Number of Rooms of Occupied Housing Units(Cont.),Table 45,Kaohsiung City,Number of Rooms of Occupied Housing Units(Cont.)
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１間,２間,３間,,４間,５間,６間以上,平均每宅房廳數（間 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 room,2 rooms,3 rooms,,4 rooms,5 rooms,6 roomsand more,Average numberof rooms perhousing unit(room/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按樓地板面積分,,,,,,,,,,By Total Floor Area,,,
,總計,866006,6754,40999,81667,,255060,273277,208249,4.7,Grand Total,,,
,未滿６０平方公尺,73653,6099,19223,28330,,18735,1159,107,2.9,Under 60 Square Meters,,,
,６０－未滿１２０平方公尺,447951,450,14858,36859,,170778,166437,58569,4.5,60-Under 120 Square Meters,,,
,１２０－未滿１８０平方公尺,223577,153,5675,10619,,44870,75083,87177,5.2,120-Under 180 Square Meters,,,
,１８０－未滿３００平方公尺,111547,52,1237,5791,,20079,29573,54815,5.6,180-Under 300 Square Meters,,,
,３００平方公尺以上,9278,-,6,68,,598,1025,7581,7.4,300 Square Meters and More,,,
