,單位：宅,,民國109年,,,,,,2020,Unit:Housing unit,,,,
,表４６ 高雄市有人經常居住住宅之平均每人使用房廳數及衛浴套數,,"Table 46 Kaohsiung City Average Number of Rooms, Baths/Toilets Per Person of",,,,,,,表４６ 有人經常居住住宅之平均每人使用房廳數及衛浴套數,表４６ 高雄市有人經常居住住宅之平均每人使用房廳數及衛浴套數,表４６,高雄市,有人經常居住住宅之平均每人使用房廳數及衛浴套數
,,,Occupied Housing Units,,,,,,,"Table 46 Average Number of Rooms, Baths/Toilets Per Person of","Table 46 Kaohsiung City Average Number of Rooms, Baths/Toilets Per Person of",Table 46,Kaohsiung City,"Average Number of Rooms, Baths/Toilets Per Person of"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總計,每人使用房廳數  Number of rooms per person,,每人使用衛浴套數  Number of baths or toilets per person,,,,,,,,,
,,未滿１間,１－未滿２間,２－未滿３間,３間以上,平均每人,,未滿０. ５套,０. ５－未滿１套,１－未滿２套,２套以上,平均每人,,
,,使用房廳數,,使用衛浴套數,,,,,,,,,,
,,Grand total,（間 / 人）,,（套 / 人）,,,,,,,,,
,,under1 room,1 - under2 rooms,2 - under3 rooms,3 roomsand more,Average number ofrooms per person(room/person),,under0.5 set,0.5 - under1 set,1 - under2 sets,2 setsand more,Average number of,,
,,,baths or toilets,,,,,,,,,,,
,,,per person,,,,,,,,,,,
,,,(set/person),,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,,,By Township/City/District
,高雄市,866006,72544,366181,214200,213081,1.6,,125976,330936,283825,125269,0.7,Kaohsiung City
,鹽埕區,8979,888,3710,2228,2153,1.6,,1319,2832,3487,1341,0.8,Yancheng District
,鼓山區,48543,3885,19770,12123,12765,1.7,,7778,17954,16202,6609,0.7,Gushan District
,左營區,67634,4434,27825,17060,18315,1.7,,7551,26287,21585,12211,0.8,Zuoying District
,楠梓區,65182,3724,28211,15981,17266,1.7,,7713,26018,21890,9561,0.7,Nanzi District
,三民區,110280,7912,45863,28929,27576,1.7,,14199,42421,37246,16414,0.7,Sanmin District
,新興區,17985,1069,6209,4865,5842,1.8,,1885,5582,7181,3337,0.8,Xinxing District
,前金區,10637,685,3898,3054,3000,1.5,,1062,3185,4639,1751,0.7,Qianjin District
,苓雅區,58091,3892,23793,15042,15364,1.7,,8043,20706,19574,9768,0.8,Lingya District
,前鎮區,61358,5476,24893,16016,14973,1.7,,9216,23559,18796,9787,0.7,Qianzhen District
,旗津區,6135,1130,2623,1185,1197,1.2,,1692,2106,1833,504,0.5,Qijin District
,小港區,43757,4602,20225,9292,9638,1.4,,7044,17631,12917,6165,0.7,Xiaogang District
,鳳山區,117219,10041,53272,28568,25338,1.6,,17016,48737,35909,15557,0.7,Fengshan District
,林園區,17354,1977,7439,4003,3935,1.4,,3125,6741,5462,2026,0.6,Linyuan District
,大寮區,33749,3219,14779,8112,7639,1.5,,5750,13613,10162,4224,0.6,Daliao District
,大樹區,10621,1350,4444,2498,2329,1.3,,2167,3979,3317,1158,0.6,Dashu District
,大社區,11121,980,4985,2627,2529,1.5,,1371,4271,3924,1555,0.7,Dashe District
,仁武區,28041,2945,13341,6009,5746,1.5,,3386,11231,9436,3988,0.8,Renwu District
,鳥松區,13747,878,5517,3774,3578,1.5,,1496,4935,4979,2337,0.7,Niaosong District
,岡山區,29633,2475,12673,7684,6801,1.6,,4290,11381,9892,4070,0.7,Gangshan District
,橋頭區,12864,1163,5653,3069,2979,1.7,,1812,5053,4244,1755,0.8,Qiaotou District
,燕巢區,8258,927,3771,1792,1768,1.2,,1599,3216,2538,905,0.6,Yanchao District
,田寮區,1539,162,555,382,440,1.5,,416,461,563,99,0.5,Tianliao District
,阿蓮區,7716,855,3367,1750,1744,1.4,,1644,2882,2404,786,0.6,Alian District
,路竹區,13594,1617,6026,3099,2852,1.4,,2471,4954,4486,1683,0.7,Luzhu District
,湖內區,8885,883,3933,2146,1923,1.3,,1404,3160,3090,1231,0.6,Hunei District
,茄萣區,7212,860,3324,1368,1660,1.3,,1500,2774,2079,859,0.6,Qieding District
,永安區,2768,382,1170,621,595,1.4,,734,1003,809,222,0.5,Yong'an District
,彌陀區,4594,717,2126,859,892,1.3,,1081,1651,1396,466,0.6,Mituo District
,梓官區,9148,1059,3949,2092,2048,1.4,,1537,3402,2946,1263,0.7,Ziguan District
