第10表可支配所得、消費支出及儲蓄,,,,,,,,
"Table 10. Disposable Income, Consumption Expenditure, and Savings",,,,,,,,
,,,,,,,,
,可支配所得,消費支出,儲蓄,平均每戶,,,,
年別,(億元),(億元),(億元),Value per household,,,,
,Disposable income,Consumption expenditure,Savings,可支配所得(元),消費支出(元),儲蓄(元),儲蓄率(%),
Year,(NT$100 million),(NT$100 million),(NT$100 million),Disposable income,Consumption expenditure,Savings,Savings rate,
,(NT$),(NT$),(NT$),(%),,,,
53年,1964,615,546,69,28591,25381,3211,11.23
57年,1968,914,832,82,38514,35097,3417,8.8699999999999992
59年,1970,1148,1056,92,44486,40929,3558,8
60年,1971,1338,1211,127,50280,45526,4754,9.4600000000000009
61年,1972,1577,1370,207,57510,49965,7545,13.12
62年,1973,2007,1703,304,71054,60311,10743,15.12
63年,1974,2703,2358,345,92813,80942,11871,12.79
64年,1975,3066,2615,451,101821,86849,14972,14.7
65年,1976,3625,2983,642,116297,95714,20583,17.7
66年,1977,4249,3398,851,130830,104640,26190,20.02
67年,1978,5248,4118,1130,155737,122207,33530,21.53
68年,1979,6635,5193,1442,188407,147459,40948,21.73
69年,1980,8568,6604,1964,233112,179687,53425,22.92
70年,1981,10199,7638,2562,266439,199523,66916,25.11
71年,1982,10915,8364,2552,275250,210906,64344,23.38
72年,1983,12144,9285,2859,295887,226234,69653,23.54
73年,1984,13194,10235,2958,314245,243784,70461,22.42
74年,1985,13742,10560,3182,320492,246277,74216,23.16
75年,1986,15128,11443,3686,341728,258474,83254,24.36
76年,1987,16763,12584,4180,366487,275105,91382,24.93
77年,1988,19437,14310,5127,410483,302207,108276,26.38
78年,1989,22767,16494,6273,464994,336875,128119,27.55
79年,1990,26145,18614,7531,520147,370323,149824,28.8
80年,1991,30302,21247,9055,587242,411760,175482,29.88
81年,1992,33823,23540,10283,639696,445220,194476,30.4
82年,1993,39444,27319,12125,727879,504133,223747,30.74
83年,1994,42855,30397,12458,769755,545987,223768,29.07
84年,1995,46499,33873,12626,811338,591035,220303,27.15
85年,1996,48825,36302,12522,826378,614435,211943,25.65
86年,1997,52706,38730,13976,863427,634477,228951,26.52
87年,1998,54775,40545,14229,873175,646343,226831,25.98
88年,1999,57176,42142,15034,889053,655282,233770,26.29
89年,2000,58734,43664,15070,891445,662722,228723,25.66
90年,2001,58468,44281,14187,868651,657872,210779,24.27
91年,2002,59907,46003,13904,875919,672619,203300,23.21
92年,2003,61377,46390,14988,881662,666372,215290,24.42
93年,2004,63131,49063,14068,891249,692648,198600,22.28
94年,2005,64471,50526,13945,894574,701076,193497,21.63
95年,2006,66729,52108,14621,913092,713024,200068,21.91
96年,2007,68499,53093,15405,923874,716094,207780,22.49
97年,2008,68934,53221,15713,913687,705413,208274,22.79
98年,2009,68239,54253,13986,887605,705680,181925,20.5
99年,2010,69733,55066,14667,889353,702292,187061,21.03
100年,2011,72274,58028,14246,907988,729010,178978,19.71
101年,2012,74601,58778,15823,923584,727693,195891,21.21
102年,2013,77182,61267,15915,942208,747922,194286,20.62
103年,2014,79323,62603,16719,956849,755169,201680,21.08
104年,2015,80921,63708,17213,964895,759647,205248,21.27
105年,2016,84000,65704,18295,993115,776811,216304,21.78
106年,2017,87213,69472,17741,1018941,811670,207271,20.34
107年,2018,89569,70127,19442,1036304,811359,224945,21.71
108年,2019,92563,72427,20136,1059731,829199,230532,21.75
109年,2020,95327,71969,23358,1079648,815100,264548,24.5
110年,2021,97276,72737,24540,1090554,815442,275112,25.23
111年,2022,99421,74845,24576,1108569,834537,274032,24.72
112年,2023,103668,78551,25117,1136708,861305,275402,24.23
113年,2024,107922,82311,25610,1165206,888699,276507,23.73
114年,2025,118138,89836,28303,1210367,920397,289970,23.96
114年年增率(%),,,,,,,,
Changes in percentage,9.4660958840644192,9.1421559694329968,10.515423662631784,3.8757953529247269,3.5667869548632325,4.8689544930146544,--,
2024-2025,,,,,,,,
