作者不明2026-08-13T18:04:29.785L11114年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2025"
,,,,,,,
第10表  家庭住宅及主要設備概況依可支配所得按戶數五等分位分,Table 10. Household Housing and Household Facilities by Five Equal Divisions,,,,,,
,,,,of Households according to Disposable Income,,,
民 國 114 年,,,,2 0 2 5,,,
,總 平 均,依  可  支  配  所  得,按  戶  數  五  等  分  位  分,,,,
,Five equal divisions of,households according to disposable income,,,,,
,General average,1,2,3,4,5,
,,,,,,,
家庭戶數,9760528,1952106,1952106,1952106,1952106,1952104,No. of households
平均每戶人數,2.69,1.55,2.08,2.7,3.35,3.77,No. of persons per household
平均每戶成年人數,2.38,1.51,1.93,2.41,2.85,3.19,No. of adults per household
平均每戶就業人數,1.29,0.33,0.85,1.3,1.78,2.21,No. of persons employed per household
平均每戶所得收入者人數,1.78,1.14,1.36,1.75,2.14,2.53,No. of income recipients per household
一、家庭住宅概況(％),,,,,,,A.Housing (%)
1.住宅所有權,,,,,,,1.By tenure of dwelling
(1)自有(戶內經常居住成員所擁有),83.95,77.17,80.8,83.38,86.93,91.46,(1)Self-owned (by usually living             member of this household)
(2)不住在一起的配偶、父母或子女所擁有,5.61,7.75,6.89,5.53,4.64,3.25,"(2)Owned by spouse, parents              or children not living together"
(3)租押,7.62,10.46,8.56,8.54,6.75,3.8,(3)Rented
(4)其他(含配住及借用),2.82,4.62,3.75,2.56,1.68,1.49,(4)Allotted and others
2.住宅用途,,,,,,,2.By usage of dwelling
(1)專用,96.55,97.68,95.8,96.3,96.55,96.4,(1)Independent
(2)併用,3.45,2.32,4.2,3.7,3.45,3.6,(2)Connected
3.建築式樣,,,,,,,3.By style of building
(1)平房,6.84,16.34,7.35,4.69,3.89,1.94,(1)One story
(2)二～三層樓,35.25,43.39,38.56,35.62,33.62,25.05,(2)Two or three stories
(3)四～五層樓,30.78,22.78,29.06,31.67,34.33,36.03,(3)Four or five stories
(4)六層樓以上,27.13,17.49,25.02,28.02,28.15,36.98,"(4)Apartment, six stories or over"
4.具有自來水設備,97.85,96.23,98.04,98.03,98.28,98.64,4.Piped water equipment
5.有車家庭停車位情形,,,,,,,5.Parking lot
(1)自有停車位,49.98,52.93,47.8,49.37,49.01,51.42,(1)Self-owned
(2)租借停車位,16.46,9.51,13.09,16.67,17.03,20.27,(2)Rented
(3)無停車位,33.56,37.56,39.12,33.96,33.96,28.3,(3)None
6.每戶建坪平均數(坪),40.16,39.2,39.19,39.31,40.42,42.67,6.Space per household average (pin)
7.每戶建坪中位數(坪),35,35,34,33,35,36,7.Space per household median (pin)
二、家庭主要設備,,,,,,,B.Main household equipment (%)
1.普及率(％),,,,,,,1.Percentage of household with equip.
