作者不明2026-08-13T18:05:49.334L06114年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2025"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,,,,
,,,,Divisions of Households According to Disposable Income,,,
民 國 114 年,,,單位：元,2 0 2 5 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,按  戶  數  五  等  分  位  分,,,,
,Five equal divisions of,households according to disposable income,,,,,
,General average,1,2,3,4,5,
,,,,,,,
家庭戶數,9760528,1952106,1952106,1952106,1952106,1952104,No. of households
平均每戶人數,2.69,1.55,2.08,2.7,3.35,3.77,No. of persons per household
平均每戶成年人數,2.38,1.51,1.93,2.41,2.85,3.19,No. of adults per household
平均每戶就業人數,1.29,0.33,0.85,1.3,1.78,2.21,No. of persons employed per household
平均每戶所得收入者人數,1.78,1.14,1.36,1.75,2.14,2.53,No. of income recipients per household
一、所得收入總計(中位數),1244069,465679,836470,1235175,1716659,2632339,A.Total receipts(median)
二、所得收入總計(平均數),1456725,462043,861549,1254753,1734838,2970444,B.Total receipts(mean)
1.受僱人員報酬,804748,94147,380136,664394,1030918,1854144,1.Compensation of employees
(1)本業薪資,581573,73712,282839,486143,760036,1305136,(1)Full time payroll
(2)兼業薪資,51899,7006,30851,53935,67297,100403,(2)Part time payroll
(3)其他收入,171276,13430,66445,124316,203585,448606,(3)Other receipts or subsidies
2.產業主所得,162344,25546,71480,131380,192785,390526,2.Entrepreneurial income
3.財產所得收入,76980,17584,38013,48669,63550,217085,3. Property income
4.自用住宅設算租金收入,81909,42766,66603,74840,97188,128147,4.Imputed rent income
5.經常移轉收入,330711,281934,305278,335438,350373,380534,5.Current transfer receipts
(1)從私人,75669,96944,87654,75340,62259,56146,(1)From individuals
(2)從政府,86688,75949,74805,92339,98156,92189,(2)From government
(3)社會保險受益,164225,108343,141094,164502,185222,221966,(3)Benefit of social insurance
(4)從企業,3252,599,1310,2578,3977,7796,(4)From enterprises
(5)從國外,878,100,415,681,758,2436,(5)From abroad
6.雜項收入,33,66,38,31,25,8,6.Miscellaneous receipts
三、非消費支出,246358,64851,135159,211479,299200,521099,C.Nonconsumption expenditures
1.利息支出,13555,2376,7454,12357,17548,28040,1.Interest
2.經常移轉支出,232803,62476,127705,199122,281652,493059,2.Current transfer expenditures
(1)對私人,50978,16720,30456,42471,58344,106901,(1)To private
(2)對政府,38178,8403,15918,22941,31951,111677,(2)To government
(3)社會保險,141864,37228,80621,132142,189355,269972,(3)Social insurance
(4)對國外,1783,124,709,1568,2002,4509,(4)To abroad
,,,,,,,
114年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2025"
,,,,,,,
