作者不明2026-08-13T18:06:06.439L09114年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2025",,114年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2025",,114年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2025"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表  家庭住宅及主要設備概況按區域別分,Table 8. Household Housing and Household Facilities by Areas,,第8表  家庭住宅及主要設備概況按區域別分(續一),Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表  家庭住宅及主要設備概況按區域別分(續二),Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 114 年,,,,,2 0 2 5,,,,,民 國 114 年,,,,,2 0 2 5,,,,,民 國 114 年,,,,,2 0 2 5,,,
,總 平 均,新 北 市,臺 北 市,桃 園 市,臺 中 市,臺 南 市,高 雄 市,,,,宜 蘭 縣,新 竹 縣,苗 栗 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,,,,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,City,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家庭戶數,9760528,1778240,1080955,981595,1160265,772881,1206595,No. of households,,家庭戶數,192927,240162,211858,443477,189455,262126,195252,No. of households,,家庭戶數,312955,87747,134135,44614,167881,188891,108517,No. of households
平均每戶人數,2.69,2.58,2.66,2.96,2.76,2.7,2.76,No. of persons per household,,平均每戶人數,2.65,2.88,2.88,2.55,2.73,2.6,2.38,No. of persons per household,,平均每戶人數,2.62,2.42,2.2,2.38,2.49,2.78,2.61,No. of persons per household
平均每戶成年人數,2.38,2.32,2.43,2.51,2.41,2.37,2.44,No. of adults per household,,平均每戶成年人數,2.38,2.31,2.51,2.31,2.39,2.37,2.19,No. of adults per household,,平均每戶成年人數,2.3,2.04,2,2.14,2.27,2.36,2.37,No. of adults per household
平均每戶就業人數,1.29,1.28,1.24,1.4,1.31,1.36,1.4,No. of persons employed per household,,平均每戶就業人數,1.23,1.31,1.27,1.22,1.16,1.35,1.14,No. of persons employed per household,,平均每戶就業人數,1.25,1.11,0.99,1.01,1.01,1.28,1.21,No. of persons employed per household
平均每戶所得收入者人數,1.78,1.88,1.97,1.83,1.75,1.74,1.82,No. of income recipients per household,,平均每戶所得收入者人數,1.69,1.74,1.81,1.6,1.65,1.54,1.6,No. of income recipients per household,,平均每戶所得收入者人數,1.65,1.46,1.49,1.55,1.59,1.85,1.72,No. of income recipients per household
一、家庭住宅概況(％),,,,,,,,A.Housing (%),,一、家庭住宅概況(％),,,,,,,,A.Housing (%),,一、家庭住宅概況(％),,,,,,,,A.Housing (%)
1.住宅所有權,,,,,,,,1.By tenure of dwelling,,1.住宅所有權,,,,,,,,1.By tenure of dwelling,,1.住宅所有權,,,,,,,,1.By tenure of dwelling
