L09102年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2013",,102年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2013",,102年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2013"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 102 年,,,,,2 0 1 3,,,,,民 國 102 年,,,,,2 0 1 3,,,,,民 國 102 年,,,,,2 0 1 3,,,
,總 平 均,新 北 市,臺 北 市,臺 中 市,臺 南 市,高 雄 市,宜 蘭 縣,,,,桃 園 縣,新 竹 縣,苗 栗 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,
,General,New Taipei,Taipei,Taichung,Tainan,Kaohsiung,Yilan,,,,Taoyuan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,County,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家庭戶數,8191640,1465941,1021435,889989,659561,1050752,159807,No. of households,,家庭戶數,708149,172418,179484,373945,174926,235810,180202,No. of households,,家庭戶數,281553,81482,123004,36364,149091,150366,97361,No. of households
平均每戶人數,3.21,3.27,3.13,3.29,3.18,3.1,3.05,No. of persons per household,,平均每戶人數,3.56,3.42,3.24,3.35,3.07,2.87,3.07,No. of persons per household,,平均每戶人數,3.11,2.54,2.91,2.82,2.9,3.39,3.29,No. of persons per household
平均每戶成年人數,2.57,2.63,2.63,2.59,2.5299999999999998,2.54,2.36,No. of adults per household,,平均每戶成年人數,2.75,2.59,2.54,2.67,2.4700000000000002,2.34,2.4500000000000002,No. of adults per household,,平均每戶成年人數,2.46,1.99,2.27,2.2999999999999998,2.44,2.6,2.58,No. of adults per household
平均每戶就業人數,1.46,1.5,1.33,1.52,1.51,1.44,1.26,No. of persons employed per household,,平均每戶就業人數,1.61,1.61,1.44,1.62,1.45,1.32,1.38,No. of persons employed per household,,平均每戶就業人數,1.5,1.0900000000000001,1.18,1.1100000000000001,1.29,1.54,1.48,No. of persons employed per household
平均每戶所得收入者人數,1.71,1.75,1.69,1.73,1.69,1.7,1.6,No. of income recipients per household,,平均每戶所得收入者人數,1.89,1.83,1.7,1.69,1.62,1.47,1.62,No. of income recipients per household,,平均每戶所得收入者人數,1.54,1.44,1.53,1.55,1.59,1.87,1.8,No. of income recipients per household
一、家庭住宅概況(％),,,,,,,,A.Housing (%),,一、家庭住宅概況(％),,,,,,,,A.Housing (%),,一、家庭住宅概況(％),,,,,,,,A.Housing (%)
1.住宅所有權,,,,,,,,1.By tenure of dwelling,,1.住宅所有權,,,,,,,,1.By tenure of dwelling,,1.住宅所有權,,,,,,,,1.By tenure of dwelling
(1)自有(戶內經常居住成員所擁有),85.34,83.47,81.91,83.44,86.1,84.68,84.87,(1)Self-owned (by usually livingmember of this household),,(1)自有(戶內經常居住成員所擁有),86.56,90.62,90.67,89.26,92.7,90.32,90.81,(1)Self-owned (by usually livingmember of this household),,(1)自有(戶內經常居住成員所擁有),87.11,80.930000000000007,83.38,89.64,86.06,87.47,85.86,(1)Self-owned (by usually livingmember of this household)
(2)不住在一起的配偶、父母或子女所擁有,3.36,3.15,2.5,4.43,2.0499999999999998,4.72,5.48,"(2)Owned by spouse, parentsor children not living together",,(2)不住在一起的配偶、父母或子女所擁有,2.2799999999999998,2.82,1.6,4.5599999999999996,2.98,2.81,3.35,"(2)Owned by spouse, parentsor children not living together",,(2)不住在一起的配偶、父母或子女所擁有,2.12,3.51,4.03,2.79,2.9,5.55,6.44,"(2)Owned by spouse, parentsor children not living together"
(3)租押,8.48,11.23,11.21,9.09,8.31,8.2200000000000006,6.8,(3)Rented,,(3)租押,9.74,4.8499999999999996,4.45,3.61,2.36,3.41,3.32,(3)Rented,,(3)租押,6.7,9.26,8.3800000000000008,4.03,9.75,5.99,4.1900000000000004,(3)Rented
(4)其他(含配住及借用),2.82,2.15,4.38,3.03,3.54,2.38,2.85,(4)Allotted and others,,(4)其他(含配住及借用),1.43,1.72,3.28,2.57,1.96,3.46,2.52,(4)Allotted and others,,(4)其他(含配住及借用),4.07,6.3,4.21,3.54,1.28,0.99,3.51,(4)Allotted and others
2.住宅用途,,,,,,,,2.By usage of dwelling,,2.住宅用途,,,,,,,,2.By usage of dwelling,,2.住宅用途,,,,,,,,2.By usage of dwelling
(1)專用,95.8,96.71,95.89,97.03,95.09,97.05,94.94,(1)Independent,,(1)專用,96.75,97.64,93.81,94.95,93.9,91.5,88.62,(1)Independent,,(1)專用,91.8,93.17,94.33,100,98.72,97.67,93.2,(1)Independent
(2)併用,4.2,3.29,4.1100000000000003,2.97,4.91,2.95,5.0599999999999996,(2)Connected,,(2)併用,3.25,2.36,6.19,5.05,6.1,8.5,11.38,(2)Connected,,(2)併用,8.1999999999999993,6.83,5.67,0,1.28,2.33,6.8,(2)Connected
3.建築式樣,,,,,,,,3.By style of building,,3.建築式樣,,,,,,,,3.By style of building,,3.建築式樣,,,,,,,,3.By style of building
(1)平房,9.9,3.65,2.86,6.37,17.2,5.82,9.52,(1)One story,,(1)平房,5.5,6.52,12.91,20.71,24.94,28.58,32.19,(1)One story,,(1)平房,24.68,42.6,27.21,19.04,6.15,1.68,5.53,(1)One story
(2)二～三層樓,40.840000000000003,14.1,9.43,50.44,53.05,45.47,69.86,(2)Two or three stories,,(2)二～三層樓,44.44,53.85,74.52,68.72,65.44,64.180000000000007,62.37,(2)Two or three stories,,(2)二～三層樓,69.13,50.26,61.85,65.95,17.43,37.96,60.45,(2)Two or three stories
