L09105年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2016",,105年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2016",,105年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2016"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 105 年,,,,,2 0 1 6,,,,,民 國 105 年,,,,,2 0 1 6,,,,,民 國 105 年,,,,,2 0 1 6,,,
,總平均,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,,,,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,,,,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,,,,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,City,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家庭戶數,8458223,1515318,1045175,757890,933760,674233,1076120,No. of households,,家庭戶數,165698,185128,184739,383007,177089,238767,182132,No. of households,,家庭戶數,285022,82460,125005,38571,151064,158443,98602,No. of households
平均每戶人數,3.07,3.1,3,3.34,2.94,3.09,3.17,No. of persons per household,,平均每戶人數,2.91,3.43,3.29,3.04,3.06,2.78,3.07,No. of persons per household,,平均每戶人數,2.89,2.4300000000000002,2.54,2.84,2.87,3.27,3.05,No. of persons per household
平均每戶成年人數,2.54,2.59,2.56,2.64,2.4,2.58,2.65,No. of adults per household,,平均每戶成年人數,2.44,2.72,2.6,2.5099999999999998,2.5499999999999998,2.3199999999999998,2.46,No. of adults per household,,平均每戶成年人數,2.38,2.0099999999999998,2.09,2.35,2.5,2.6,2.4,No. of adults per household
平均每戶就業人數,1.42,1.44,1.29,1.55,1.36,1.54,1.47,No. of persons employed per household,,平均每戶就業人數,1.33,1.67,1.42,1.52,1.45,1.38,1.43,No. of persons employed per household,,平均每戶就業人數,1.41,1.1399999999999999,1.04,1.17,1.31,1.48,1.23,No. of persons employed per household
平均每戶所得收入者人數,1.75,1.84,1.75,1.88,1.64,1.77,1.79,No. of income recipients per household,,平均每戶所得收入者人數,1.71,1.94,1.77,1.7,1.6,1.54,1.6,No. of income recipients per household,,平均每戶所得收入者人數,1.55,1.41,1.45,1.63,1.72,1.93,1.59,No. of income recipients per household
一、家庭住宅概況(％),,,,,,,,A.Housing (%),,一、家庭住宅概況(％),,,,,,,,A.Housing (%),,一、家庭住宅概況(％),,,,,,,,A.Housing (%)
1.住宅所有權,,,,,,,,1.By tenure of dwelling,,1.住宅所有權,,,,,,,,1.By tenure of dwelling,,1.住宅所有權,,,,,,,,1.By tenure of dwelling
