2020-08-14T00:00:00L09108年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,,
第8表  家庭住宅及主要設備概況按區域別分,Table 8. Household Housing and Household Facilities by Areas,,,,,,,
,,,,,,,,
民 國 108 年,,,,,2 0 1 9,,,
,總 平 均,新 北 市,臺 北 市,桃 園 市,臺 中 市,臺 南 市,高 雄 市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,
,average,City,City,City,City,City,City,
,,,,,,,,
家庭戶數,8734575.9999,1571557,1058621,816221.99999,979468.99999,692288.99999,1104650,No. of households
平均每戶人數,3.02,2.97,3.1,3.21,3.07,2.96,3.06,No. of persons per household
平均每戶人數,2.52,2.51,2.66,2.56,2.58,2.52,2.58,No. of adults per household
平均每戶就業人數,1.4,1.42,1.41,1.52,1.46,1.45,1.43,No. of persons employed per household
平均每戶所得收入者人數,1.78,1.86,1.92,1.81,1.78,1.73,1.82,No. of income recipients per household
一、家庭住宅概況(％),,,,,,,,A.Housing (%)
1.住宅所有權,,,,,,,,1.By tenure of dwelling
(1)自有(戶內經常居住成員所擁有),84.695333188,82.842522765,84.015334358,87.005493261,80.260334338,85.287155213,84.633396057,(1)Self-owned (by usually living             member of this household)
(2)不住在一起的配偶、父母或子女所擁有,4.6400354361,4.7731978972,3.5542341407,3.2626916059,7.0426984766,4.0496999363,4.6355034405,"(2)Owned by spouse, parents              or children not living together"
(3)租押,8.0399820841,10.908297038,9.3910227342,8.0101327055,9.4602291567,8.2834271886,7.8990512616,(3)Rented
(4)其他(含配住及借用),2.6246492914,1.4759822994,3.0394087674,1.7216824276,3.2367380283,2.3797176618,2.8320492413,(4)Allotted and others
2.住宅用途,,,,,,,,2.By usage of dwelling
(1)專用,96.404522892,96.153650321,98.356684828,96.524019886,97.945997596,96.453774274,96.340534396,(1)Independent
(2)併用,3.5954771083,3.8463496789,1.6433151719,3.4759801139,2.0540024035,3.5462257257,3.6594656036,(2)Connected
3.建築式樣,,,,,,,,3.By style of building
(1)平房,8.5643193479,2.4083809269,1.9471590529,3.0014980822,7.0105546235,13.659793159,5.3906594043,(1)One story
(2)二～三層樓,38.645607687,13.636689393,9.324428672,36.285176295,48.362460323,50.974157368,39.480248582,(2)Two or three stories
(3)四～五層樓,30.413689036,47.602748967,54.805331116,28.621781769,21.112219192,24.353170698,32.236182121,(3)Four or five stories
(4)六層樓以上,22.376383929,36.352180714,33.923081159,32.091543854,23.514765862,11.012878775,22.892909893,"(4)Apartment, six stories or over"
4.具有自來水設備,96.45174412,100,99.902072489,97.86240713,97.882304623,99.612267334,97.541974257,4.Piped water equipment
5.有車家庭停車位情形,,,,,,,,5.Parking lot
(1)自有停車位,51.505629435,34.007047542,31.753476336,60.021339835,48.88897897,62.230180714,50.014530404,(1)Self-owned
(2)租借停車位,14.555546402,26.913359535,34.764141436,13.772514928,11.676601794,6.1217875824,12.138053684,(2)Rented
(3)無停車位,33.938824162,39.079592924,33.482382228,26.206145236,39.434419236,31.648031703,37.847415912,(3)None
6.平均每戶建坪(坪),45.092339241,31.539136171,32.149849808,52.212306833,51.773786868,49.455529126,50.07766444,6.Average space per household(pin)
二、家庭主要設備,,,,,,,,B.Main household equipment (%)
1.普及率(％),,,,,,,,1.Percentage of household with equip.
(1)彩色電視機,98.7366086,99.839139768,98.751625729,98.729557137,98.702453715,97.614001509,98.269753868,(1)Color TV
一般彩色電視機,8.0692725095,3.9485428896,4.5411136815,5.9050449055,9.2803659267,8.9168111392,8.9388122029,Non-LCD TV
液晶、電漿電視,94.289057501,97.914945569,96.354065214,95.757570097,93.794904209,92.428518987,93.912950459,LCD、PDP TV
(2)數位影音光碟機,14.59371412,21.990312133,21.411062573,16.538916083,15.363613071,8.3286010011,11.085347474,(2)DVD player
(3)攝影機,3.6221718268,4.6104990261,7.2520308768,3.4259463304,4.8505841108,1.9210825527,2.3757446637,(3)Movies camera
(4)音響,20.698262678,29.939804748,27.770583068,22.375109151,23.151604519,11.989831888,14.623263902,(4)Stereo
(5)鋼琴(含電子琴),7.7965847476,4.7476574711,14.767756589,6.8008051468,9.6024339602,6.6476024288,7.5809915955,(5)Piano
(6)數位相機,16.268754925,22.801985792,23.600113112,13.816334613,18.972321088,11.780150522,12.215460836,(6)Digital camera
(7)電視遊樂器,7.2922423164,10.51150914,12.097277378,8.617979609,8.0849194216,4.3980061436,4.667206419,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),85.920558528,93.572254766,93.382215178,84.278487324,83.878052755,83.142496794,89.007730706,(8)Cable TV(MOD included)
(9)家用電腦,66.686489067,74.408282364,81.428477982,73.371725285,70.373847671,61.31304074,63.462564791,(9)Personal computer
(10)電話機,88.188455627,91.463412337,93.29406925,81.003809294,86.684926822,88.708857082,87.486442621,(10)Telephone
(11)行動電話,95.551934349,97.831475785,98.452517569,97.99038711,96.715387843,93.069590549,95.705992397,(11)Cell phone
(12)連網(使用電腦或其他設備),89.240144906,92.72022401,95.605439236,94.300976167,92.365269224,85.997417699,90.839190757,(12)Internet facility
,,,,,,,,
附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96 個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,
為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean ±1.96 standard deviation will,,,
