L0984年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 1995",,84年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 1995",,84年家庭收支調查報告,,,,,,,,,,"The Survey of Family Income and Expenditure, 1995"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 84 年,,,,,1 9 9 5,,,,,民 國 84 年,,,,,1 9 9 5,,,,,,民 國 84 年,,,,,,1 9 9 5,,,,
,總 平 均,臺 北 市,高 雄 市,臺 北 縣,宜 蘭 縣,桃 園 縣,新 竹 縣,,,,苗 栗 縣,臺 中 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,臺 南 縣,高 雄 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,臺 中 市,嘉 義 市,臺 南 市,
,General,Taipei,Kaohsiung,Taipei,Yilan,Taoyuan,Hsinchu,,,,Miaoli,Taichung,Changhua,Nantou,Yunlin,Chiayi,Tainan,Kaohsiung,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Taichung,Chiayi,Tainan,
,average,City,City,County,County,County,County,,,,County,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家庭戶數,5731179,838551,419113,927313,113864,392521,94613,No. of households,,家庭戶數,128718,340448,287598,134520,182919,139768,285415,319987,No. of households,,家庭戶數,227253,66838,95786,24814,102649,90527,244870,71242,201852,No. of households
平均每戶人數,3.94,3.73,3.77,4,4.12,4.1399999999999997,4.4000000000000004,No. of persons per household,,平均每戶人數,4.13,4.3099999999999996,4.24,4.08,3.55,3.7,3.68,3.9,No. of persons per household,,平均每戶人數,3.85,3.42,3.37,3.64,4.08,3.92,4.13,4.01,4,No. of persons per household
平均每戶成年人數,2.58,2.54,2.5299999999999998,2.5499999999999998,2.72,2.68,2.84,No. of adults per household,,平均每戶成年人數,2.71,2.65,2.77,2.69,2.44,2.52,2.4500000000000002,2.5099999999999998,No. of adults per household,,平均每戶成年人數,2.6,2.2400000000000002,2.29,2.2599999999999998,2.75,2.56,2.67,2.5099999999999998,2.65,No. of adults per household
平均每戶就業人數,1.72,1.58,1.6,1.67,1.7,1.83,2.02,No. of persons employed per household,,平均每戶就業人數,1.88,1.89,1.88,1.9,1.69,1.79,1.79,1.72,No. of persons employed per household,,平均每戶就業人數,1.71,1.63,1.46,1.03,1.69,1.81,1.7,1.59,1.75,No. of persons employed per household
平均每戶所得收入者人數,1.7,1.67,1.66,1.7,1.8,1.85,2.0099999999999998,No. of income recipients per household,,平均每戶所得收入者人數,1.73,1.76,1.75,1.7,1.49,1.58,1.64,1.67,No. of income recipients per household,,平均每戶所得收入者人數,1.67,1.6,1.65,1.28,1.81,1.91,1.67,1.55,1.76,No. of income recipients per household
一、家庭住宅概況(％),,,,,,,,A.Housing (%),,一、家庭住宅概況(％),,,,,,,,,A.Housing (%),,一、家庭住宅概況(％),,,,,,,,,,A.Housing (%)
1.住宅所有權,,,,,,,,1.By tenure of dwelling,,1.住宅所有權,,,,,,,,,1.By tenure of dwelling,,1.住宅所有權,,,,,,,,,,1.By tenure of dwelling
(1)自有,83.56,76.52,78.86,80.319999999999993,87.44,87.62,89.39,(1)Self-owned,,(1)自有,91.64,84.1,91.91,87.52,91.32,92.73,90.08,87.96,(1)Self-owned,,(1)自有,89.75,87.85,82.36,83.4,83.89,78.56,79.52,80.25,74.739999999999995,(1)Self-owned
(2)租押,9.7799999999999994,13.6,12.46,14.56,4.95,6.59,6.94,(2)Rented,,(2)租押,4.55,10.19,5.68,4.63,4.0999999999999996,3.33,6.5,5.32,(2)Rented,,(2)租押,4.6399999999999997,4.78,10,7.57,8.3699999999999992,7.99,11.68,10.93,16.420000000000002,(2)Rented
(3)其他(含配住及借用),6.66,9.89,8.69,5.12,7.6,5.79,3.67,(3)Issued、lease and others,,(3)其他(含配住及借用),3.81,5.71,2.41,7.84,4.58,3.95,3.42,6.72,(3)Issued、lease and others,,(3)其他(含配住及借用),5.62,7.37,7.63,9.0399999999999991,7.74,13.45,8.8000000000000007,8.83,8.84,(3)Issued、lease and others
2.住宅用途,,,,,,,,2.By usage of dwelling,,2.住宅用途,,,,,,,,,2.By usage of dwelling,,2.住宅用途,,,,,,,,,,2.By usage of dwelling
(1)專用,93.69,96.28,95.43,94.77,92.22,95.35,95.64,(1)Independent,,(1)專用,90.81,92.1,96.36,92.36,94.79,88.83,93.29,91.53,(1)Independent,,(1)專用,95.67,90.02,91.17,94.43,97.75,90.67,87.96,88.74,87.17,(1)Independent
(2)併用,6.27,3.72,4.57,5.23,7.78,4.6500000000000004,4.3600000000000003,(2)Connected,,(2)併用,9.19,7.9,3.64,7.64,4.99,11.17,6.71,8.34,(2)Connected,,(2)併用,4.1399999999999997,9.98,8.83,5.57,2.25,9,12.04,11.26,12.64,(2)Connected
(3)其他,0.03,0,0,0,0,0,0,(3)Others,,(3)其他,0,0,0,0,0.22,0,0,0.13,(3)Others,,(3)其他,0.19,0,0,0,0,0.33,0,0,0.19,(3)Others
3.建築式樣,,,,,,,,3.By style of building,,3.建築式樣,,,,,,,,,3.By style of building,,3.建築式樣,,,,,,,,,,3.By style of building
(1)平房,20.09,6.37,10.15,9.31,26.47,13.21,18.55,(1)One story,,(1)平房,26.85,23.17,37.74,39.28,48.6,51.12,33.29,20.32,(1)One story,,(1)平房,31.14,52.26,50.13,36.229999999999997,16.45,14.71,16.010000000000002,21.21,13.44,(1)One story
(2)二～三層樓,43.03,11.7,41.17,17.62,63.96,60.1,68.03,(2)Two or three stories,,(2)二～三層樓,69.47,65.89,55.7,54.72,49.1,45.87,60.44,64.25,(2)Two or three stories,,(2)二～三層樓,64.95,46.46,45.26,57.37,23.25,51.57,42.09,55.86,64.28,(2)Two or three stories
(3)四～五層樓,27.21,57.75,32.049999999999997,61.14,6.38,18.809999999999999,8.0399999999999991,(3)Four or five stories,,(3)四～五層樓,2.77,7.25,5.7,4.51,0.93,2.71,3.43,10.97,(3)Four or five stories,,(3)四～五層樓,2.4500000000000002,1.27,3.62,5.46,51.62,26.34,22.28,10.86,16.82,(3)Four or five stories
(4)六層樓以上,9.67,24.18,16.62,11.93,3.18,7.87,5.38,"(4)Apartment, six stories or over",,(4)六層樓以上,0.91,3.69,0.86,1.5,1.38,0.3,2.85,4.46,"(4)Apartment, six stories or over",,(4)六層樓以上,1.46,0,0.99,0.93,8.67,7.38,19.62,12.07,5.46,"(4)Apartment, six stories or over"
4.具有自來水設備,91.11,99.47,95.87,96.19,76.67,86.18,62.56,4.Piped water equipment,,4.具有自來水設備,67.84,90.39,85.82,86.25,99.11,92.77,99.28,87.89,4.Piped water equipment,,4.具有自來水設備,56.13,79.73,84.45,98.94,97.78,88.54,96.34,100,100,4.Piped water equipment
5.有車家庭停車位情形,,,,,,,,5.Parking lot,,5.有車家庭停車位情形,,,,,,,,,5.Parking lot,,5.有車家庭停車位情形,,,,,,,,,,5.Parking lot
(1)自有停車位,38.43,10.48,20.03,23.98,46.68,47.03,61.27,(1)Self-owned,,(1)自有停車位,53,52.16,63.96,65.88,56.59,64.650000000000006,68.44,47.76,(1)Self-owned,,(1)自有停車位,58.74,54.96,48.84,61.09,9.2100000000000009,39.729999999999997,32.200000000000003,39.840000000000003,31.08,(1)Self-owned
(2)租借停車位,4.22,9.32,2.5299999999999998,8.18,3.88,3.67,2.5299999999999998,(2)Rented,,(2)租借停車位,1.69,2,2.76,3.56,2.02,0,1.25,3.07,(2)Rented,,(2)租借停車位,0.43,1.27,2.56,3.97,3.07,1.28,2.63,1.1000000000000001,1.66,(2)Rented
