L0993年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2004",,93年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2004",,93年家庭收支調查報告,,,,,,,,,,"The Survey of Family Income and Expenditure, 2004"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),,,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 93 年,,,,,2 0 0 4,,,,,民 國 93 年,,,,,2 0 0 4,,,,,,民 國 93 年,,,,,,2 0 0 4,,,,
,總 平 均,臺 北 市,高 雄 市,臺 北 縣,宜 蘭 縣,桃 園 縣,新 竹 縣,,,,苗 栗 縣,臺 中 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,臺 南 縣,高 雄 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,臺 中 市,嘉 義 市,臺 南 市,
,General,Taipei,Kaohsiung,Taipei,Yilan,Taoyuan,Hsinchu,,,,Miaoli,Taichung,Changhua,Nantou,Yunlin,Chiayi,Tainan,Kaohsiung,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Taichung,Chiayi,Tainan,
,average,City,City,County,County,County,County,,,,County,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家庭戶數,7083445,918772,531638,1230053,139196,562923,128834,No. of households,,家庭戶數,154057,418568,334572,158207,209211,161522,338811,395717,No. of households,,家庭戶數,258343,75933,111949,29113,137528,121926,336254,85403,244915,No. of households
平均每戶人數,3.5,3.22,3.38,3.55,3.51,3.83,4.0599999999999996,No. of persons per household,,平均每戶人數,3.61,3.87,3.89,3.35,3.51,3.42,3.57,3.36,No. of persons per household,,平均每戶人數,3.2,3.11,3.02,3.14,3.43,3.71,3.39,3.1,3.53,No. of persons per household
平均每戶成年人數,2.57,2.48,2.5299999999999998,2.61,2.54,2.68,2.84,No. of adults per household,,平均每戶成年人數,2.67,2.71,2.8,2.4500000000000002,2.56,2.68,2.59,2.5299999999999998,No. of adults per household,,平均每戶成年人數,2.39,2.21,2.2400000000000002,2.44,2.61,2.74,2.42,2.3199999999999998,2.64,No. of adults per household
平均每戶就業人數,1.53,1.38,1.44,1.6,1.35,1.69,1.79,No. of persons employed per household,,平均每戶就業人數,1.43,1.66,1.73,1.57,1.63,1.63,1.61,1.53,No. of persons employed per household,,平均每戶就業人數,1.44,1.25,1.17,1.22,1.44,1.46,1.47,1.1599999999999999,1.58,No. of persons employed per household
平均每戶所得收入者人數,1.64,1.59,1.59,1.72,1.58,1.79,2.0299999999999998,No. of income recipients per household,,平均每戶所得收入者人數,1.61,1.68,1.73,1.6,1.5,1.61,1.66,1.59,No. of income recipients per household,,平均每戶所得收入者人數,1.51,1.51,1.44,1.5,1.65,1.71,1.53,1.4,1.67,No. of income recipients per household
一、家庭住宅概況(％),,,,,,,,A.Housing (%),,一、家庭住宅概況(％),,,,,,,,,A.Housing (%),,一、家庭住宅概況(％),,,,,,,,,,A.Housing (%)
1.住宅所有權,,,,,,,,1.By tenure of dwelling,,1.住宅所有權,,,,,,,,,1.By tenure of dwelling,,1.住宅所有權,,,,,,,,,,1.By tenure of dwelling
(1)自有,86.8,80.489999999999995,83.75,85.23,95.42,90.73,94.39,(1)Self-owned,,(1)自有,88.76,87.06,92.87,90.37,95.34,95.21,91.95,86.92,(1)Self-owned,,(1)自有,89.06,85.76,88.78,88.59,90.08,82.87,81.81,72.91,83.15,(1)Self-owned
(2)租押,8.08,11.43,9.56,10.96,2.83,7.58,3.41,(2)Rented,,(2)租押,3.5,9.24,2.73,4.67,1.5,3.01,5.77,7.82,(2)Rented,,(2)租押,3.6,4.91,6.6,2.4900000000000002,4.25,6.69,10.63,10.61,12.94,(2)Rented
(3)其他(含配住及借用),5.12,8.07,6.69,3.81,1.75,1.69,2.2000000000000002,(3)Issued、lease and others,,(3)其他(含配住及借用),7.73,3.69,4.4000000000000004,4.95,3.16,1.77,2.27,5.26,(3)Issued、lease and others,,(3)其他(含配住及借用),7.34,9.34,4.6100000000000003,8.91,5.67,10.44,7.56,16.48,3.91,(3)Issued、lease and others
2.住宅用途,,,,,,,,2.By usage of dwelling,,2.住宅用途,,,,,,,,,2.By usage of dwelling,,2.住宅用途,,,,,,,,,,2.By usage of dwelling
(1)專用,95.62,96.23,97.52,96.95,96.05,96.5,94.82,(1)Independent,,(1)專用,93.78,97.43,92.05,90.98,94.53,93.77,95.9,94.88,(1)Independent,,(1)專用,94.55,89.86,95.1,95.99,99.35,98.11,97.87,92.74,87.35,(1)Independent
(2)併用,4.38,3.77,2.48,3.05,3.95,3.5,5.18,(2)Connected,,(2)併用,6.22,2.57,7.95,9.02,5.47,6.23,4.2699999999999996,5.12,(2)Connected,,(2)併用,5.45,10.14,4.9000000000000004,4.01,0.65,1.89,2.13,7.26,12.65,(2)Connected
3.建築式樣,,,,,,,,3.By style of building,,3.建築式樣,,,,,,,,,3.By style of building,,3.建築式樣,,,,,,,,,,3.By style of building
(1)平房,12.52,4.59,6.01,4.01,18.899999999999999,4.9000000000000004,13.86,(1)One story,,(1)平房,17.86,12.35,20.96,24.7,31.59,40.51,25.93,13.25,(1)One story,,(1)平房,25.05,50.56,34.450000000000003,21.48,11.16,10.29,6.31,23.76,5.69,(1)One story
(2)二～三層樓,43.24,10,38.68,16.170000000000002,68.959999999999994,55.38,69.489999999999995,(2)Two or three stories,,(2)二～三層樓,72.510000000000005,66.010000000000005,65.5,68.78,61.61,57.53,57.88,61.19,(2)Two or three stories,,(2)二～三層樓,64.48,47.11,56.59,71.989999999999995,24.25,49.34,35.35,47.82,62.68,(2)Two or three stories
(3)四～五層樓,25.93,52.15,31.05,50.55,6.36,18.149999999999999,10.63,(3)Four or five stories,,(3)四～五層樓,7.88,10.94,10.45,3.9,4.03,1.96,8.41,14,(3)Four or five stories,,(3)四～五層樓,7.4,1.94,4.6399999999999997,4.5199999999999996,52.8,20.260000000000002,21.36,16.989999999999998,16.75,(3)Four or five stories
(4)六層樓以上,18.3,33.25,24.26,29.27,5.77,21.57,6.01,"(4)Apartment, six stories or over",,(4)六層樓以上,1.75,10.7,3.09,2.62,2.78,0,7.78,11.56,"(4)Apartment, six stories or over",,(4)六層樓以上,3.08,0.38,4.32,2.0099999999999998,11.79,20.11,36.979999999999997,11.44,14.88,"(4)Apartment, six stories or over"
4.具有自來水設備,93.83,99.75,98.05,98.8,87.64,94.09,76.510000000000005,4.Piped water equipment,,4.具有自來水設備,76.86,88.09,89.22,88.41,99.74,94.34,99.11,93.08,4.Piped water equipment,,4.具有自來水設備,56.38,87.89,84.57,99.51,99.69,95.74,98.9,100,99.8,4.Piped water equipment
5.有車家庭停車位情形,,,,,,,,5.Parking lot,,5.有車家庭停車位情形,,,,,,,,,5.Parking lot,,5.有車家庭停車位情形,,,,,,,,,,5.Parking lot
(1)自有停車位,48.77,23.08,33.979999999999997,37.85,70.98,54.11,66.34,(1)Self-owned,,(1)自有停車位,62.41,53.49,62.35,49.99,70.599999999999994,70.650000000000006,67.33,53.46,(1)Self-owned,,(1)自有停車位,81.52,51.99,59.14,75.37,25.44,47.6,45.6,51.93,39.17,(1)Self-owned
(2)租借停車位,9.31,20.170000000000002,7.46,22.21,0,7.62,4.05,(2)Rented,,(2)租借停車位,0.53,2.79,3.37,3.91,0.49,2.82,5.36,5.78,(2)Rented,,(2)租借停車位,1.37,5.43,2.61,1.35,8.41,10.84,9.26,5.95,2.62,(2)Rented
(3)無停車位,41.92,56.74,58.56,39.950000000000003,29.02,38.270000000000003,29.61,(3)None,,(3)無停車位,37.06,43.73,34.28,46.1,28.91,26.52,27.31,40.770000000000003,(3)None,,(3)無停車位,17.11,42.58,38.24,23.28,66.150000000000006,41.55,45.14,42.12,58.22,(3)None
