L0998年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2009",,98年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2009",,98年家庭收支調查報告,,,,,,,,,,"The Survey of Family Income and Expenditure, 2009"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 98 年,,,,,2 0 0 9,,,,,民 國 98 年,,,,,2 0 0 9,,,,,,民 國 98 年,,,,,,2 0 0 9,,,,
,總 平 均,臺 北 市,高 雄 市,臺 北 縣,宜 蘭 縣,桃 園 縣,新 竹 縣,,,,苗 栗 縣,臺 中 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,臺 南 縣,高 雄 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,臺 中 市,嘉 義 市,臺 南 市,
,General,Taipei,Kaohsiung,Taipei,Yilan,Taoyuan,Hsinchu,,,,Miaoli,Taichung,Changhua,Nantou,Yunlin,Chiayi,Tainan,Kaohsiung,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Taichung,Chiayi,Tainan,
,average,City,City,County,County,County,County,,,,County,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家庭戶數,7688014,962831,575303,1355076,150753,644525,155306,No. of households,,家庭戶數,168240,455093,356344,167989,225184,172731,361442,423280,No. of households,,家庭戶數,271046,79198,119080,32282,145149,136188,373118,93943,263913,No. of households
平均每戶人數,3.34,3.22,3.18,3.48,3.11,3.5,3.68,No. of persons per household,,平均每戶人數,3.54,3.55,3.56,3.54,2.97,2.89,3.29,3.39,No. of persons per household,,平均每戶人數,3.23,2.94,2.94,2.95,3.25,3.51,3.26,2.84,3.28,No. of persons per household
平均每戶成年人數,2.57,2.59,2.4900000000000002,2.67,2.4,2.6,2.58,No. of adults per household,,平均每戶成年人數,2.6,2.66,2.72,2.75,2.35,2.34,2.5099999999999998,2.66,No. of adults per household,,平均每戶成年人數,2.4900000000000002,2.23,2.17,2.2599999999999998,2.59,2.66,2.5299999999999998,2.2200000000000002,2.56,No. of adults per household
平均每戶就業人數,1.46,1.36,1.42,1.55,1.25,1.5,1.64,No. of persons employed per household,,平均每戶就業人數,1.46,1.56,1.58,1.53,1.4,1.38,1.45,1.54,No. of persons employed per household,,平均每戶就業人數,1.47,1.32,1.1299999999999999,1.22,1.35,1.46,1.35,1.17,1.54,No. of persons employed per household
平均每戶所得收入者人數,1.64,1.63,1.6,1.73,1.53,1.73,1.86,No. of income recipients per household,,平均每戶所得收入者人數,1.63,1.64,1.68,1.61,1.44,1.57,1.58,1.68,No. of income recipients per household,,平均每戶所得收入者人數,1.57,1.5,1.43,1.57,1.63,1.81,1.54,1.41,1.62,No. of income recipients per household
一、家庭住宅概況(％),,,,,,,,A.Housing (%),,一、家庭住宅概況(％),,,,,,,,,A.Housing (%),,一、家庭住宅概況(％),,,,,,,,,,A.Housing (%)
1.住宅所有權,,,,,,,,1.By tenure of dwelling,,1.住宅所有權,,,,,,,,,1.By tenure of dwelling,,1.住宅所有權,,,,,,,,,,1.By tenure of dwelling
(1)自有,87.89,81.790000000000006,86.35,87.46,90.07,91.16,93.35,(1)Self-owned,,(1)自有,90.49,88.74,91.1,93.69,93.36,92.08,90.75,90.08,(1)Self-owned,,(1)自有,89.4,85.81,84.92,85.92,90.07,85.37,85.57,82.32,83.24,(1)Self-owned
(2)租押,7.85,10.18,8.9700000000000006,9.5399999999999991,5.07,7.16,4.92,(2)Rented,,(2)租押,7.29,8.56,5.86,4,3.22,5.15,5.01,4.49,(2)Rented,,(2)租押,5.68,8.8699999999999992,6.3,4,6.42,11.25,9.19,9.33,12.27,(2)Rented
(3)其他(含配住及借用),4.26,8.0299999999999994,4.68,3,4.8499999999999996,1.68,1.73,(3)Issued、lease and others,,(3)其他(含配住及借用),2.2200000000000002,2.7,3.04,2.31,3.42,2.77,4.24,5.43,(3)Issued、lease and others,,(3)其他(含配住及借用),4.91,5.33,8.7799999999999994,10.08,3.51,3.38,5.25,8.35,4.49,(3)Issued、lease and others
2.住宅用途,,,,,,,,2.By usage of dwelling,,2.住宅用途,,,,,,,,,2.By usage of dwelling,,2.住宅用途,,,,,,,,,,2.By usage of dwelling
(1)專用,95.91,96.33,95.65,95.91,93.63,96.92,97.77,(1)Independent,,(1)專用,92.62,96.8,94.86,95.02,96.31,89.25,92.26,97.24,(1)Independent,,(1)專用,97.58,93.9,95.4,94.96,99.34,97.34,98.53,96.21,94.89,(1)Independent
(2)併用,4.09,3.67,4.3499999999999996,4.09,6.37,3.08,2.23,(2)Connected,,(2)併用,7.38,3.2,5.14,4.9800000000000004,3.69,10.75,7.74,2.76,(2)Connected,,(2)併用,2.42,6.1,4.5999999999999996,5.04,0.66,2.66,1.47,3.79,5.1100000000000003,(2)Connected
3.建築式樣,,,,,,,,3.By style of building,,3.建築式樣,,,,,,,,,3.By style of building,,3.建築式樣,,,,,,,,,,3.By style of building
(1)平房,10.3,3.01,3.61,4.04,10.44,4.58,9.8000000000000007,(1)One story,,(1)平房,14.79,9.4499999999999993,22.25,19.510000000000002,30.86,35.409999999999997,23.9,10.26,(1)One story,,(1)平房,19.75,36.380000000000003,33.229999999999997,23.51,7.12,2.97,5.07,12.36,4.59,(1)One story
(2)二～三層樓,42.49,10.26,39.15,17.940000000000001,76.11,40.21,52.67,(2)Two or three stories,,(2)二～三層樓,73.84,62.96,65.989999999999995,70.03,62.66,60.59,58.77,60.92,(2)Two or three stories,,(2)二～三層樓,72.63,59.62,52.48,67.91,23.1,42.6,39.72,55.73,54.39,(2)Two or three stories
(3)四～五層樓,27.33,53.89,31.04,49.91,8.61,23.64,14.55,(3)Four or five stories,,(3)四～五層樓,5.82,17.239999999999998,7.16,8.7799999999999994,3.37,3.72,9.39,19.260000000000002,(3)Four or five stories,,(3)四～五層樓,4.16,1.82,9.1199999999999992,4.5599999999999996,52.71,24.4,18.97,11.51,24.61,(3)Four or five stories
(4)六層樓以上,19.88,32.840000000000003,26.2,28.11,4.84,31.57,22.98,"(4)Apartment, six stories or over",,(4)六層樓以上,5.55,10.34,4.6100000000000003,1.67,3.11,0.28999999999999998,7.93,9.56,"(4)Apartment, six stories or over",,(4)六層樓以上,3.46,2.1800000000000002,5.18,4.0199999999999996,17.07,30.03,36.25,20.399999999999999,16.41,"(4)Apartment, six stories or over"
4.具有自來水設備,94.86,99.7,98.48,99.7,96.82,97.18,80.260000000000005,4.Piped water equipment,,4.具有自來水設備,80.22,91.02,90.14,85.96,99.47,97.16,98.86,95.7,4.Piped water equipment,,4.具有自來水設備,52.24,85.43,87.84,98.57,100,97.68,98.56,100,100,4.Piped water equipment
5.有車家庭停車位情形,,,,,,,,5.Parking lot,,5.有車家庭停車位情形,,,,,,,,,5.Parking lot,,5.有車家庭停車位情形,,,,,,,,,,5.Parking lot
(1)自有停車位,52.12,25.31,40.15,46.81,53.36,61.31,68.040000000000006,(1)Self-owned,,(1)自有停車位,60.69,49.21,62.14,61.28,72.38,66.61,63.5,60.42,(1)Self-owned,,(1)自有停車位,90.56,56.59,50.94,55.86,30.34,57.51,42.62,42.16,52.11,(1)Self-owned
(2)租借停車位,9.34,19.21,8.8800000000000008,22.6,1.93,7.39,4.41,(2)Rented,,(2)租借停車位,1.55,3.02,4,3.53,0.98,0.9,3.73,3.63,(2)Rented,,(2)租借停車位,0.18,6.37,4.3899999999999997,6.66,6.15,14.72,10.29,6.17,3.25,(2)Rented
