2020-08-14T00:00:00L10108年家庭收支調查報告,,,,
,,,,
第9表  家庭住宅及主要設備概況按農家、非農家分,,,,
,,,,
民 國 108 年,,,,
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
,,,,
家庭戶數,8734575.9999,661287.21992,8073288.78,No. of households
平均每戶人數,3.02,3.2,3,No. of persons per household
平均每戶成年人數,2.52,2.77,2.5,No. of adults per household
平均每戶就業人數,1.4,1.85,1.37,No. of persons employed per household
平均每戶所得收入者人數,1.78,1.81,1.77,No. of income recipients per household
一、家庭住宅概況(％),,,,A.Housing (%)
1.住宅所有權,,,,1.By tenure of dwelling
(1)自有(戶內經常    居住成員所擁有),84.695333188,95.480477352,83.811916505,(1)Self-owned (by usually living             member of this household)
(2)不住在一起的配偶、             父母或子女所擁有,4.6400354361,2.4485717204,4.8195393517,"(2)Owned by spouse, parents              or children not living together"
(3)租押,8.0399820841,0.8228336461,8.63114241,(3)Rented
(4)其他(含配住及借用),2.6246492914,1.2481172818,2.7374017335,(4)Allotted and others
2.住宅用途,,,,2.By usage of dwelling
(1)專用,96.404522892,97.384812082,96.324226902,(1)Independent
(2)併用,3.5954771083,2.6151879183,3.6757730981,(2)Connected
3.建築式樣,,,,3.By style of building
(1)平房,8.5643193479,28.658624925,6.9183844838,(1)One story
(2)二～三層樓,38.645607687,64.128863567,36.558261143,(2)Two or three stories
(3)四～五層樓,30.413689036,6.2338139395,32.394274992,(3)Four or five stories
(4)六層樓以上,22.376383929,0.9786975687,24.129079381,"(4)Apartment, six stories or over"
4.具有自來水設備,96.45174412,86.076518137,97.301584195,4.Piped water equipment
5.有車家庭停車位情形,,,,5.Parking lot
(1)自有停車位,51.505629435,77.116740322,49.042175068,(1)Self-owned
(2)租借停車位,14.555546402,2.9281926592,15.673945971,(2)Rented
(3)無停車位,33.938824162,19.955067018,35.283878962,(3)None
6.平均每戶建坪(坪),45.092339241,55.162058481,44.267523379,6.Average space per household(pin)
二、家庭主要設備,,,,B.Main household equipment (%)
1.普及率(％),,,,1.Percentage of household with equip.
(1)彩色電視機,98.7366086,98.985534098,98.716218985,(1)Color TV
一般彩色電視機,8.0692725095,12.617509565,7.6967240823,Non-LCD TV
液晶、電漿電視,94.289057501,92.402440797,94.443591242,LCD、PDP TV
(2)數位影音光碟機,14.59371412,5.8247869153,15.311981439,(2)DVD player
(3)攝影機,3.6221718268,1.460844516,3.7992072541,(3)Movies camera
(4)音響,20.698262678,15.770662567,21.101884928,(4)Stereo
(5)鋼琴(含電子琴),7.7965847476,4.1829862006,8.0925764558,(5)Piano
(6)數位相機,16.268754925,7.6960299626,16.970951218,(6)Digital camera
(7)電視遊樂器,7.2922423164,1.3392653349,7.7798537107,(7)Video game
(8)有線電視頻道設備             (含多媒體隨選視訊),85.920558528,76.722668857,86.673962383,(8)Cable TV(MOD included)
(9)家用電腦,66.686489067,45.768501514,68.399892144,(9)Personal computer
(10)電話機,88.188455627,94.820240016,87.64524277,(10)Telephone
(11)行動電話,95.551934349,91.337936469,95.897105074,(11)Cell phone
(12)連網(使用電腦               或其他設備),89.240144906,77.125734612,90.232442459,(12)Internet facility
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,
Table 9. Household Housing and Household Facilities by Farm or Non-farm,,,,
,,,,
2 0 1 9,,,,
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
,,,,
(13)汽車,60.818400732,70.488484987,60.026319176,(13)Sedan vehicle
(14)機車,84.150169827,91.124215939,83.578922137,(14)Motorcycle
(15)電磁爐,32.573092497,22.286079644,33.415706989,(15)Electro-magnetic oven
(16)冷暖氣機,94.705461301,86.017691027,95.417081015,(16)Air conditioner
(17)除濕機,38.500506554,17.775384599,40.198111911,(17)Dehumidifier
(18)洗衣機,98.700028602,98.662517273,98.703101175,(18)Washing machine
(19)烘衣機,12.81342442,13.180343122,12.783369921,(19)Drier
(20)空氣清淨機,21.395544925,6.7715226494,22.593406082,(20)Air-clean machine
(21)濾水器,38.23993283,24.335052332,39.378888715,(21)Water filter machine
(22)吸塵器,48.75179381,30.335988453,50.260241861,(22)Vacuum cleaner
(23)熱水器,99.493614977,98.621435128,99.565055676,(23)Geyser
(24)開飲機,39.894069408,51.754996156,38.922534822,(24)Hot-warm water fountain
(25)微波爐,43.144800826,31.355412883,44.110475632,(25)Microwave oven
(26)報紙,9.34789598,13.738964547,8.9882213041,(26)Newspaper
(27)期刊雜誌,3.2538767107,1.1254747776,3.4282152035,(27)Magazine
"2.每百戶擁有數(台,輛,份)",,,,2.Average No. per hunderd households
(1)彩色電視機,151.80517343,156.19864391,151.44530201,(1)Color TV
一般彩色電視機,9.3217113026,14.957748628,8.8600605978,Non-LCD TV
液晶、電漿電視,142.48346213,141.24089528,142.58524141,LCD、PDP TV
(2)數位影音光碟機,15.331850088,6.2458961118,16.076085233,(2)DVD player
(3)攝影機,3.8599246841,1.5939238362,4.0455339745,(3)Movies camera
(4)音響,21.459672873,16.629864313,21.855284966,(4)Stereo
(5)鋼琴(含電子琴),7.9829340306,4.3757071166,8.2784038351,(5)Piano
(6)數位相機,18.811613272,8.8256064183,19.62957221,(6)Digital camera
(7)電視遊樂器,8.1124123795,1.4195541961,8.6606278221,(7)Video game
(8)有線電視頻道設備         (含多媒體隨選視訊),87.380296002,77.472097093,88.191881651,(8)Cable TV(MOD included)
(9)家用電腦,101.53027093,61.879696943,104.77806976,(9)Personal computer
(10)電話機,90.786175929,97.378882506,90.246163955,(10)Telephone
(11)行動電話,244.28104156,234.06563342,245.11779087,(11)Cell phone
(12)汽車,72.730754056,93.946373333,70.992971812,(12)Sedan vehicle
(13)機車,154.56662405,175.35502003,152.86383588,(13)Motorcycle
(14)電磁爐,32.996890591,22.8002551,33.832102228,(14)Electro-magnetic oven
(15)冷暖氣機,245.16735569,211.50276192,247.92483981,(15)Air conditioner
(16)除濕機,48.253005153,23.292369792,50.297543583,(16)Dehumidifier
(17)洗衣機,101.72987293,103.60393351,101.57636767,(17)Washing machine
(18)烘衣機,12.875590075,13.180343122,12.850627597,(18)Drier
(19)空氣清淨機,25.932455001,8.2993872759,27.376788611,(19)Air-clean machine
(20)濾水器,38.7570546,25.071059205,39.878081494,(20)Water filter machine
(21)吸塵器,54.515720757,33.24151614,56.258301756,(21)Vacuum cleaner
(22)熱水器,107.91342947,111.89519888,107.5872807,(22)Geyser
(23)開飲機,40.625799691,53.334212038,39.584847125,(23)Hot-warm water fountain
(24)微波爐,43.417987003,31.839907248,44.366353447,(24)Microwave oven
(25)報紙,9.5015097238,14.012347976,9.1320246516,(25)Newspaper
(26)期刊雜誌,3.6961316818,1.4746585747,3.8780936821,(26)Magazine
