L10110年家庭收支調查報告,,,,
,,,,
第9表家庭住宅及主要設備概況按農家、非農家分,,,,
,,,,
民 國 110 年,,,,
,,,,
,總 平 均,農 家,非 農 家,
,General,Farm,Non-farm,
,average,,,
,,,,
家庭戶數,8919896,648072,8271824,No. of households
平均每戶人數,2.89,3.17,2.86,No. of persons per household
平均每戶成年人數,2.46,2.73,2.4300000000000002,No. of adults per household
平均每戶就業人數,1.35,1.87,1.31,No. of persons employed per household
平均每戶所得收入者人數,1.79,1.88,1.78,No. of income recipients per household
一、家庭住宅概況(％),,,,A.Housing (%)
1.住宅所有權,,,,1.By tenure of dwelling
(1)自有(戶內經常   居住成員所擁有),85.04,94.78,84.28,(1)Self-owned (by usually livingmember of this household)
(2)不住在一起的配偶、父母或子女所擁有,5.18,3.11,5.34,"(2)Owned by spouse, parentsor children not living together"
(3)租押,6.97,1.06,7.44,(3)Rented
(4)其他(含配住及借用),2.8,1.06,2.94,(4)Allotted and others
2.住宅用途,,,,2.By usage of dwelling
(1)專用,97.14,95.79,97.25,(1)Independent
(2)併用,2.86,4.21,2.75,(2)Connected
3.建築式樣,,,,3.By style of building
(1)平房,7.8,26.35,6.34,(1)One story
(2)二～三層樓,37.93,66.16,35.71,(2)Two or three stories
(3)四～五層樓,30.57,6.42,32.46,(3)Four or five stories
(4)六層樓以上,23.71,1.07,25.49,"(4)Apartment, six stories or over"
4.具有自來水設備,97.21,89.35,97.82,4.Piped water equipment
5.有車家庭停車位情形,,,,5.Parking lot
(1)自有停車位,45.92,67.209999999999994,43.86,(1)Self-owned
(2)租借停車位,15.67,2.7,16.920000000000002,(2)Rented
(3)無停車位,38.409999999999997,30.08,39.22,(3)None
6.每戶建坪平均數(坪),44.99,55.63,44.16,6.Space per household average (pin)
7.每戶建坪中位數(坪),39,53,38,7.Space per household median (pin)
二、家庭主要設備,,,,B.Main household equipment (%)
1.普及率(％),,,,1.Percentage of household with equip.
(1)彩色電視機,98.47,98.87,98.44,(1)Color TV
一般彩色電視機,3.94,8.0500000000000007,3.62,Non-LCD TV
液晶、電漿電視,96.41,94.06,96.6,LCD、PDP TV
(2)數位影音光碟機,8.5299999999999994,3.44,8.93,(2)DVD player
(3)攝影機,3.11,2.09,3.19,(3)Movies camera
(4)音響,18.059999999999999,12.56,18.489999999999998,(4)Stereo
(5)鋼琴(含電子琴),6.34,3.34,6.58,(5)Piano
