作者不明2026-08-13T18:04:21.902L10114年家庭收支調查報告,,,,
,,,,
第9表  家庭住宅及主要設備概況按農家、非農家分,,,,
,,,,
民 國 114 年,,,,
,,,,
,總 平 均,農 家,非 農 家,
,General,Farm,Non-farm,
,average,,,
,,,,
家庭戶數,9760528,528810,9231718,No. of households
平均每戶人數,2.69,2.89,2.68,No. of persons per household
平均每戶成年人數,2.38,2.67,2.36,No. of adults per household
平均每戶就業人數,1.29,1.83,1.26,No. of persons employed per household
平均每戶所得收入者人數,1.78,1.77,1.79,No. of income recipients per household
一、家庭住宅概況(％),,,,A.Housing (%)
1.住宅所有權,,,,1.By tenure of dwelling
(1)自有(戶內經常    居住成員所擁有),83.95,94.88,83.32,(1)Self-owned (by usually living             member of this household)
(2)不住在一起的配偶、             父母或子女所擁有,5.61,3.26,5.75,"(2)Owned by spouse, parents              or children not living together"
(3)租押,7.62,0.98,8,(3)Rented
(4)其他(含配住及借用),2.82,0.87,2.93,(4)Allotted and others
2.住宅用途,,,,2.By usage of dwelling
(1)專用,96.55,96.28,96.56,(1)Independent
(2)併用,3.45,3.72,3.44,(2)Connected
3.建築式樣,,,,3.By style of building
(1)平房,6.84,24.54,5.83,(1)One story
(2)二～三層樓,35.25,67.64,33.39,(2)Two or three stories
(3)四～五層樓,30.78,6.65,32.16,(3)Four or five stories
(4)六層樓以上,27.13,1.17,28.62,"(4)Apartment, six stories or over"
4.具有自來水設備,97.85,91.54,98.21,4.Piped water equipment
5.有車家庭停車位情形,,,,5.Parking lot
(1)自有停車位,49.98,69.78,48.61,(1)Self-owned
(2)租借停車位,16.46,3.11,17.38,(2)Rented
(3)無停車位,33.56,27.11,34.01,(3)None
6.每戶建坪平均數(坪),40.16,49.74,39.61,6.Space per household average (pin)
7.每戶建坪中位數(坪),35,47,34,7.Space per household median (pin)
二、家庭主要設備,,,,B.Main household equipment (%)
1.普及率(％),,,,1.Percentage of household with equip.
(1)彩色電視機,97.65,98.23,97.62,(1)Color TV
(2)數位影音光碟機,4.84,3.08,4.94,(2)DVD player
(3)攝影機,2.42,1.47,2.47,(3)Movies camera
(4)音響,12.63,7.45,12.92,(4)Stereo
(5)鋼琴(含電子琴),5.66,2.26,5.85,(5)Piano
(6)數位相機,5.69,1.66,5.92,(6)Digital camera
(7)電視遊樂器,11.46,3.51,11.91,(7)Video game
