黃麗妃L0893年家庭收支調查報告,,,,
,,,,
第11表 家庭戶數按所得總額組別及經濟戶長性別分,,,,
Table 11. Numbers of Households by Current Receipts,,,,
,Groups and Sex of Household Heads,,,
,,,,單位：戶
,民 國 93 年,,2 0 0 4,Unit：Households
所 得 總 額 組 別,合 計Total,經濟戶長性別,,Current receipts groups
Sex of Household Head,,,,
男,女,,,
Male,Female,,,
總 計,7083445,5552700,1530745,Total
"未滿200,000元",130810,61689,69121,"Under NT$200,000"
"200,000～299,999",262842,152246,110597,"200,000～299,999"
"300,000～399,999",370755,253588,117167,"300,000～399,999"
"400,000～499,999",398074,273782,124293,"400,000～499,999"
"500,000～599,999",452522,299666,152856,"500,000～599,999"
"600,000～699,999",474979,340053,134927,"600,000～699,999"
"700,000～799,999",487089,372900,114189,"700,000～799,999"
"800,000～899,999",539906,437758,102148,"800,000～899,999"
"900,000～999,999",521029,432049,88979,"900,000～999,999"
"1,000,000～1,099,999",491952,401556,90396,"1,000,000～1,099,999"
"1,100,000～1,199,999",429769,359929,69840,"1,100,000～1,199,999"
"1,200,000～1,299,999",403166,341227,61940,"1,200,000～1,299,999"
"1,300,000～1,399,999",322695,278605,44090,"1,300,000～1,399,999"
"1,400,000～1,499,999",256108,221297,34812,"1,400,000～1,499,999"
"1,500,000～1,649,999",300495,254385,46110,"1,500,000～1,649,999"
"1,650,000～1,799,999",276513,238997,37516,"1,650,000～1,799,999"
"1,800,000～1,999,999",272720,237767,34953,"1,800,000～1,999,999"
"2,000,000～2,299,999",274123,232690,41434,"2,000,000～2,299,999"
"2,300,000～2,699,999",197921,172931,24989,"2,300,000～2,699,999"
"2,700,000～3,499,999",136946,120994,15952,"2,700,000～3,499,999"
"3,500,000元及以上",83029,68592,14437,"Above $3,500,000"
