appleL0786年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 1997",,86年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 1997",,86年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 1997"
第7表 平均每戶可支配所得及消費支出依可支配所得按戶數五等分位分及經濟戶長性別、年齡組別、教育程度別分,"Table 7. Average Family Income and Expenditure per Household by Five EqualDivisions of Households According to Disposable Income and Sex, Ageand Educational Attainment of Household Heads",,第7表 平均每戶可支配所得及消費支出依可支配所得按戶數五等分位分及經濟戶長性別、年齡組別、教育程度別分(續一),"Table 7. Average Family Income and Expenditure per Household by Five EqualDivisions of Households According to Disposable Income and Sex, Ageand Educational Attainment of Household Heads (Cont.1)",,第7表 平均每戶可支配所得及消費支出依可支配所得按戶數五等分位分及經濟戶長性別、年齡組別、教育程度別分(續完),"Table 7. Average Family Income and Expenditure per Household by Five EqualDivisions of Households According to Disposable Income and Sex, Ageand Educational Attainment of Household Heads (Cont.End)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 86 年,,,,單位：戶；人；元,1 9 9 7 Unit:Household;Person;NT$,,,,,,民 國 86 年,,,,單位：戶；人；元,1 9 9 7 Unit:Household;Person;NT$,,,,,,民 國 86 年,,,,單位：戶；人；元,1 9 9 7 Unit:Household;Person;NT$,,,,
,總      平      均,,,,可 支 配 所 得 按 戶 數 五 等 分 位 組,,,,,,,可   支   配   所   得   按,,,,戶   數   五   等   分   位   組,,,,,,,可   支   配   所   得   按,,,,戶   數   五   等   分   位   組,,,,
,General       average,,,,Five equal divisions of households according to disposable income,,,,,,,Five   equal   divisions   of   households,,,,according   to   disposable   income,,,,,,,Five   equal   divisions   of   households,,,,according   to   disposable   income,,,,
,戶  數,平均每戶人數,可支配所得,消費支出,1,,,,,,,2,,,,3,,,,,,,4,,,,5,,,,
,,,,,戶  數,平均每戶人數,可支配所得,消費支出,,,,戶  數,平均每戶人數,可支配所得,消費支出,戶  數,平均每戶人數,可支配所得,消費支出,,,,戶  數,平均每戶人數,可支配所得,消費支出,戶  數,平均每戶人數,可支配所得,消費支出,
,Number of households,Average No.  of persons,Disposable income,Consumption expenditure,Number of households,Average No.  of persons,Disposable income,Consumption expenditure,,,,Number of households,Average No.  of persons,Disposable income,Consumption expenditure,Number of households,Average No.  of persons,Disposable income,Consumption expenditure,,,,Number of households,Average No.  of persons,Disposable income,Consumption expenditure,Number of households,Average No.  of persons,Disposable income,Consumption expenditure,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
全 體 家 庭,6104309,3.84,863427,634477,1220862,2.19,312458,292464,All Families,,全 體 家 庭,1220862,3.59,557429,487183,1220862,4.1500000000000004,753919,612672,All Families,,全 體 家 庭,1220862,4.4400000000000004,1003815,747747,1220861,4.8499999999999996,1689517,1032317,All Families
按 性 別 分,,,,,,,,,Sex,,按 性 別 分,,,,,,,,,Sex,,按 性 別 分,,,,,,,,,Sex
男,5164575,4.03,897685,657402,855897,2.34,320642,301851,Male,,男,1025368,3.72,559490,491661,1081804,4.26,753877,615720,Male,,男,1092604,4.5199999999999996,1003647,748116,1108902,4.91,1691677,1036371,Male
女,939734,2.81,675156,508482,364965,1.86,293265,270450,Female,,女,195494,2.89,546614,463698,139058,3.27,754249,588959,Female,,女,128258,3.74,1005247,744604,111959,4.17,1668117,992168,Female
按 年 齡 組 別 分,,,,,,,,,Age,,按 年 齡 組 別 分,,,,,,,,,Age,,按 年 齡 組 別 分,,,,,,,,,Age
未 滿 30 歲,617307,3.74,834370,601932,105665,2.31,354152,341607,Under 30 years,,未 滿 30 歲,136918,3.34,549041,474935,144673,3.71,751287,585701,Under 30 years,,未 滿 30 歲,122409,4.28,1000748,698390,107642,5.09,1591162,931135,Under 30 years
30 ～ 34 歲,781539,4.17,892208,655291,95721,2.72,355224,344190,30～34 years,,30 ～ 34 歲,174159,3.78,563578,501241,174730,4.1900000000000004,749208,605208,30～34 years,,30 ～ 34 歲,172242,4.41,999233,727941,164687,5.15,1591638,976179,30～34 years
35 ～ 39 歲,1013239,4.33,871395,668540,117446,3.02,354965,370993,35～39 years,,35 ～ 39 歲,245003,4.04,556859,497682,251303,4.5199999999999996,755676,616399,35～39 years,,35 ～ 39 歲,223126,4.6500000000000004,1002474,771345,176361,4.93,1651317,1048281,35～39 years
40 ～ 44 歲,1025945,4.32,901780,698401,112002,2.98,350215,371055,40～44 years,,40 ～ 44 歲,230480,4.0999999999999996,565652,517823,242274,4.4800000000000004,755417,639346,40～44 years,,40 ～ 44 歲,240463,4.63,996443,773296,200726,4.76,1658755,1069960,40～44 years
45 ～ 54 歲,1330168,4.12,1003582,726299,150481,2.41,330546,326441,45～54 years,,45 ～ 54 歲,215003,3.6,561125,499061,266183,4.21,754999,635480,45～54 years,,45 ～ 54 歲,323427,4.46,1008480,758233,375074,4.74,1699427,1053897,45～54 years
55 ～ 64 歲,676043,3.38,915135,599093,190294,2.0099999999999998,291092,267084,55～64 years,,55 ～ 64 歲,113152,2.79,549818,440131,98465,3.53,755885,541344,55～64 years,,55 ～ 64 歲,103681,4.03,1019418,709822,170451,4.8,1882898,1041283,55～64 years
65 歲 及 以 上,660068,1.99,449283,339821,449253,1.65,276006,229132,65 years and over,,65 歲 及 以 上,106147,2.2400000000000002,542242,415258,43234,2.56,752036,583982,65 years and over,,65 歲 及 以 上,35514,3.4,1006917,707889,25920,3.95,1802886,1037837,65 years and over
按 教 育 程 度 別 分,,,,,,,,,Educational attainment,,按 教 育 程 度 別 分,,,,,,,,,Educational attainment,,按 教 育 程 度 別 分,,,,,,,,,Educational attainment
國 小 及 以 下,1826707,3.45,659951,488835,713262,2.02,287544,253585,Primary school and below,,國 小 及 以 下,360366,3.49,553560,458725,295842,4.2699999999999996,751549,588002,Primary school and below,,國 小 及 以 下,251888,4.74,1005017,722197,205349,5.57,1584950,929678,Primary school and below
國（初） 中（初 職）,1070238,4.1900000000000004,750897,578564,202219,2.54,337158,317600,Junior middle (vocational),,國（初） 中（初 職）,306045,4.01,556520,493214,250758,4.55,751233,596382,Junior middle (vocational),,國（初） 中（初 職）,192351,4.92,996059,747988,118865,5.57,1557797,930525,Junior middle (vocational)
高 中,591832,3.98,884802,672333,77571,2.37,353187,363908,High school,,高 中,122606,3.46,551098,484159,142551,4.13,751888,636774,High school,,高 中,143812,4.3899999999999997,993930,754540,105292,5.01,1695928,1054536,High school
高 職,1133491,4.13,864522,655268,153187,2.4900000000000002,353061,363676,Senior vocational school,,高 職,249940,3.76,560429,505967,274311,4.22,750528,625767,Senior vocational school,,高 職,264697,4.5599999999999996,995788,738576,191356,5.21,1652990,1010761,Senior vocational school
專 科,777607,3.86,1031793,748165,47206,2.2599999999999998,373589,348092,Junior college,,專 科,132500,3.04,569140,519544,166378,3.77,765616,635774,Junior college,,專 科,203228,4.0599999999999996,1013960,768788,228295,4.57,1646275,1027131,Junior college
大 學 及 以 上,704434,3.72,1356465,906338,27417,1.92,331062,422745,College and above,,大 學 及 以 上,49405,2.61,560398,483097,91022,3.18,761043,618296,College and above,,大 學 及 以 上,164886,3.7,1020031,769359,371704,4.1500000000000004,1832953,1129561,College and above
