2020-08-14T00:00:00L06108年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,,,,
,,,,Divisions of Households According to Disposable Income,,,
民 國 108 年,,,單位：元,2 0 1 9 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,按  戶  數  五  等  分  位  分,,,,
,Five equal divisions of,households according to disposable income,,,,,
,General average,1,2,3,4,5,
,,,,,,,
家庭戶數,8734575.9999,1746915,1746915,1746915,1746915,1746915.9999,No. of households
平均每戶人數,3.02,1.7,2.45,3.13,3.68,4.13,No. of persons per household
平均每戶成年人數,2.52,1.59,2.1,2.58,2.97,3.37,No. of adults per household
平均每戶就業人數,1.4,0.42,0.99,1.44,1.86,2.32,No. of persons employed per household
平均每戶所得收入者人數,1.78,1.1,1.36,1.74,2.13,2.57,No. of income recipients per household
一、所得收入總計,1274195.6699,409868.56996,770315.24714,1099401.4358,1513386.604,2578005.7462,A.Total receipts
1.受僱人員報酬,724606.62939,94177.977632,353612.78448,611516.75781,931505.48849,1632219.619,1.Compensation of employees
(1)本業薪資,535854.75208,76309.717718,270798.60203,458362.80782,698368.12778,1175434.1389,(1)Full time payroll
(2)兼業薪資,45782.034052,6572.2777952,28012.922977,45350.410596,52645.974778,96328.555182,(2)Part time payroll
(3)其他收入,142969.84326,11295.982119,54801.259464,107803.5394,180491.38593,360456.9249,(3)Other receipts or subsidies
2.產業主所得,157174.3657,27673.78882,83082.286185,127294.91237,175108.45813,372712.25962,2.Entrepreneurial income
3.財產所得收入,56964.164684,14436.90068,29351.206166,38053.763078,49851.602079,153127.29637,3. Property income
4.自用住宅設算租金收入,75450.399164,39876.426938,63006.861739,69041.751573,88528.440316,116798.49159,4.Imputed rent income
5.經常移轉收入,259929.95688,233581.5179,241185.35343,253438.84138,268350.87214,303093.17484,5.Current transfer receipts
(1)從私人,72422.426611,96439.268239,84662.429493,68862.21151,60250.905405,51897.330157,(1)From individuals
(2)從政府,48088.672556,55644.545894,48678.37485,48574.266785,47001.972696,40544.206873,(2)From government
(3)社會保險受益,136111.3222,80575.39486,106103.4848,134167.40651,157324.2733,202386.0136,(3)Benefit of social insurance
(4)從企業,2358.2081349,473.70647083,1087.0403051,1105.1070588,2369.8196886,6755.3646344,(4)From enterprises
(5)從國外,949.32737352,448.60243412,654.02398202,729.84951113,1403.9010453,1510.2595739,(5)From abroad
6.雜項收入,70.154075826,121.95798968,76.755145716,55.409543504,41.742896738,54.904812221,6.Miscellaneous receipts
二、非消費支出,214464.76108,59679.472707,125043.31832,187830.57577,259635.53427,440134.77515,B.Nonconsumption expenditures
1.利息支出,10795.056782,2199.0744884,6352.5524038,9976.3880997,13344.58078,22102.681666,1.Interest
2.經常移轉支出,203669.7043,57480.398218,118690.76592,177854.18767,246290.95349,418032.09348,2.Current transfer expenditures
(1)對私人,46693.894503,15117.999887,26507.375321,38392.613327,55191.796334,98259.658131,(1)To private
(2)對政府,34401.475626,7442.223324,14953.413877,22570.904934,31059.264365,95981.53638,(2)To government
(3)社會保險,120840.44944,34240.370069,75918.297793,116113.39442,157694.52907,220235.59895,(3)Social insurance
(4)對國外,1733.8847268,679.80493836,1311.6789251,777.27498992,2345.3637187,3555.3000195,(4)To abroad
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
108年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分(續),Table 6. Average Family Income and Expenditure per Household by Five Equal,,,,,,
,,,,Divisions of Households According to Disposable Income (Cont.),,,
民 國 108 年,,,單位：元,2 0 1 9 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,按  戶  數  五  等  分  位  分,,,,
,Five equal divisions of,households according to disposable income,,,,,
,General average,1,2,3,4,5,
,,,,,,,
三、消費支出,829198.82563,368378.63388,593511.72903,789418.93345,1001417.3702,1393267.1387,C.Consumption expenditures
1.食品及非酒精飲料,116605.16931,67284.30975,92840.921138,117555.88831,140197.15461,165147.54494,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9479.0004254,4930.4311037,8532.5490481,10190.705103,11514.549976,12226.765323,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,23219.992024,7487.6325901,14075.263974,20961.173434,29169.282473,44406.595523,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,195833.5362,116022.462,165825.06483,187712.13304,223571.26521,286036.7043,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,177839.58332,104320.9734,150469.3701,169514.94437,202521.8564,262370.72395,(1)Rent and water charges
(2)電費及燃料,17993.95288,11701.488592,15355.694728,18197.188666,21049.408814,23665.980353,(2)Power and fuel
5.家具設備及家務維護,21626.436024,7623.492455,13911.275688,19741.575462,25550.309078,41305.516175,"5.Furnishings,household equipment        and routine household maintenance"
6.醫療保健,132718.65681,60211.044635,93817.615882,128945.88594,159196.17286,221422.51394,6.Health
7.交通,77372.283218,23877.510001,46058.352422,69709.688453,95714.452259,151501.37052,7.Transport
(1)個人交通工具之購置,13724.676606,2641.4918848,4642.9236801,8634.0086862,14836.35209,37868.592869,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,46314.68739,15450.305353,30473.252234,45459.507232,59628.986276,80561.366252,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,10865.000412,3721.7550086,7060.3916182,9662.1480575,13229.952171,20650.749605,(3)Transport services
(4)汽、機車保險費,6467.9188097,2063.9577547,3881.7848902,5954.0244774,8019.161722,12420.661797,(4)Insurance of vehicles
8.通訊,23973.354171,9519.5755796,17552.671005,24108.688977,30312.311532,38373.515518,8.Communication
9.休閒與文化,50567.531745,13899.243689,25702.347863,38687.601191,58051.236156,116497.19209,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),27986.722704,5158.8178037,11197.359932,17843.230425,30729.917716,75004.260732,(1)Package holidays
(2)娛樂消遣及文化服務,11982.539492,5794.3305117,8309.9610163,10824.463261,14008.419763,20975.517761,(2)Recreational and cultural services
