appleL06113年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分,,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Divisions of Households According to Disposable Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 113 年,,,單位：元,2 0 2 4 Unit:NT$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Five equal divisions of,,households according to disposable income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,General average,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家庭戶數,9262020,1852404,1852404,1852404,1852404,1852404,No. of households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平均每戶人數,2.78,1.6,2.21,2.81,3.4,3.9,No. of persons per household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平均每戶成年人數,2.4500000000000002,1.55,2.04,2.46,2.9,3.3,No. of adults per household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平均每戶就業人數,1.33,0.35,0.89,1.33,1.83,2.2400000000000002,No. of persons employed per household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平均每戶所得收入者人數,1.81,1.1299999999999999,1.4,1.77,2.17,2.58,No. of income recipients per household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一、所得收入總計(中位數),1197007,453261,817538,1190926,1651257,2580132,A.Total receipts(median),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二、所得收入總計(平均數),1409781,448236,841432,1210047,1681929,2867262,B.Total receipts(mean),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.受僱人員報酬,788831,92871,378937,645715,1012643,1813988,1.Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
