appleL0687年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 1998"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分,,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income,,,
民 國 87 年,,,單位：元,1 9 9 8 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
家庭戶數,6273056,1254611,1254611,1254611,1254611,1254612,No. of households
平均每戶人數,3.77,2.13,3.47,4.12,4.38,4.7699999999999996,No. of persons per household
平均每戶成年人數,2.59,1.7,2.2599999999999998,2.62,2.93,3.43,No. of adults per household
平均每戶就業人數,1.64,0.73,1.34,1.68,2.0099999999999998,2.4500000000000002,No. of persons employed per household
平均每戶所得收入者人數,1.68,1.08,1.34,1.62,1.95,2.4300000000000002,No. of income recipients per household
一、所得收入總計,1070268,389589,706318,952913,1242657,2059862,A.Total receipts
1.受僱人員報酬,622207,128357,365356,522080,752819,1342423,1.Compensation of employees
(1)本業薪資,483999,95595,295890,418509,592612,1017391,(1)Full time payroll
(2)兼業薪資,28495,19735,21159,17384,21509,62689,(2)Part time payroll
(3)其他收入,109713,13027,48307,86187,138698,262343,(3)Other receipts or subsidies
2.產業主所得,179353,58077,136175,192476,219176,290863,2.Entrepreneurial income
3.財產所得收入,67698,23455,33803,47623,65192,168419,3. Property income
4.自用住宅設算租金收入,67018,34922,50794,65404,77709,106261,4.Imputed rent income
5.經常移轉收入,133756,144621,119983,125098,127518,151558,5.Current transfer receipts
(1)從私人,40101,59281,36583,32769,33503,38368,(1)From individuals
(2)從政府,30303,44550,29596,29563,25021,22783,(2)From government
(3)社會保險受益,61453,39941,53525,61711,67673,84415,(3)Benefit of social insurance
(4)從企業,1171,169,150,277,676,4586,(4)From enterprises
(5)從國外,728,679,130,778,646,1405,(5)From abroad
6.雜項收入,235,157,207,231,243,338,6.Miscellaneous receipts
二、非消費支出,197093,78724,145552,187538,227887,345765,B.Nonconsumption expenditures
1.利息支出,46008,23719,43057,49582,49452,64230,1.Interest
2.經常移轉支出,151085,55004,102494,137956,178434,281535,2.Current transfer expenditures
(1)對私人,48354,20544,33233,43353,57299,87341,(1)To private
(2)對政府,31981,6646,14922,22882,34093,81362,(2)To government
(3)社會保險,68233,26446,52766,69013,83950,108990,(3)Social insurance
(4)對國外,2516,1368,1573,2707,3092,3841,(4)To abroad
,,,,,,,
87年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 1998"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分(續),,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income (Cont.),,,
民 國 87 年,,,單位：元,1 9 9 8 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
三、消費支出,646343,288889,496500,632744,763930,1049654,C.Consumption expenditures
1.食品費,154588,74574,129296,160583,185068,223419,1.Food
2.飲料費,6891,3245,5545,6854,8268,10545,2.Beverage
3.菸草,5062,3216,4896,5274,5831,6093,3.Tobacco
4.衣著、鞋、襪類,28948,9629,19949,27573,34538,53052,4.Clothing and footwear
5.房地租及水費,144962,78215,116886,139651,166497,223560,5.Rent and water charges
6.燃料及燈光,18193,10860,16225,18759,20904,24216,6.Fuel and light
7.家具及家庭設備,13254,4355,8380,11601,15550,26382,7.Furniture and family facilities
8.家事管理,13727,3992,7735,11942,16737,28227,8.Household operations
9.保健及醫療,66680,43675,59159,68641,74721,87205,9.Health care and medical
10.運輸交通及通訊,68493,21399,46630,63413,81628,129395,10.Transport and communications
(1)交通及通訊工具之購置,13006,2423,6650,10364,14404,31189,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,31386,9178,22504,30663,38451,56137,(2)Operation of transport equipment
(3)乘交通設備之費用,9496,4311,7241,8979,11514,15435,(3)Purchased transportation
(4)其他通訊費,10027,4435,7372,9424,11724,17182,(4)Other communications
(5)汽機車保險費支出,4577,1052,2863,3982,5535,9452,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,82822,21016,54708,80359,103206,154822,"11.Recreation ,education and culture"
(1)旅遊費用,20688,5752,10003,14809,23194,49685,(1)Traveling
(2)娛樂消遣服務,9168,3878,7019,8801,10652,15491,(2)Recreation service
(3)書報雜誌文具,5790,1781,4216,5730,7173,10050,(3)Books and stationery
(4)娛樂器材及附屬品,8145,2302,5223,7641,9865,15694,(4)Recreation facilities
(5)教育與研究費,39031,7304,28248,43379,52321,63903,(5)Education and research
12.什項消費,42723,14712,27090,38095,50983,82737,12.Miscellaneous
可支配所得,873175,310865,560766,765375,1014770,1714097,Disposable income
消費支出,646343,288889,496500,632744,763930,1049654,Consumption expenditures
儲蓄,226831,21976,64267,132630,250840,664443,Saving
所得總額,1116324,414784,742815,995875,1295187,2132955,Current receipts
