appleL02102年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2013",,102年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2013",,102年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2013"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第2表 平均每戶家庭收支按區域別分,,,,,Table 2. Average Family Income and Expenditure per Household by Areas,,第2表 平均每戶家庭收支按區域別分(續一),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.1),,第2表 平均每戶家庭收支按區域別分(續二),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.2),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 102 年,,,,單位：元,2 0 1 3 Unit:NT$,,,,,民 國 102 年,,,,單位：元,2 0 1 3 Unit:NT$,,,,,民 國 102 年,,,,單位：元,2 0 1 3 Unit:NT$,,,
,總 平 均,新 北 市,臺 北 市,臺 中 市,臺 南 市,高 雄 市,宜 蘭 縣,,,,桃 園 縣,新 竹 縣,苗 栗 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,
,General,New Taipei,Taipei,Taichung,Tainan,Kaohsiung,Yilan,,,,Taoyuan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,County,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家庭戶數,8191640,1465941,1021435,889989,659561,1050752,159807,No. of households,,家庭戶數,708149,172418,179484,373945,174926,235810,180202,No. of households,,家庭戶數,281553,81482,123004,36364,149091,150366,97361,No. of households
平均每戶人數,3.21,3.27,3.13,3.29,3.18,3.1,3.05,No. of persons per household,,平均每戶人數,3.56,3.42,3.24,3.35,3.07,2.87,3.07,No. of persons per household,,平均每戶人數,3.11,2.54,2.91,2.82,2.9,3.39,3.29,No. of persons per household
平均每戶成年人數,2.57,2.63,2.63,2.59,2.5299999999999998,2.54,2.36,No. of adults per household,,平均每戶成年人數,2.75,2.59,2.54,2.67,2.4700000000000002,2.34,2.4500000000000002,No. of adults per household,,平均每戶成年人數,2.46,1.99,2.27,2.2999999999999998,2.44,2.6,2.58,No. of adults per household
平均每戶就業人數,1.46,1.5,1.33,1.52,1.51,1.44,1.26,No. of persons employed per household,,平均每戶就業人數,1.61,1.61,1.44,1.62,1.45,1.32,1.38,No. of persons employed per household,,平均每戶就業人數,1.5,1.0900000000000001,1.18,1.1100000000000001,1.29,1.54,1.48,No. of persons employed per household
平均每戶所得收入者人數,1.71,1.75,1.69,1.73,1.69,1.7,1.6,No. of income recipients per household,,平均每戶所得收入者人數,1.89,1.83,1.7,1.69,1.62,1.47,1.62,No. of income recipients per household,,平均每戶所得收入者人數,1.54,1.44,1.53,1.55,1.59,1.87,1.8,No. of income recipients per household
