2020-08-14T00:00:00L02108年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,,
第2表 平均每戶家庭收支按區域別分,Table 2. Average Family Income and Expenditure per Household by Areas,,,,,,,
,,,,,,,,
民 國 108 年,,,,單位：元,2 0 1 9 Unit:NT$,,,
,總 平 均,新 北 市,臺 北 市,桃 園 市,臺 中 市,臺 南 市,高 雄 市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,
,average,City,City,City,City,City,City,
,,,,,,,,
家庭戶數,8734575.9999,1571557,1058621,816221.99999,979468.99999,692288.99999,1104650,No. of households
平均每戶人數,3.02,2.97,3.1,3.21,3.07,2.96,3.06,No. of persons per household
平均每戶成年人數,2.52,2.51,2.66,2.56,2.58,2.52,2.58,No. of adults per household
平均每戶就業人數,1.4,1.42,1.41,1.52,1.46,1.45,1.43,No. of persons employed per household
平均每戶所得收入者人數,1.78,1.86,1.92,1.81,1.78,1.73,1.82,No. of income recipients per household
一、所得收入總計,1274195.6699,1319840.8811,1723021.2815,1392198.7986,1298496.7322,1079174.017,1224668.4766,A.Total receipts
1.受僱人員報酬,724606.62939,798076.35935,1031477.9106,868808.16671,685098.28269,604311.07967,689196.09096,1.Compensation of employees
(1)本業薪資,535854.75208,624462.15977,750145.02061,645950.49846,517208.71579,451234.64064,501551.54377,(1)Full time payroll
(2)兼業薪資,45782.034052,27023.31035,55953.234669,38439.931231,44620.390403,47349.428105,53694.340515,(2)Part time payroll
(3)其他收入,142969.84326,146590.88922,225379.65536,184417.73702,123269.1765,105727.01092,133950.20667,(3)Other receipts or subsidies
2.產業主所得,157174.3657,115691.47819,167474.72359,136060.49863,207045.01461,144166.28318,169930.8498,2.Entrepreneurial income
3.財產所得收入,56964.164684,51021.890507,141012.87038,57789.047725,55107.724475,32110.779327,46819.33298,3. Property income
4.自用住宅設算租金收入,75450.399164,86129.520099,106864.57163,110126.43802,84516.432704,62507.74463,56117.243115,4.Imputed rent income
5.經常移轉收入,259929.95688,268905.9407,276093.11053,219347.24509,266711.12403,236002.03869,262479.04077,5.Current transfer receipts
(1)從私人,72422.426611,92173.486302,92581.615357,49879.984334,86724.150533,52554.344263,66449.271764,(1)From individuals
(2)從政府,48088.672556,39332.517323,38483.494217,45524.961705,44689.541645,50812.50927,46893.482496,(2)From government
(3)社會保險受益,136111.3222,135108.81911,142634.74889,117997.46611,130625.44591,129497.99001,145344.40327,(3)Benefit of social insurance
(4)從企業,2358.2081349,1668.7181122,1173.9696855,3844.8325191,3831.4743711,2209.8737024,3004.7277832,(4)From enterprises
