appleL02113年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2024",,113年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2024",,113年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2024",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第2表 平均每戶家庭收支按區域別分,,,,,Table 2. Average Family Income and Expenditure per Household by Areas,,第2表 平均每戶家庭收支按區域別分(續一),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.1),,第2表 平均每戶家庭收支按區域別分(續二),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.2),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 113 年,,,,單位：元,2 0 2 4 Unit:NT$,,,,,民 國 113 年,,,,單位：元,2 0 2 4 Unit:NT$,,,,,民 國 113 年,,,,單位：元,2 0 2 4 Unit:NT$,,,,,,,,,,,,,,,,,,,
,總 平 均,新 北 市,臺 北 市,桃 園 市,臺 中 市,臺 南 市,高 雄 市,,,,宜 蘭 縣,新 竹 縣,苗 栗 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,,,,,,,,,,,,,,,,,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,,,,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,,,,,,,,,,,,,,,,,
,average,City,City,City,City,City,City,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家庭戶數,9262020,1686441,1067481,915413,1072458,732432,1157284,No. of households,,家庭戶數,179844,223787,201016,408209,181180,248104,186869,No. of households,,家庭戶數,299186,84948,129223,43293,160175,180952,103725,No. of households,,,,,,,,,,,,,,,,
平均每戶人數,2.78,2.75,2.71,2.99,2.82,2.81,2.74,No. of persons per household,,平均每戶人數,2.69,3.14,2.99,2.79,2.61,2.74,2.59,No. of persons per household,,平均每戶人數,2.74,2.41,2.39,2.2200000000000002,2.5099999999999998,3.07,2.84,No. of persons per household,,,,,,,,,,,,,,,,
平均每戶成年人數,2.4500000000000002,2.4500000000000002,2.46,2.54,2.46,2.4700000000000002,2.41,No. of adults per household,,平均每戶成年人數,2.38,2.62,2.6,2.4500000000000002,2.36,2.41,2.37,No. of adults per household,,平均每戶成年人數,2.4,2.15,2.16,2.04,2.2599999999999998,2.59,2.46,No. of adults per household,,,,,,,,,,,,,,,,
平均每戶就業人數,1.33,1.32,1.24,1.47,1.37,1.38,1.34,No. of persons employed per household,,平均每戶就業人數,1.1599999999999999,1.43,1.32,1.3,1.32,1.38,1.2,No. of persons employed per household,,平均每戶就業人數,1.39,1.1100000000000001,1.07,0.8,1.07,1.41,1.24,No. of persons employed per household,,,,,,,,,,,,,,,,
平均每戶所得收入者人數,1.81,1.92,1.95,1.87,1.81,1.75,1.8,No. of income recipients per household,,平均每戶所得收入者人數,1.63,1.81,1.76,1.64,1.71,1.65,1.6,No. of income recipients per household,,平均每戶所得收入者人數,1.7,1.46,1.61,1.41,1.63,1.94,1.74,No. of income recipients per household,,,,,,,,,,,,,,,,
一、所得收入總計(中位數),1197007,1323102,1568671,1368179,1224743,1060174,1162867,A.Total receipts(median),,一、所得收入總計(中位數),905373,1480164,1108208,967161,921084,939561,817432,A.Total receipts(median),,一、所得收入總計(中位數),959624,758884,922589,725874,967689,1463608,1202941,A.Total receipts(median),,,,,,,,,,,,,,,,
二、所得收入總計(平均數),1409781,1472606,1803192,1514458,1427394,1225320,1379657,B.Total receipts(mean),,二、所得收入總計(平均數),1116050,1868845,1392770,1100040,1048889,1104001,983335,B.Total receipts(mean),,二、所得收入總計(平均數),1086321,916583,1070204,927834,1083638,1858010,1455973,B.Total receipts(mean),,,,,,,,,,,,,,,,
