appleL0283年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 1994",,83年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 1994",,83年家庭收支調查報告,,,,,,,,,,"The Survey of Family Income and Expenditure, 1994"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第2表 平均每戶家庭收支按區域別分,,,,,Table 2. Average Family Income and Expenditure per Household by Areas,,第2表 平均每戶家庭收支按區域別分(續一),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.1),,第2表 平均每戶家庭收支按區域別分(續二),Table 2. Average Family Income and Expenditure per Household by Areas (Cont.2),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 83 年,,,,單位：元,1 9 9 4 Unit:NT$,,,,,民 國 83 年,,,,單位：元,1 9 9 4 Unit:NT$,,,,,,民 國 83 年,,,,,單位：元,1 9 9 4 Unit:NT$,,,,
,總 平 均,臺 北 市,高 雄 市,臺 北 縣,宜 蘭 縣,桃 園 縣,新 竹 縣,,,,苗 栗 縣,臺 中 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,臺 南 縣,高 雄 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,臺 中 市,嘉 義 市,臺 南 市,
,General,Taipei,Kaohsiung,Taipei,Yilan,Taoyuan,Hsinchu,,,,Miaoli,Taichung,Changhua,Nantou,Yunlin,Chiayi,Tainan,Kaohsiung,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Taichung,Chiayi,Tainan,
,average,City,City,County,County,County,County,,,,County,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家庭戶數,5567351,827128,407203,900312,110516,370683,90121,No. of households,,家庭戶數,125174,329032,282331,133778,180828,136978,275519,308152,No. of households,,家庭戶數,221990,65542,93764,24316,99936,87235,232536,68418,195859,No. of households
平均每戶人數,4.0199999999999996,3.97,3.9,4.08,4.09,4.2699999999999996,4.3099999999999996,No. of persons per household,,平均每戶人數,4.1500000000000004,4.3,4.29,4.09,3.64,3.71,3.84,3.81,No. of persons per household,,平均每戶人數,4.0599999999999996,3.32,3.8,3.38,3.92,3.98,3.93,3.96,4.2,No. of persons per household
平均每戶成年人數,2.61,2.59,2.57,2.61,2.81,2.72,2.83,No. of adults per household,,平均每戶成年人數,2.74,2.61,2.8,2.6,2.41,2.48,2.57,2.52,No. of adults per household,,平均每戶成年人數,2.68,2.2000000000000002,2.42,2.36,2.7,2.59,2.6,2.52,2.76,No. of adults per household
平均每戶就業人數,1.75,1.66,1.66,1.69,1.74,1.87,2.02,No. of persons employed per household,,平均每戶就業人數,1.9,1.89,1.95,1.85,1.68,1.77,1.9,1.71,No. of persons employed per household,,平均每戶就業人數,1.9,1.48,1.65,1,1.73,1.67,1.66,1.53,1.81,No. of persons employed per household
平均每戶所得收入者人數,1.72,1.69,1.67,1.71,1.83,1.83,2,No. of income recipients per household,,平均每戶所得收入者人數,1.8,1.75,1.81,1.72,1.55,1.52,1.75,1.72,No. of income recipients per household,,平均每戶所得收入者人數,1.75,1.49,1.68,1.37,1.78,1.82,1.64,1.6,1.77,No. of income recipients per household
一、所得收入總計,904135,1223202,986975,924952,814337,943522,877940,A.Total receipts,,一、所得收入總計,819204,881749,738357,752323,605022,571208,726572,762103,A.Total receipts,,一、所得收入總計,785052,654893,894781,535665,964016,1010114,961602,916122,812171,A.Total receipts
1.受僱人員報酬,553262,796420,612576,605597,462648,583604,559227,1.Compensation of employees,,1.受僱人員報酬,436724,509004,402189,368484,325860,288025,419668,495617,1.Compensation of employees,,1.受僱人員報酬,424273,343862,521670,306975,614285,685249,573781,498678,487095,1.Compensation of employees
(1)本業薪資,441959,618213,484060,498201,359666,462087,449757,(1)Full time payroll,,(1)本業薪資,356569,413830,324530,303864,265878,234744,337961,399078,(1)Full time payroll,,(1)本業薪資,348745,262777,405627,244414,481881,516602,452837,391450,401626,(1)Full time payroll
(2)兼業薪資,22864,24342,17985,17450,40776,25659,27327,(2)Part time payroll,,(2)兼業薪資,19257,22069,14023,23872,19858,21308,19716,26956,(2)Part time payroll,,(2)兼業薪資,16263,39485,45518,14794,25971,41322,31035,28128,22480,(2)Part time payroll
