2020-08-14T00:00:00L05108年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,,,
第5表  平均每戶家庭收支按家庭組織型態別分,Table 5. Average Family Income and Expenditure per Household,,,,,,,,
,,,,,,by Type of Families,,,
民 國 108 年,,,,單位：元,2 0 1 9 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
家庭戶數,8734575.9999,1071148.2404,1685305.1869,891757.21916,3008148.3476,97968.503287,1174585.5657,805662.93689,No. of households
平均每戶人數,3.02,1,2,2.42,3.67,2.88,5.18,2.89,No. of persons per household
平均每戶成年人數,2.52,1,2,2.12,2.92,2.13,3.85,2.69,No. of adults per household
平均每戶就業人數,1.4,0.45,0.73,1.29,1.88,0.71,2.18,1.4,No. of persons employed per household
平均每戶所得收入者人數,1.78,1,1.41,1.56,2.06,1.47,2.46,1.8,No. of income recipients per household
一、所得收入總計,1274195.6699,526466.83908,955097.35283,981680.703,1651673.8976,854451.88227,1730946.6259,1235316.9885,A.Total receipts
1.受僱人員報酬,724606.62939,207860.01298,382965.96663,584467.03097,1068650.4093,301811.59442,992441.43527,657757.92977,1.Compensation of employees
(1)本業薪資,535854.75208,149721.56442,227276.01882,457311.52807,802686.97618,208910.3188,761493.96374,496165.06847,(1)Full time payroll
(2)兼業薪資,45782.034052,22140.221576,90451.026358,22116.748143,42160.464443,51460.534338,34669.241353,39001.92983,(2)Part time payroll
(3)其他收入,142969.84326,35998.226987,65238.92145,105038.75476,223802.96864,41440.74128,196278.23018,122590.93147,(3)Other receipts or subsidies
2.產業主所得,157174.3657,48909.634773,128339.84149,89258.740636,209805.23975,63977.373726,235765.46348,136847.90272,2.Entrepreneurial income
3.財產所得收入,56964.164684,27496.193727,74775.202133,33029.069138,64059.131066,46289.739795,56501.133208,60860.014503,3. Property income
4.自用住宅設算租金收入,75450.399164,45239.022985,76958.90132,59157.768268,87946.1418,59450.36577,86418.31661,69794.61136,4.Imputed rent income
5.經常移轉收入,259929.95688,196878.80182,291997.91259,215676.0651,221166.08903,382893.61335,359743.89876,309922.89011,5.Current transfer receipts
(1)從私人,72422.426611,91582.220934,101714.98555,65464.665366,41062.598775,179233.24335,74575.667382,94337.925541,(1)From individuals
(2)從政府,48088.672556,36824.352677,41895.127132,50220.077218,41446.12062,57553.055106,73207.662441,60691.017753,(2)From government
(3)社會保險受益,136111.3222,66543.21345,145855.0238,98659.454856,135191.34796,138563.69106,207329.92763,148982.01191,(3)Benefit of social insurance
(4)從企業,2358.2081349,899.26079854,1909.7139036,976.9586511,3315.513703,3215.6991963,2973.0567869,2189.9257193,(4)From enterprises
(5)從國外,949.32737352,1029.7539601,623.06220456,354.90900736,150.50797265,4327.924636,1657.5845269,3722.0091817,(5)From abroad
6.雜項收入,70.154075826,83.172792269,59.528660541,92.028893782,46.886692913,29.19520428,76.37854778,133.64006606,6.Miscellaneous receipts
二、非消費支出,214464.76108,78000.44133,145336.80832,152574.95557,304543.80129,87591.123646,272315.11114,203758.31404,B.Nonconsumption expenditures
1.利息支出,10795.056782,4937.8911563,7068.0543265,6747.3226786,17573.68279,3162.8594633,9416.1952925,8487.4148921,1.Interest
2.經常移轉支出,203669.7043,73062.550174,138268.75399,145827.63289,286970.1185,84428.264183,262898.91585,195270.89914,2.Current transfer expenditures
(1)對私人,46693.894503,26013.736417,45664.272864,23030.091981,64417.233233,22551.020989,42870.943526,44869.683088,(1)To private
(2)對政府,34401.475626,12570.374454,29507.04494,20969.425305,48798.10908,14233.70309,35963.148483,34954.264894,(2)To government
(3)社會保險,120840.44944,33555.109395,59918.756115,100819.9659,171917.05528,47552.671836,182903.80509,114207.10423,(3)Social insurance
(4)對國外,1733.8847268,923.32990888,3178.6800736,1008.1497023,1837.7209047,90.868267895,1161.0187542,1239.846935,(4)To abroad
,,,,,,,,,
,,,,,"Note：From 2010, Single-parent family means a family with unmarried children and a parent",,,,
,,,,,living together in accordance with the definition of Population and Housing Census.,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
108年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分(續),Table 5. Average Family Income and Expenditure per Household,,,,,,,,
,,,,,,by Type of Families (Cont.),,,
民 國 108 年,,,,單位：元,2 0 1 9 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
三、消費支出,829198.82563,367728.33136,648216.57635,650178.7638,1028202.261,660880.17216,1170709.7246,799012.95513,C.Consumption expenditures
1.食品及非酒精飲料,116605.16931,42973.760023,91744.21061,86440.786907,138231.14124,109720.67712,188941.33149,114523.75619,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9479.0004254,5158.5070527,6025.7077022,8794.7494361,10719.941799,6998.720504,15170.170187,10575.258485,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,23219.992024,8183.5492243,15690.515048,17927.194819,31046.206383,15776.111373,33933.605091,20884.539869,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,195833.5362,132225.66131,183391.68897,172644.2912,228305.541,163159.26853,213820.8437,188601.92559,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,177839.58332,122932.56112,168572.87834,157209.42901,207808.88186,145822.44327,187483.28509,170994.41024,(1)Rent and water charges
(2)電費及燃料,17993.95288,9293.1001878,14818.810629,15434.862188,20496.659136,17336.825257,26337.558619,17607.515356,(2)Power and fuel
5.家具設備及家務維護,21626.436024,9803.847046,18463.286683,15211.926619,27821.416856,15000.870401,27184.213769,20633.951893,"5.Furnishings,household equipment        and routine household maintenance"
6.醫療保健,132718.65681,59656.849964,125587.88698,100390.59887,141699.5476,126054.97403,203304.96986,144924.31082,6.Health
7.交通,77372.283218,25455.944753,55272.905684,53275.786551,106520.21934,48423.399711,108078.30917,69218.033338,7.Transport
(1)個人交通工具之購置,13724.676606,3964.268802,8623.3028316,7885.460192,20942.523459,10329.280029,18836.601351,9846.222825,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,46314.68739,14455.170197,33799.930625,31613.62508,61930.263051,27008.045611,67599.060028,44135.595607,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,10865.000412,5044.3745046,7857.9537048,9636.9000765,15002.600947,7404.4444795,12089.513985,9439.9941364,(3)Transport services
(4)汽、機車保險費,6467.9188097,1992.1312498,4991.7185222,4139.8012027,8644.8318803,3681.6295925,9553.1338027,5796.2207696,(4)Insurance of vehicles
8.通訊,23973.354171,8983.4089509,15333.06243,21155.269824,31413.511971,17356.956317,34700.632323,22481.443812,8.Communication
9.休閒與文化,50567.531745,19273.90125,42464.687223,34303.88391,70425.720599,29092.414038,59459.898289,42625.960357,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),27986.722704,9145.1218447,27563.271874,16226.194307,39121.542972,11653.997092,30153.142763,24193.056011,(1)Package holidays
(2)娛樂消遣及文化服務,11982.539492,6565.4480275,8798.4350658,10058.569735,15780.160511,9695.3671978,14559.085097,10317.202605,(2)Recreational and cultural services
(3)書報雜誌文具,3967.3793855,640.53074185,1222.2326596,2834.0861965,6251.6937157,4067.0535681,7127.6822396,2238.6329206,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,6630.890163,2922.8006364,4880.7476233,5185.0336713,9272.3234007,3675.99618,7619.9881897,5877.0688197,(4)Recreational facilities
10.教育,28485.132526,268.68525118,293.89660779,16280.004984,50629.407846,26273.636854,59417.654195,10970.789313,10.Education
11.餐廳及旅館,106022.53139,35603.119359,60946.809503,91523.594533,141175.48864,72606.367056,160899.51375,102790.682,11.Restaurants and hotels
12.什項消費,43295.201798,20141.097176,33001.918912,32230.676149,50214.117694,30416.77623,65798.582737,50782.303463,12.Miscellaneous goods and services
可支配所得,1059730.9088,448466.39775,809760.54451,829105.74743,1347130.0963,766860.75862,1458631.5147,1031558.6745,Disposable income
消費支出,829198.82563,367728.33136,648216.57635,650178.7638,1028202.261,660880.17216,1170709.7246,799012.95513,Consumption expenditures
儲蓄,230532.08317,80738.066392,161543.96816,178926.98363,318927.83535,105980.58646,287921.79017,232545.71937,Saving
所得總額,1335845.1713,565406.75193,1017539.2573,1031879.7951,1723421.0951,908140.73776,1797377.2245,1294471.15,Current receipts
,,,,,,,,,
,,,,,"Note：From 2010, Single-parent family means a family with unmarried children and a parent",,,,
,,,,,living together in accordance with the definition of Population and Housing Census.,,,,
