appleL0585年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 1996"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
民 國 85 年,,,,單位：元,1 9 9 6 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
家庭戶數,5908262,470215,595175,393355,3122862,61798,1015920,248937,No. of households
平均每戶人數,3.92,1,2,2.88,4.24,3.29,6.04,3.26,No. of persons per household
平均每戶成年人數,2.61,0.99,2,2.0699999999999998,2.58,1.93,4.01,2.96,No. of adults per household
平均每戶就業人數,1.71,0.53,0.95,1.54,1.87,0.74,2.35,1.74,No. of persons employed per household
平均每戶所得收入者人數,1.71,1,1.23,1.59,1.78,1.1200000000000001,2.1800000000000002,1.78,No. of income recipients per household
一、所得收入總計,1008367,406152,666694,769386,1119414,580984,1263875,1010701,A.Total receipts
1.受僱人員報酬,579472,184099,287160,468083,675048,167049,709093,575592,1.Compensation of employees
(1)本業薪資,460259,134475,191671,387748,540164,115978,571612,461019,(1)Full time payroll
(2)兼業薪資,23887,22836,55044,12764,19945,29087,21720,25973,(2)Part time payroll
(3)其他收入,95325,26788,40445,67571,114940,21985,115761,88600,(3)Other receipts or subsidies
2.產業主所得,186931,50795,97041,111445,219191,66655,248012,154162,2.Entrepreneurial income
3.財產所得收入,59293,30475,74907,38709,60111,45828,69611,59897,3. Property income
4.自用住宅設算租金收入,61507,35630,51625,47534,67548,48699,67390,59480,4.Imputed rent income
5.經常移轉收入,120898,104955,155723,103373,97257,252588,169433,161260,5.Current transfer receipts
(1)從私人,35890,51314,71788,39264,21281,126292,38786,64589,(1)From individuals
(2)從政府,30097,32431,37024,25346,23433,53904,44988,33556,(2)From government
(3)社會保險受益,53479,19773,45640,36441,51625,71207,85034,52893,(3)Benefit of social insurance
(4)從企業,765,248,325,1927,890,77,426,939,(4)From enterprises
(5)從國外,668,1189,947,394,28,1107,199,9284,(5)From abroad
6.雜項收入,266,198,237,243,259,165,337,309,6.Miscellaneous receipts
二、非消費支出,181989,67465,114629,120632,211741,79429,214849,174453,B.Nonconsumption expenditures
1.利息支出,41923,18258,22963,29396,53040,12715,38264,34485,1.Interest
2.經常移轉支出,140066,49207,91666,91236,158701,66714,176585,139967,2.Current transfer expenditures
(1)對私人,44764,21798,38771,27574,49532,24579,50789,50227,(1)To private
(2)對政府,27697,9197,18386,15982,33085,8337,31122,26648,(2)To government
(3)社會保險,65211,15495,29516,47154,73916,31784,93533,56500,(3)Social insurance
(4)對國外,2395,2716,4993,525,2168,2015,1141,6592,(4)To abroad
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
85年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 1996"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分(續),,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families (Cont.),,,
民 國 85 年,,,,單位：元,1 9 9 6 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
三、消費支出,614435,251947,399644,465088,687404,412428,760914,585652,C.Consumption expenditures
1.食品費,148667,49862,82734,117159,165177,102258,200151,137026,1.Food
2.飲料費,6401,3026,4037,4927,6952,3459,8293,6857,2.Beverage
3.菸草,5186,2994,3450,3963,5241,3430,7472,5828,3.Tobacco
4.衣著、鞋、襪類,27584,9366,15656,20334,31431,15745,35027,26279,4.Clothing and footwear
5.房地租及水費,137832,85396,112359,119697,151491,99967,144047,139136,5.Rent and water charges
6.燃料及燈光,17626,7945,12316,14050,19103,13837,22557,16537,6.Fuel and light
7.家具及家庭設備,15059,6277,11067,10564,17508,5670,16310,14792,7.Furniture and family facilities
8.家事管理,13071,4130,7362,7491,16548,4699,13474,9247,8.Household operations
9.保健及醫療,60473,24632,53904,40247,56977,71248,98573,61535,9.Health care and medical
10.運輸交通及通訊,62457,20383,32578,38946,73848,24569,75783,62626,10.Transport and communications
(1)交通及通訊工具之購置,14146,3557,6174,5169,17866,3614,16112,15316,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,28211,7435,13522,16988,33264,10051,36708,26759,(2)Operation of transport equipment
(3)乘交通設備之費用,9184,4627,5693,9200,10310,5605,10082,9225,(3)Purchased transportation
(4)其他通訊費,6953,3862,5244,5786,7552,4820,7970,7596,(4)Other communications
(5)汽機車保險費支出,3961,901,1945,1803,4856,479,4913,3729,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,79683,21894,37252,56672,98943,37872,89064,57132,"11.Recreation ,education and culture"
(1)旅遊費用,22922,11053,25065,15183,24610,10172,24644,27404,(1)Traveling
(2)娛樂消遣服務,7873,4007,4745,6980,9036,4418,8445,8007,(2)Recreation service
(3)書報雜誌文具,5772,1950,2991,3910,7058,2971,6441,4408,(3)Books and stationery
(4)娛樂器材及附屬品,7958,3765,4022,5524,9592,3212,8643,7014,(4)Recreation facilities
(5)教育與研究費,35159,1120,429,25075,48648,17099,40891,10299,(5)Education and research
12.什項消費,40396,16042,26928,31039,44184,29673,50164,48656,12.Miscellaneous
可支配所得,826378,338687,552065,648754,907674,501555,1049026,836248,Disposable income
消費支出,614435,251947,399644,465088,687404,412428,760914,585652,Consumption expenditures
儲蓄,211943,86741,152421,183666,220270,89127,288112,250596,Saving
所得總額,1050994,428927,702717,803914,1165775,610016,1312729,1050531,Current receipts
