appleL01113年家庭收支調查報告,,,,,,,,,,,"The Survey of Family Income and Expenditure, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第1表 平均每戶家庭收支按戶內人數分,,,,,,Table 1. Average Family Income and Expenditure per,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Household by Size of Household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 113 年,,,,,單位：元,2 0 2 4 Unit:NT$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總 平 均,1人,2人,3人,4人,5人,6人,7人,8人,9人及以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,General average,1 person,2 persons,3 persons,4 persons,5 persons,6 persons,7 persons,8 persons,9 or more persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家庭戶數,9262020,1446884,3107094,2193433,1581676,566633,255882,75379,22308,12732,No. of households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平均每戶人數,2.78,1,2,3,4,5,6,7,8,9.77,No. of persons per household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平均每戶成年人數,2.4500000000000002,1,1.97,2.74,3.25,3.88,4.55,5.05,5.72,6.68,No. of adults per household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平均每戶就業人數,1.33,0.46,0.81,1.57,2.0699999999999998,2.39,2.63,3.17,3.63,4.38,No. of persons employed per household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平均每戶所得收入者人數,1.81,1,1.5,1.97,2.2999999999999998,2.67,2.99,3.56,3.79,4.95,No. of income recipients per household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一、所得收入總計(中位數),1197007,563464,865831,1382982,1779905,1974495,2103804,2430131,2623729,3364155,A.Total receipts(median),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二、所得收入總計(平均數),1409781,681785,1062344,1578192,2039547,2109902,2258317,2682380,2947977,3238844,B.Total receipts(mean),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.受僱人員報酬,788831,285857,481890,937693,1336837,1274435,1257629,1571474,1716435,1836903,1.Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1)本業薪資,570836,202629,320414,681462,998040,957058,963500,1198823,1238902,1429428,(1)Full time payroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)兼業薪資,52102,24775,73253,54774,38888,36751,42180,68382,13007,31840,(2)Part time payroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(3)其他收入,165892,58453,88224,201457,299909,280626,251950,304269,464525,375635,(3)Other receipts or subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.產業主所得,160166,60048,112292,179048,234189,273072,326585,405670,390972,544648,2.Entrepreneurial income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.財產所得收入,70820,51897,80505,67574,72092,68040,72123,103687,116461,81952,3. Property income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
