作者不明2026-08-13T18:05:18.839L01114年家庭收支調查報告,,,,,,,,,,,"The Survey of Family Income and Expenditure, 2025"
,,,,,,,,,,,
第1表 平均每戶家庭收支按戶內人數分,Table 1. Average Family Income and Expenditure per,,,,,,,,,,
,,,,,,,,Household by Size of Household,,,
民 國 114 年,,,,,單位：元,2 0 2 5 Unit:NT$,,,,,
,總 平 均,1   人,2   人,3   人,4   人,5   人,6   人,7   人,8   人,9人及以上,
,General average,1 person,2 persons,3 persons,4 persons,5 persons,6 persons,7 persons,8 persons,9 or more persons,
,,,,,,,,,,,
家庭戶數,9760528,1691170,3345088,2265778,1623418,540210,206910,65691,15261,7002,No. of households
平均每戶人數,2.69,1,2,3,4,5,6,7,8,9.16,No. of persons per household
平均每戶成年人數,2.38,1,1.97,2.75,3.23,3.89,4.37,4.98,5.87,6.2,No. of adults per household
平均每戶就業人數,1.29,0.5,0.84,1.58,2.06,2.32,2.47,2.91,3.39,3.95,No. of persons employed per household
平均每戶所得收入者人數,1.78,1,1.52,2.02,2.31,2.62,2.89,3.52,4.06,4.36,No. of income recipients per household
一、所得收入總計(中位數),1244069,559991,925559,1459722,1887056,2035697,2168605,2481533,2937775,3559773,A.Total receipts(median)
二、所得收入總計(平均數),1456725,693522,1138392,1689481,2160515,2194760,2315500,2589071,2876496,3342688,B.Total receipts(mean)
1.受僱人員報酬,804748,318672,526410,981198,1377308,1279691,1310351,1442069,1548366,2146882,1.Compensation of employees
(1)本業薪資,581573,225758,357886,715228,1011351,970986,1000554,1113508,1213433,1697073,(1)Full time payroll
(2)兼業薪資,51899,24860,66322,58857,40551,51688,55404,52927,33234,14468,(2)Part time payroll
(3)其他收入,171276,68055,102202,207112,325407,257017,254393,275634,301699,435340,(3)Other receipts or subsidies
2.產業主所得,162344,61640,122079,185925,243405,310365,270932,353806,370196,417853,2.Entrepreneurial income
3.財產所得收入,76980,39502,80246,84110,96531,86783,72806,84324,66259,50421,3. Property income
4.自用住宅設算租金收入,81909,50394,77606,90169,101534,100434,105587,101566,128375,111410,4.Imputed rent income
5.經常移轉收入,330711,223274,332022,348038,341715,417474,555741,607128,763300,616123,5.Current transfer receipts
(1)從私人,75669,91601,90560,63639,51047,56545,81933,71572,67562,60888,(1)From individuals
(2)從政府,86688,47336,73222,93448,111568,138257,170357,200736,233286,227547,(2)From government
(3)社會保險受益,164225,82013,164553,185491,175188,219336,290987,324920,443346,327412,(3)Benefit of social insurance
(4)從企業,3252,1968,2829,3961,3451,3005,8711,9900,19107,276,(4)From enterprises
(5)從國外,878,356,857,1499,461,330,3753,0,0,0,(5)From abroad
6.雜項收入,33,39,30,40,21,14,83,177,0,0,6.Miscellaneous receipts
三、非消費支出,246358,115436,178639,289522,400028,360681,354965,420490,432058,554736,C.Nonconsumption expenditures
1.利息支出,13555,9273,9867,15696,22740,15223,9731,9008,14466,12166,1.Interest
2.經常移轉支出,232803,106163,168772,273826,377288,345458,345234,411482,417592,542571,2.Current transfer expenditures
(1)對私人,50978,33969,45767,57640,68987,56281,46494,50949,48601,46741,(1)To private
(2)對政府,38178,20352,32167,41561,64353,37563,38519,41381,44788,44906,(2)To government
(3)社會保險,141864,50094,88317,173409,242553,249920,260002,319028,322960,450562,(3)Social insurance
(4)對國外,1783,1749,2521,1216,1395,1694,219,124,1243,362,(4)To abroad
,,,,,,,,,,,
114年家庭收支調查報告,,,,,,,,,,,"The Survey of Family Income and Expenditure, 2025"
,,,,,,,,,,,
第1表 平均每戶家庭收支按戶內人數分(續),Table 1. Average Family Income and Expenditure per,,,,,,,,,,
,,,,,,,,Household by Size of Household (Cont.),,,
民 國 114 年,,,,,單位：元,2 0 2 5 Unit:NT$,,,,,
,總 平 均,1   人,2   人,3   人,4   人,5   人,6   人,7   人,8   人,9人及以上,
,General average,1 person,2 persons,3 persons,4 persons,5 persons,6 persons,7 persons,8 persons,9 or more persons,
,,,,,,,,,,,
四、消費支出,920397,460598,747961,1041428,1295673,1398532,1581895,1694471,2106818,1895968,D.Consumption expenditures
1.食品及非酒精飲料,132660,53127,108773,149527,184515,222995,258334,308843,382326,393322,1.Food and non-alcoholic beverages
2.菸酒及檳榔,8696,4727,6632,10205,10811,15436,18272,16012,37087,40877,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,23698,10496,17988,27131,35768,38749,41652,45734,56759,60349,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,221718,168233,204771,240013,267745,256661,264074,254850,292176,232108,"4.Housing,water,electricity,gas and other fuels"
(1)住宅服務,200883,157093,186975,217233,240403,224532,226199,214275,240625,183926,(1)Rent and residential services
(2)水電費及燃料,20834,11139,17796,22780,27343,32128,37875,40575,51551,48182,"(2)Water,electricity,gas and other fuels"
5.家具設備及家務維護,25889,14710,22256,29752,33749,36767,36808,42462,38991,43205,"5.Furnishings,household equipment        and routine household maintenance"
6.醫療保健,129564,61777,123411,146066,149220,179076,256503,257566,366740,255440,6.Health
7.交通,70659,29892,53147,85504,106396,109852,108740,134281,210102,143233,7.Transport
(1)個人交通工具之購置,12485,5595,8119,17559,17681,20585,13106,24218,86901,0,(1)Purchase of vehicles
(2)個人交通設備管理維護,46419,17754,35459,54394,70880,73877,82304,99478,110862,137385,(2)Operation of personal transport equipment
(3)客運與貨物運輸服務,11754,6543,9569,13552,17835,15390,13330,10585,12339,5848,(3)Passenger and goods transport services
8.資通訊,34220,17141,26791,39011,50332,51990,55916,60428,66661,94351,8.Information and communication
9.休閒、運動與文化,38638,16278,30176,45498,61220,55077,54852,55740,63290,65081,"9.Recreation,sport and culture"
(1)套裝旅遊(不含自助旅遊),19599,7558,17036,24495,28348,24237,23250,22569,30170,23395,(1)Package holidays
(2)休閒、運動與文化用品,5094,2906,4163,5806,7483,6714,6263,7714,6237,7819,"(2)Recreational,sporting and cultural goods"
(3)休閒、運動與文化服務,10815,5223,7837,11890,18543,16183,15890,15231,17205,25187,"(3)Recreational,sporting and cultural services"
(4)書報雜誌文具,3130,591,1141,3308,6846,7944,9449,10226,9677,8680,"(4)Newspapers,books and stationery"
10.教育,22398,330,3067,20471,61889,67608,83274,87198,67984,61434,10.Education services
11.餐廳及住宿,130580,48592,91323,152395,208179,231536,259740,274463,298920,314084,11.Restaurants and accommodation services
12.保險及金融服務,41607,14471,27469,49832,69774,73837,75918,82635,113692,116066,12.Insurance and financial services
13.其他,40070,20824,32160,46023,56076,58949,67813,74260,112090,76419,13.Miscellaneous goods and services
可支配所得(平均數),1210367,578086,959752,1399959,1760487,1834079,1960536,2168581,2444438,2787952,Disposable income(mean)
可支配所得(中位數),1017802,470716,786107,1222136,1491448,1743164,1860713,2035457,2457044,2937116,Disposable income(median)
消費支出,920397,460598,747961,1041428,1295673,1398532,1581895,1694471,2106818,1895968,Consumption expenditures
儲蓄,289970,117488,211791,358531,464814,435547,378641,474111,337620,891984,Saving
所得總額,1528597,742367,1206260,1769247,2248314,2277045,2398890,2667521,2959411,3411643,Current receipts
