appleL0196年家庭收支調查報告,,,,,,,,,,,"The Survey of Family Income and Expenditure, 2007"
,,,,,,,,,,,
第1表 平均每戶家庭收支按戶內人數分,,,,,,Table 1. Average Family Income and Expenditure per,,,,,
,,,,,,,,Household by Size of Household,,,
民 國 96 年,,,,,單位：元,2 0 0 7 Unit:NT$,,,,,
,總 平 均,1人,2人,3人,4人,5人,6人,7人,8人,9人及以上,
,General average,1 person,2 persons,3 persons,4 persons,5 persons,6 persons,7 persons,8 persons,9 or more persons,
,,,,,,,,,,,
家庭戶數,7414281,711519,1708180,1570162,1832354,987863,399095,136077,43150,25880,No. of households
平均每戶人數,3.38,1,2,3,4,5,6,7,8,10.26,No. of persons per household
平均每戶成年人數,2.57,1,1.93,2.52,2.82,3.31,4.08,4.67,5.31,6.43,No. of adults per household
平均每戶就業人數,1.5,0.49,0.85,1.51,1.83,2.06,2.37,2.76,3.27,4.42,No. of persons employed per household
平均每戶所得收入者人數,1.66,1,1.24,1.62,1.84,2.0099999999999998,2.37,2.6,3.19,3.96,No. of income recipients per household
一、所得收入總計,1108674,455814,749431,1139760,1352322,1379808,1542606,1718139,1767124,2288785,A.Total receipts
1.受僱人員報酬,640733,196326,333303,687705,857261,810846,919789,1001590,1133422,1454407,1.Compensation of employees
(1)本業薪資,485369,142955,222129,519813,660448,632317,718265,796480,939629,1194584,(1)Full time payroll
(2)兼業薪資,37132,19114,58516,41778,27117,30090,28791,30036,15350,19209,(2)Part time payroll
(3)其他收入,118233,34256,52658,126114,169696,148439,172732,175074,178443,240614,(3)Other receipts or subsidies
2.產業主所得,160457,43918,91781,151550,195483,250514,245232,303981,218842,360850,2.Entrepreneurial income
3.財產所得收入,54538,34869,59018,58260,56244,47453,57671,78605,48964,57915,3. Property income
4.自用住宅設算租金收入,65747,42889,59182,67856,72963,71842,72882,72048,76496,95051,4.Imputed rent income
5.經常移轉收入,187030,137614,205963,174221,170217,199024,246846,261755,289197,320081,5.Current transfer receipts
(1)從私人,53986,65559,81240,50146,38907,40186,43576,41072,38490,18455,(1)From individuals
(2)從政府,42184,33853,52009,37721,33360,44708,56651,60817,61557,68531,(2)From government
(3)社會保險受益,86893,35127,69347,82867,91265,111686,144232,159130,184567,229564,(3)Benefit of social insurance
(4)從企業,2279,373,1645,1702,4719,1302,2211,735,4583,1321,(4)From enterprises
(5)從國外,1689,2703,1721,1786,1965,1141,175,0,0,2210,(5)From abroad
6.雜項收入,168,198,185,168,155,129,187,160,204,481,6.Miscellaneous receipts
二、非消費支出,184800,72064,115498,196502,237205,225562,249985,257756,270462,350614,B.Nonconsumption expenditures
1.利息支出,18278,8549,11229,22361,24920,20194,16845,14642,11294,12700,1.Interest
2.經常移轉支出,166522,63515,104269,174140,212284,205368,233140,243113,259168,337913,2.Current transfer expenditures
(1)對私人,51717,30806,40805,55977,62603,54410,58600,57266,62989,60873,(1)To private
(2)對政府,35131,12280,22029,39333,45424,40867,45929,48022,44700,75317,(2)To government
(3)社會保險,76943,19436,37378,75265,102266,108644,124758,135049,151358,201275,(3)Social insurance
(4)對國外,2731,993,4057,3565,1992,1448,3854,2777,120,448,(4)To abroad
,,,,,,,,,,,
96年家庭收支調查報告,,,,,,,,,,,"The Survey of Family Income and Expenditure, 2007"
,,,,,,,,,,,
第1表 平均每戶家庭收支按戶內人數分(續),,,,,,Table 1. Average Family Income and Expenditure per,,,,,
,,,,,,,,Household by Size of Household (Cont.),,,
民 國 96 年,,,,,單位：元,2 0 0 7 Unit:NT$,,,,,
,總 平 均,1人,2人,3人,4人,5人,6人,7人,8人,9人及以上,
,General average,1 person,2 persons,3 persons,4 persons,5 persons,6 persons,7 persons,8 persons,9 or more persons,
,,,,,,,,,,,
三、消費支出,716094,305082,485759,702584,869339,929006,1031601,1104040,1151992,1429609,C.Consumption expenditures
1.食品費,160563,54799,99862,151114,196249,222866,253768,286896,309906,392589,1.Food
2.飲料費,6525,2853,4284,6396,7788,8418,10278,10440,11204,15182,2.Beverage
3.菸草,6212,2982,3990,5982,6800,8809,9834,11519,13581,18793,3.Tobacco
4.衣著、鞋、襪類,23431,8590,13750,23215,29782,31359,34933,37308,42246,49509,4.Clothing and footwear
5.房地租及水費,147927,99250,127535,154886,167135,163614,160769,159133,160102,174017,5.Rent and water charges
6.燃料及燈光,20465,9921,15562,20085,22961,25957,29376,33388,35030,40928,6.Fuel and light
7.家具及家庭設備,12358,5126,8991,13754,14808,14015,16258,16994,17682,18515,7.Furniture and family facilities
8.家事管理,12151,6545,8164,13673,15893,13024,12392,13836,16947,18161,8.Household operations
9.保健及醫療,102407,46284,84719,96190,106413,129512,168029,183565,207907,257376,9.Health care and medical
10.運輸交通及通訊,89256,28199,49960,92119,115597,117044,135344,137686,143083,206956,10.Transport and communications
(1)交通及通訊工具之購置,8632,2455,3374,9529,13683,8405,14856,14455,4729,2081,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,45103,12138,25263,46181,57528,60516,70868,70205,84872,131909,(2)Operation of transport equipment
(3)乘交通設備之費用,7929,4037,5283,7730,9652,11173,9937,11023,8041,8344,(3)Purchased transportation
(4)其他通訊費,22769,8190,13202,23615,28710,30757,32430,33969,36256,47890,(4)Other communications
(5)汽機車保險費支出,4822,1378,2838,5064,6025,6194,7252,8034,9186,16732,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,89680,22837,38981,78329,130874,137751,136250,144447,120689,153006,"11.Recreation ,education and culture"
(1)旅遊費用,22149,10933,18747,23917,26247,23111,26422,26747,21505,31947,(1)Traveling
(2)娛樂消遣服務,8372,5428,6825,8865,9518,9461,9508,9999,9359,11124,(2)Recreation service
(3)書報雜誌文具,3871,1378,2063,3800,5283,5188,5775,5593,4565,6269,(3)Books and stationery
(4)娛樂器材及附屬品,9045,3839,5180,9635,12489,10783,11172,11105,11478,13526,(4)Recreation facilities
(5)教育與研究費,46243,1259,6167,32112,77336,89208,83373,91004,73783,90141,(5)Education and research
12.什項消費,45120,17695,29960,46840,55039,56638,64369,68826,73616,84578,12.Miscellaneous
