2020-08-14T00:00:00L04108年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分,Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,by Occupation of Household Heads,,,
民 國 108 年,,,單位：元,2 0 1 9 Unit:NT$,,,
,總 平 均,民 意 代 表 、 主管 及 經 理 人 員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務支援人員,服 務 及 銷 售工 作 人 員,
,General average,"Legislators, Senior Officials and Managers",Professionals,Technicians and Associate Professionals,Clerical Support Workers,Service and Sales Workers,
,,,,,,,
家庭戶數,8734575.9999,388343.96227,876219.69754,1326177.044,437290.37462,1220816.4665,No. of households
平均每戶人數,3.02,3.47,3.41,3.45,3.09,3.11,No. of persons per household
平均每戶成年人數,2.52,2.76,2.67,2.8,2.66,2.61,No. of adults per household
平均每戶就業人數,1.4,1.87,1.69,1.78,1.6,1.77,No. of persons employed per household
平均每戶所得收入者人數,1.78,2.03,1.98,2.02,1.96,1.8,No. of income recipients per household
一、所得收入總計,1274195.6699,2638074.1368,1922779.4804,1662907.8178,1243075.441,1188717.5805,A.Total receipts
1.受僱人員報酬,724606.62939,1783915.8802,1402101.6553,1108025.959,838349.20048,525457.61198,1.Compensation of employees
(1)本業薪資,535854.75208,1338011.4861,1027820.5084,824013.15028,612100.62479,410483.45905,(1)Full time payroll
(2)兼業薪資,45782.034052,30449.707311,56761.004051,37545.420309,49496.038641,21669.271019,(2)Part time payroll
(3)其他收入,142969.84326,415454.68678,317520.14285,246467.38842,176752.53705,93304.881911,(3)Other receipts or subsidies
2.產業主所得,157174.3657,340371.18678,140729.76166,173061.9448,40129.522963,316491.14853,2.Entrepreneurial income
3.財產所得收入,56964.164684,183904.37521,75255.797686,69323.382916,53042.949672,30566.415023,3. Property income
4.自用住宅設算租金收入,75450.399164,132521.20089,102316.06386,93117.256194,78380.271132,64736.126348,4.Imputed rent income
5.經常移轉收入,259929.95688,197350.81424,202340.59815,219339.18788,233106.79956,251374.96447,5.Current transfer receipts
(1)從私人,72422.426611,41967.246805,46022.420443,51522.006676,56485.602628,58168.084524,(1)From individuals
(2)從政府,48088.672556,32118.827724,36337.705741,37714.235548,38451.409296,46698.758028,(2)From government
(3)社會保險受益,136111.3222,119429.40186,116820.92558,127855.61125,132146.21529,143861.36785,(3)Benefit of social insurance
(4)從企業,2358.2081349,2790.843687,1171.6049234,1813.9592485,3990.5654276,1891.8068343,(4)From enterprises
(5)從國外,949.32737352,1044.4941606,1987.9414604,433.37515152,2033.0069234,754.94723221,(5)From abroad
6.雜項收入,70.154075826,10.679414629,35.603722731,40.087062474,66.697154365,91.314120435,6.Miscellaneous receipts
二、非消費支出,214464.76108,540111.40849,384784.90537,305041.53755,214089.03229,179816.6812,B.Nonconsumption expenditures
1.利息支出,10795.056782,30756.123114,23779.785947,16227.924162,9977.0609156,10124.472251,1.Interest
2.經常移轉支出,203669.7043,509355.28537,361005.11942,288813.61338,204111.97137,169692.20895,2.Current transfer expenditures
(1)對私人,46693.894503,132714.86102,86789.931063,66254.549244,38195.807603,38285.675859,(1)To private
(2)對政府,34401.475626,155389.79076,75450.63301,47158.314538,24098.697688,20843.899423,(2)To government
(3)社會保險,120840.44944,211854.58652,193449.54638,173834.97636,140775.23914,109517.68707,(3)Social insurance
(4)對國外,1733.8847268,9396.0470671,5315.0089654,1565.7732473,1042.2269399,1044.9466049,(4)To abroad
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
108年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2019",
,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分(續一),Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,by Occupation of Household Heads (Cont.1),,,,
民 國 108 年,,單位：元,2 0 1 9 Unit:NT$,,,,
,農、林、漁、牧業生產人員,技 藝 有 關 工 作 人 員,機械設備操作及組裝人員,基 層 技 術 工及  勞  力  工,其  他,,
,"Skilled Agricultural, Forestry and Fishery Workers",Craft and Related Trades Workers,"Plant and Machine Operators, and Assemblers",Elementary Labourers,Others,,
,,,,,,,
家庭戶數,392528.32384,995212.71188,844222.00047,389974.02302,1863791.3958,No. of households,
平均每戶人數,2.81,3.58,3.58,2.91,1.86,No. of persons per household,
平均每戶成年人數,2.46,2.9,2.88,2.48,1.77,No. of adults per household,
平均每戶就業人數,1.69,1.92,1.88,1.57,0.03,No. of persons employed per household,
平均每戶所得收入者人數,1.47,2.02,2.05,1.79,1.21,No. of income recipients per household,
一、所得收入總計,905965.7651,1299932.9698,1234400.7086,927486.23711,626180.37209,A.Total receipts,
1.受僱人員報酬,166092.50222,726557.66514,802646.23129,562301.48189,131512.39965,1.Compensation of employees,
(1)本業薪資,117005.57998,607402.79336,632664.61959,461574.97626,18320.812049,(1)Full time payroll,
