appleL04113年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2024",,113年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分,Table 4. Average Family Income and Expenditure per Household,,,,,第4表 平均每戶家庭收支按經濟戶長職業別分(續一),,,Table 4. Average Family Income and Expenditure per Household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,by Occupation of Household Heads,,,,,,,,by Occupation of Household Heads (Cont.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 113 年,,,單位：元,2 0 2 4 Unit:NT$,,,,,民 國 113 年,,單位：元,2 0 2 4 Unit:NT$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總 平 均,民 意 代 表 、 主管 及 經 理 人 員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務支援人員,服 務 及 銷 售工 作 人 員,,,,農、林、漁、牧業生產人員,技 藝 有 關 工 作 人 員,機械設備操作及組裝人員,基 層 技 術 工及 勞 力 工,其  他,,,,,,,,,,,,,,,,,,,,,,,,,,,
,General average,"Legislators, Senior Officials and Managers",Professionals,Technicians and Associate Professionals,Clerical Support Workers,Service and Sales Workers,,,,"Skilled Agricultural, Forestry and Fishery Workers",Craft and Related Trades Workers,"Plant and Machine Operators, and Assemblers",Elementary Labourers,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家庭戶數,9262020,405043,1041282,1346943,530038,1231160,No. of households,,家庭戶數,312154,941408,820955,341648,2291388,No. of households,,,,,,,,,,,,,,,,,,,,,,,,,,
平均每戶人數,2.78,3.2,3.12,3.2,2.86,2.92,No. of persons per household,,平均每戶人數,2.68,3.41,3.35,2.69,1.78,No. of persons per household,,,,,,,,,,,,,,,,,,,,,,,,,,
平均每戶成年人數,2.4500000000000002,2.61,2.59,2.74,2.59,2.57,No. of adults per household,,平均每戶成年人數,2.44,2.93,2.89,2.38,1.74,No. of adults per household,,,,,,,,,,,,,,,,,,,,,,,,,,
平均每戶就業人數,1.33,1.8,1.66,1.79,1.57,1.73,No. of persons employed per household,,平均每戶就業人數,1.76,1.93,1.86,1.54,0.02,No. of persons employed per household,,,,,,,,,,,,,,,,,,,,,,,,,,
平均每戶所得收入者人數,1.81,1.98,1.99,2.08,2.04,1.85,No. of income recipients per household,,平均每戶所得收入者人數,1.53,2.1,2.11,1.72,1.28,No. of income recipients per household,,,,,,,,,,,,,,,,,,,,,,,,,,
一、所得收入總計(中位數),1197007,2596918,1844582,1627591,1206792,1176358,A.Total receipts(median),,一、所得收入總計(中位數),802838,1371246,1242100,899913,595828,A.Total receipts(median),,,,,,,,,,,,,,,,,,,,,,,,,,
二、所得收入總計(平均數),1409781,2890084,2142696,1844793,1360558,1304899,B.Total receipts(mean),,二、所得收入總計(平均數),1028149,1481514,1384288,1029230,715471,B.Total receipts(mean),,,,,,,,,,,,,,,,,,,,,,,,,,
1.受僱人員報酬,788831,2045088,1562233,1212960,910901,567101,1.Compensation of employees,,1.受僱人員報酬,221382,832634,840212,600251,125903,1.Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,
(1)本業薪資,570836,1494020,1125074,886427,645449,441517,(1)Full time payroll,,(1)本業薪資,145642,683143,654704,500909,14657,(1)Full time payroll,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)兼業薪資,52102,48402,52007,39215,69107,27999,(2)Part time payroll,,(2)兼業薪資,44992,17239,21913,13520,101251,(2)Part time payroll,,,,,,,,,,,,,,,,,,,,,,,,,,
