作者不明2026-08-13T18:05:39.185L04114年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2025",,114年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2025"
,,,,,,,,,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分,Table 4. Average Family Income and Expenditure per Household,第4表 平均每戶家庭收支按經濟戶長職業別分(續一),Table 4. Average Family Income and Expenditure per Household,,,,,,,,,,,,
,,,,,by Occupation of Household Heads,,,,,,,,by Occupation of Household Heads (Cont.1),,
民 國 114 年,,,單位：元,2 0 2 5 Unit:NT$,,,,,民 國 114 年,,單位：元,2 0 2 5 Unit:NT$,,,
,總 平 均,民 意 代 表 、 主管 及 經 理 人 員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務支援人員,服 務 及 銷 售工 作 人 員,,,,農、林、漁、牧業生產人員,技 藝 有 關 工 作 人 員,機械設備操作及組裝人員,基 層 技 術 工及  勞  力  工,其  他,
,General average,"Legislators, Senior Officials and Managers",Professionals,Technicians and Associate Professionals,Clerical Support Workers,Service and Sales Workers,,,,"Skilled Agricultural, Forestry and Fishery Workers",Craft and Related Trades Workers,"Plant and Machine Operators, and Assemblers",Elementary Labourers,Others,
,,,,,,,,,,,,,,,
家庭戶數,9760528,453230,1076667,1462804,584066,1326200,No. of households,,家庭戶數,332632,949028,839172,360329,2376401,No. of households
平均每戶人數,2.69,3.06,3.01,3.1,2.83,2.8,No. of persons per household,,平均每戶人數,2.61,3.25,3.2,2.59,1.75,No. of persons per household
平均每戶成年人數,2.38,2.56,2.49,2.64,2.56,2.49,No. of adults per household,,平均每戶成年人數,2.4,2.83,2.78,2.33,1.71,No. of adults per household
平均每戶就業人數,1.29,1.74,1.61,1.71,1.55,1.69,No. of persons employed per household,,平均每戶就業人數,1.68,1.85,1.8,1.49,0.03,No. of persons employed per household
平均每戶所得收入者人數,1.78,1.96,1.96,2.03,2.03,1.83,No. of income recipients per household,,平均每戶所得收入者人數,1.48,2.05,2.03,1.7,1.3,No. of income recipients per household
一、所得收入總計(中位數),1244069,2611081,2008041,1673706,1288411,1238761,A.Total receipts(median),,一、所得收入總計(中位數),802450,1432371,1315408,977085,575916,A.Total receipts(median)
二、所得收入總計(平均數),1456725,2992970,2236168,1867169,1444556,1377892,B.Total receipts(mean),,二、所得收入總計(平均數),1048827,1540845,1414401,1067432,702399,B.Total receipts(mean)
1.受僱人員報酬,804748,2083458,1596595,1174408,932650,600275,1.Compensation of employees,,1.受僱人員報酬,188712,826236,882821,636640,132806,1.Compensation of employees
(1)本業薪資,581573,1480455,1131646,867772,670610,471584,(1)Full time payroll,,(1)本業薪資,118434,679865,691188,526245,19498,(1)Full time payroll
(2)兼業薪資,51899,39926,55844,37867,57672,27050,(2)Part time payroll,,(2)兼業薪資,47033,19322,20005,21755,103004,(2)Part time payroll
(3)其他收入,171276,563077,409105,268769,204367,101641,(3)Other receipts or subsidies,,(3)其他收入,23245,127049,171628,88640,10304,(3)Other receipts or subsidies
2.產業主所得,162344,284941,130429,217197,46518,343615,2.Entrepreneurial income,,2.產業主所得,391577,270390,131069,45760,447,2.Entrepreneurial income
3.財產所得收入,76980,218282,115865,83685,66928,43052,3. Property income,,3.財產所得收入,39091,39970,27045,22918,95606,3. Property income
4.自用住宅設算租金收入,81909,137962,117559,94444,84983,64264,4.Imputed rent income,,4.自用住宅設算租金收入,50115,72604,70063,48154,73909,4.Imputed rent income
5.經常移轉收入,330711,268322,275716,297430,313436,326640,5.Current transfer receipts,,5.經常移轉收入,379233,331581,303365,313934,399593,5.Current transfer receipts
(1)從私人,75669,47225,56307,55525,70337,60286,(1)From individuals,,(1)從私人,56767,47418,47096,57827,138882,(1)From individuals
(2)從政府,86688,77476,77010,80750,80163,89006,(2)From government,,(2)從政府,150767,96702,96801,97897,78554,(2)From government
(3)社會保險受益,164225,138013,138101,156776,158505,172988,(3)Benefit of social insurance,,(3)社會保險受益,165814,184709,156205,154459,178072,(3)Benefit of social insurance
(4)從企業,3252,2712,2918,3678,3952,3285,(4)From enterprises,,(4)從企業,5884,2541,3262,3051,2995,(4)From enterprises
(5)從國外,878,2896,1379,701,478,1074,(5)From abroad,,(5)從國外,0,212,0,700,1089,(5)From abroad
6.雜項收入,33,5,4,5,41,46,6.Miscellaneous receipts,,6.雜項收入,100,64,38,27,39,6.Miscellaneous receipts
三、非消費支出,246358,645010,455011,340780,249986,203451,C.Nonconsumption expenditures,,三、非消費支出,124174,242810,244236,158752,73275,C.Nonconsumption expenditures
1.利息支出,13555,36367,34027,19383,10840,12622,1.Interest,,1.利息支出,2123,10227,10432,4708,2903,1.Interest
2.經常移轉支出,232803,608643,420984,321397,239145,190829,2.Current transfer expenditures,,2.經常移轉支出,122051,232583,233805,154044,70372,2.Current transfer expenditures
(1)對私人,50978,154106,92136,68702,44921,39571,(1)To private,,(1)對私人,32595,45198,38292,22998,23211,(1)To private
(2)對政府,38178,173112,94113,46626,23651,21287,(2)To government,,(2)對政府,18221,24036,20943,12734,13284,(2)To government
(3)社會保險,141864,269492,231886,202147,170274,128855,(3)Social insurance,,(3)社會保險,71154,162914,174174,116909,33771,(3)Social insurance
(4)對國外,1783,11934,2849,3922,299,1115,(4)To abroad,,(4)對國外,81,436,397,1403,106,(4)To abroad
,,,,,,,,,,,,,,,
