appleL0487年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 1998",,87年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 1998"
,,,,,,,,,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分,Table 4. Average Family Income and Expenditure per Household,,,,,第4表 平均每戶家庭收支按經濟戶長職業別分(續一),,,Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,,by Occupation of Household Heads,,,,,,,,by Occupation of Household Heads (Cont.1),,
民 國 87 年,,,單位：元,1 9 9 8 Unit:NT$,,,,,民 國 87 年,,單位：元,1 9 9 8 Unit:NT$,,,
,總 平 均,民意代表、行政、企業主管及經理人員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務工作人員,服 務 工 作 人    員 及 售 貨 員,,,,農事、畜牧、狩獵、林   業、漁業及有關工作者,技 術 工 及 有     關 工 作 人 員,機 械 設 備 操 作 工 及 組 裝 工,非 技 術 工    及 體 力 工,其  他,
,General average,"Legislators, govern- ment administrators,  business executives and managers",Professionals,Technicians and associate pro-fessionals,Clerks,Service workers and shop and market sales workers,,,,"Agriculturist, animal hus-  bandmen, hunter, forester,    and fishermen",Craft and related      trades workers,Plant and machine operators and assemblers,Elementary occupations,Others,
,,,,,,,,,,,,,,,
家庭戶數,6273056,461254,365700,857995,322092,914695,No. of households,,家庭戶數,399152,948548,925990,290830,786800,No. of households
平均每戶人數,3.77,4.1399999999999997,3.71,3.97,3.66,4.08,No. of persons per household,,平均每戶人數,3.37,4.43,4.21,3.84,1.94,No. of persons per household
平均每戶成年人數,2.59,2.66,2.64,2.68,2.66,2.74,No. of adults per household,,平均每戶成年人數,2.57,2.82,2.76,2.73,1.69,No. of adults per household
平均每戶就業人數,1.64,1.84,1.77,1.78,1.71,1.96,No. of persons employed per household,,平均每戶就業人數,1.91,1.88,1.9,1.88,0.09,No. of persons employed per household
平均每戶所得收入者人數,1.68,1.78,1.83,1.84,1.81,1.62,No. of income recipients per household,,平均每戶所得收入者人數,1.44,1.82,1.87,1.89,1.07,No. of income recipients per household
一、所得收入總計,1070268,1874484,1696150,1359830,1136251,1039519,A.Total receipts,,一、所得收入總計,647125,987530,971609,860919,508775,A.Total receipts
1.受僱人員報酬,622207,1089305,1260542,992741,822775,363849,1.Compensation of employees,,1.受僱人員報酬,172644,613711,610265,557073,142309,1.Compensation of employees
(1)本業薪資,483999,844911,950816,751235,619127,284281,(1)Full time payroll,,(1)本業薪資,137590,530998,496943,466585,51173,(1)Full time payroll
(2)兼業薪資,28495,28794,60308,31221,40385,14802,(2)Part time payroll,,(2)兼業薪資,19018,12961,14432,13224,67344,(2)Part time payroll
(3)其他收入,109713,215600,249418,210284,163263,64766,(3)Other receipts or subsidies,,(3)其他收入,16036,69751,98890,77265,23793,(3)Other receipts or subsidies
2.產業主所得,179353,388819,121302,85361,35939,441307,2.Entrepreneurial income,,2.產業主所得,235625,159580,156956,72435,1382,2.Entrepreneurial income
3.財產所得收入,67698,178183,100927,80687,73869,52227,3. Property income,,3.財產所得收入,39274,37236,34375,35200,91155,3. Property income
4.自用住宅設算租金收入,67018,112408,96477,80741,76210,66977,4.Imputed rent income,,4.自用住宅設算租金收入,40885,59879,58554,51326,45662,4.Imputed rent income
5.經常移轉收入,133756,105367,116639,120122,127167,114917,5.Current transfer receipts,,5.經常移轉收入,158473,116893,111301,144455,228081,5.Current transfer receipts
(1)從私人,40101,29776,29792,32232,40351,28886,(1)From individuals,,(1)從私人,46130,23765,24098,41368,107463,(1)From individuals
(2)從政府,30303,16555,17298,19272,21514,27038,(2)From government,,(2)從政府,48177,29127,25851,37832,58634,(2)From government
(3)社會保險受益,61453,56685,68385,64501,64676,58300,(3)Benefit of social insurance,,(3)社會保險受益,63356,61450,61046,64664,58378,(3)Benefit of social insurance
(4)從企業,1171,1286,806,2939,269,376,(4)From enterprises,,(4)從企業,164,2331,305,579,993,(4)From enterprises
(5)從國外,728,1065,358,1179,355,317,(5)From abroad,,(5)從國外,647,220,0,12,2614,(5)From abroad
6.雜項收入,235,402,264,178,292,243,6.Miscellaneous receipts,,6.雜項收入,223,232,158,430,185,6.Miscellaneous receipts
二、非消費支出,197093,394677,312653,261007,208406,187499,B.Nonconsumption expenditures,,二、非消費支出,105482,181306,181271,141421,69083,B.Nonconsumption expenditures
1.利息支出,46008,91483,66838,59349,47253,54471,1.Interest,,1.利息支出,13507,43770,44383,27126,12851,1.Interest
2.經常移轉支出,151085,303195,245815,201658,161153,133028,2.Current transfer expenditures,,2.經常移轉支出,91975,137535,136888,114295,56232,2.Current transfer expenditures
(1)對私人,48354,91305,82363,64294,52395,45470,(1)To private,,(1)對私人,33118,42809,40043,34217,21106,(1)To private
(2)對政府,31981,94328,70018,48669,33876,23962,(2)To government,,(2)對政府,11902,22250,21925,15287,8025,(2)To government
(3)社會保險,68233,104660,87008,85781,73211,62933,(3)Social insurance,,(3)社會保險,46654,72044,74169,63061,24419,(3)Social insurance
(4)對國外,2516,12902,6426,2915,1671,664,(4)To abroad,,(4)對國外,301,432,751,1731,2681,(4)To abroad
,,,,,,,,,,,,,,,
87年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 1998",,87年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 1998"
,,,,,,,,,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分(續二),,,,Table 4. Average Family Income and Expenditure per Household,,第4表 平均每戶家庭收支按經濟戶長職業別分(續完),,,Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,,by Occupation of Household Heads (Cont.2),,,,,,,,by Occupation of Household Heads (Cont.End),,
民 國 87 年,,,單位：元,1 9 9 8 Unit:NT$,,,,,民 國 87 年,,單位：元,1 9 9 8 Unit:NT$,,,
,總 平 均,民意代表、行政、企業主管及經理人員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務工作人員,服 務 工 作 人    員 及 售 貨 員,,,,農事、畜牧、狩獵、林   業、漁業及有關工作者,技 術 工 及 有     關 工 作 人 員,機 械 設 備 操 作 工 及 組 裝 工,非 技 術 工    及 體 力 工,其  他,
,General average,"Legislators, govern- ment administrators,  business executives and managers",Professionals,Technicians and associate pro-fessionals,Clerks,Service workers and shop and market sales workers,,,,"Agriculturist, animal hus-  bandmen, hunter, forester,    and fishermen",Craft and related      trades workers,Plant and machine operators and assemblers,Elementary occupations,Others,
,,,,,,,,,,,,,,,
三、消費支出,646343,1035264,883133,784928,693777,654440,C.Consumption expenditures,,三、消費支出,412090,625246,603918,539233,362125,C.Consumption expenditures
1.食品費,154588,204522,178417,175328,159753,163048,1.Food,,1.食品費,109738,168833,161020,150951,79026,1.Food
2.飲料費,6891,10293,6505,7180,6266,7521,2.Beverage,,2.飲料費,5531,8099,7068,6680,3391,2.Beverage
3.菸草,5062,5624,2810,4312,3849,5682,3.Tobacco,,3.菸草,5529,6949,6245,5546,2289,3.Tobacco
4.衣著、鞋、襪類,28948,52734,42023,37644,32153,29198,4.Clothing and footwear,,4.衣著、鞋、襪類,16114,27128,27067,22468,11159,4.Clothing and footwear
5.房地租及水費,144962,237063,200684,173521,158124,151543,5.Rent and water charges,,5.房地租及水費,79027,129535,127944,116865,103350,5.Rent and water charges
6.燃料及燈光,18193,23697,20185,19996,18102,19274,6.Fuel and light,,6.燃料及燈光,13914,19277,18971,16956,11259,6.Fuel and light
7.家具及家庭設備,13254,23180,23131,17450,17562,12913,7.Furniture and family facilities,,7.家具及家庭設備,6530,12047,10986,9070,5980,7.Furniture and family facilities
8.家事管理,13727,31816,27945,22150,14322,10850,8.Household operations,,8.家事管理,4690,9035,10209,7471,7122,8.Household operations
9.保健及醫療,66680,71313,67117,67746,71148,65714,9.Health care and medical,,9.保健及醫療,65537,65652,65951,65979,64830,9.Health care and medical
10.運輸交通及通訊,68493,126304,109580,93515,76120,65915,10.Transport and communications,,10.運輸交通及通訊,41899,67031,59579,46198,22078,10.Transport and communications
