appleL03112年家庭收支調查報告,,,,
,,,,
第3表 平均每戶家庭收支按農家、非農家分,,,,
,,,,
民 國 112 年,單位：元,,,
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
,,,,
家庭戶數,9119999,566116,8553883,No. of households
平均每戶人數,2.79,3.06,2.77,No. of persons per household
平均每戶成年人數,2.46,2.76,2.4300000000000002,No. of adults per household
平均每戶就業人數,1.34,1.86,1.3,No. of persons employed per household
平均每戶所得收入者人數,1.8,1.87,1.8,No. of income recipients per household
一、所得收入總計,1375097,1184345,1387721,A.Total receipts
1.受僱人員報酬,758690,411330,781679,1.Compensation of employees
(1)本業薪資,551521,295311,568477,(1)Full time payroll
(2)兼業薪資,48892,39742,49498,(2)Part time payroll
(3)其他收入,158278,76278,163705,(3)Other receipts or subsidies
2.產業主所得,158897,331402,147480,2.Entrepreneurial income
3.財產所得收入,63903,33839,65893,3. Property income
4.自用住宅設算租金收入,78319,58026,79662,4.Imputed rent income
5.經常移轉收入,315252,349699,312973,5.Current transfer receipts
(1)從私人,71691,64907,72140,(1)From individuals
(2)從政府,81178,127971,78082,(2)From government
(3)社會保險受益,158721,152680,159121,(3)Benefit of social insurance
(4)從企業,3282,4142,3225,(4)From enterprises
(5)從國外,380,0,405,(5)From abroad
6.雜項收入,35,50,33,6.Miscellaneous receipts
二、非消費支出,238389,163241,243363,B.Nonconsumption expenditures
1.利息支出,11955,1803,12627,1.Interest
2.經常移轉支出,226434,161438,230735,2.Current transfer expenditures
(1)對私人,49152,31616,50313,(1)To private
(2)對政府,36667,23198,37559,(2)To government
(3)社會保險,139410,105763,141637,(3)Social insurance
(4)對國外,1204,861,1227,(4)To abroad
,,,,
,,,,"The Survey of Family Income and Expenditure, 2023"
,,,,
Table 3. Average Family Income and Expenditure per Household by Farm or Non-farm,,,,
,,,,
2 0 2 3,,,,Unit:NT$
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
,,,,
三、消費支出,861305,741877,869209,C.Consumption expenditures
1.食品及非酒精飲料,122897,134343,122140,1.Food and non-alcoholic beverages
2.菸酒及檳榔,8814,12419,8575,"2.Tobacco,alcoholic beveragesand betel nuts"
3.衣著鞋襪及服飾用品,22829,18335,23126,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,207343,132772,212278,"4.Housing,water,electricity,gas and other fuels"
(1)住宅服務,187197,111798,192187,(1)Rent and residential services
(2)水電費及燃料,20146,20975,20091,"(2)Water,electricity,gas and other fuels"
5.家具設備及家務維護,24780,18786,25177,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,152413,157245,152093,6.Health
7.交通,75700,77074,75609,7.Transport
(1)個人交通工具之購置,11904,9957,12032,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,46882,53689,46431,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,8581,3935,8888,(3)Transport services
(4)汽、機車保險費,8335,9493,8258,(4)Insurance of vehicles
8.通訊,24268,23027,24350,8.Communication
9.休閒與文化,34909,19668,35918,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),11390,4479,11847,(1)Package holidays
(2)娛樂消遣及文化服務,12567,8145,12859,(2)Recreational and cultural services
(3)書報雜誌文具,3313,2543,3364,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,7640,4502,7848,(4)Recreational facilities
10.教育,25162,16789,25716,10.Education
11.餐廳及旅館,119880,90030,121855,11.Restaurants and hotels
12.什項消費,42310,41387,42371,12.Miscellaneous goods and services
可支配所得,1136708,1021104,1144359,Disposable income
消費支出,861305,741877,869209,Consumption expenditures
儲蓄,275402,279227,275149,Saving
所得總額,1443071,1225147,1457493,Current receipts
