appleL03113年家庭收支調查報告,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第3表 平均每戶家庭收支按農家、非農家分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 113 年,單位：元,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總 平 均,農 家,非 農 家,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,General average,Farm,Non-farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家庭戶數,9262020,530806,8731214,No. of households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平均每戶人數,2.78,3.11,2.76,No. of persons per household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平均每戶成年人數,2.4500000000000002,2.84,2.42,No. of adults per household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平均每戶就業人數,1.33,1.98,1.29,No. of persons employed per household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平均每戶所得收入者人數,1.81,1.92,1.8,No. of income recipients per household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一、所得收入總計(中位數),1197007,1069335,1207852,A.Total receipts(median),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二、所得收入總計(平均數),1409781,1221626,1421220,B.Total receipts(mean),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.受僱人員報酬,788831,442983,809856,1.Compensation of employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1)本業薪資,570836,320779,586039,(1)Full time payroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)兼業薪資,52102,35338,53121,(2)Part time payroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(3)其他收入,165892,86866,170697,(3)Other receipts or subsidies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.產業主所得,160166,332291,149701,2.Entrepreneurial income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.財產所得收入,70820,41816,72583,3. Property income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.自用住宅設算租金收入,79968,58653,81264,4.Imputed rent income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.經常移轉收入,309955,345757,307778,5.Current transfer receipts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1)從私人,74555,54414,75779,(1)From individuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)從政府,66079,125000,62497,(2)From government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(3)社會保險受益,165424,162676,165591,(3)Benefit of social insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(4)從企業,3344,2870,3373,(4)From enterprises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(5)從國外,552,797,538,(5)From abroad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.雜項收入,42,126,37,6.Miscellaneous receipts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三、非消費支出,244576,175613,248768,C.Nonconsumption expenditures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.利息支出,13111,2834,13735,1.Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.經常移轉支出,231465,172779,235033,2.Current transfer expenditures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1)對私人,50154,33077,51193,(1)To private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)對政府,38274,23718,39159,(2)To government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(3)社會保險,141512,115671,143083,(3)Social insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(4)對國外,1525,313,1598,(4)To abroad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"The Survey of Family Income and Expenditure, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3. Average Family Income and Expenditure per Household by Farm or Non-farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 0 2 4,,,,Unit:NT$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總 平 均,農 家,非 農 家,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,General average,Farm,Non-farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、消費支出,888699,776191,895538,D.Consumption expenditures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.食品及非酒精飲料,126971,142901,126002,1.Food and non-alcoholic beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.菸酒及檳榔,8971,12391,8763,"2.Tobacco,alcoholic beverages and betel nuts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.衣著鞋襪及服飾用品,23285,18379,23584,3.Clothing and footwear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.住宅服務、水電瓦斯及其他燃料,212957,141407,217307,"4.Housing,water,electricity,gas and other fuels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1)住宅服務,192200,119341,196629,(1)Rent and residential services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)水電費及燃料,20757,22066,20677,"(2)Water,electricity,gas and other fuels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.家具設備及家務維護,25932,20656,26252,"5.Furnishings,household equipmentand routine household maintenance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.醫療保健,131147,136237,130837,6.Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.交通,68484,68948,68455,7.Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1)個人交通工具之購置,12277,10095,12410,(1)Purchase of vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)個人交通設備管理維護,46513,54366,46035,(2)Operation of personal transport equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(3)客運與貨物運輸服務,9694,4487,10010,(3)Passenger and goods transport services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.資通訊,33816,31440,33961,8.Information and communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.休閒、運動與文化,32310,18144,33172,"9.Recreation,sport and culture",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1)套裝旅遊(不含自助旅遊),15128,7654,15583,(1)Package holidays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)休閒、運動與文化用品,4416,3117,4495,"(2)Recreational,sporting and cultural goods",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(3)休閒、運動與文化服務,9603,4911,9889,"(3)Recreational,sporting and cultural services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(4)書報雜誌文具,3163,2462,3206,"(4)Newspapers,books and stationery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.教育,23582,13575,24190,10.Education services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.餐廳及住宿,122100,99187,123493,11.Restaurants and accommodation services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.保險及金融服務,41288,37516,41517,12.Insurance and financial services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.其他,37856,35411,38005,13.Miscellaneous goods and services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可支配所得(平均數),1165206,1046013,1172452,Disposable income(mean),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可支配所得(中位數),984749,906459,991769,Disposable income(median),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
消費支出,888699,776191,895538,Consumption expenditures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
儲蓄,276507,269822,276914,Saving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
所得總額,1479692,1268303,1492543,Current receipts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
