作者不明2026-08-17T15:14:19L03114年家庭收支調查報告,,,,
,,,,
第3表 平均每戶家庭收支按農家、非農家分,,,,
,,,,
民 國 114 年,單位：元,,,
,,,,
,總平均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
,,,,
家庭戶數,9760528,528810,9231718,No. of households
平均每戶人數,2.69,2.89,2.68,No. of persons per household
平均每戶成年人數,2.38,2.67,2.36,No. of adults per household
平均每戶就業人數,1.29,1.83,1.26,No. of persons employed per household
平均每戶所得收入者人數,1.78,1.77,1.79,No. of income recipients per household
一、所得收入總計(中位數),1244069,1039017,1256077,A.Total receipts(median)
二、所得收入總計(平均數),1456725,1240697,1469099,B.Total receipts(mean)
1.受僱人員報酬,804748,407335,827512,1.Compensation of employees
(1)本業薪資,581573,302155,597578,(1)Full time payroll
(2)兼業薪資,51899,39221,52625,(2)Part time payroll
(3)其他收入,171276,65959,177309,(3)Other receipts or subsidies
2.產業主所得,162344,356418,151227,2.Entrepreneurial income
3.財產所得收入,76980,42310,78966,3. Property income
4.自用住宅設算租金收入,81909,56545,83362,4.Imputed rent income
5.經常移轉收入,330711,377990,328003,5.Current transfer receipts
(1)從私人,75669,52734,76982,(1)From individuals
(2)從政府,86688,148048,83173,(2)From government
(3)社會保險受益,164225,172519,163750,(3)Benefit of social insurance
(4)從企業,3252,4688,3170,(4)From enterprises
(5)從國外,878,0,928,(5)From abroad
6.雜項收入,33,99,30,6.Miscellaneous receipts
三、非消費支出,246358,160131,251297,C.Nonconsumption expenditures
1.利息支出,13555,2428,14192,1.Interest
2.經常移轉支出,232803,157703,237105,2.Current transfer expenditures
(1)對私人,50978,34672,51912,(1)To private
(2)對政府,38178,22043,39103,(2)To government
(3)社會保險,141864,100751,144219,(3)Social insurance
(4)對國外,1783,237,1871,(4)To abroad
,,,,
,,,,"The Survey of Family Income and Expenditure, 2025"
,,,,
Table 3. Average Family Income and Expenditure per Household by Farm or Non-farm,,,,
,,,,
2 0 2 5,,,,Unit:NT$
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
,,,,
四、消費支出,920397,772424,928873,D.Consumption expenditures
1.食品及非酒精飲料,132660,141884,132132,1.Food and non-alcoholic beverages
2.菸酒及檳榔,8696,14522,8362,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,23698,17238,24068,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,221718,140876,226348,"4.Housing,water,electricity,gas and other fuels"
(1)住宅服務,200883,118981,205575,(1)Rent and residential services
(2)水電費及燃料,20834,21896,20773,"(2)Water,electricity,gas and other fuels"
5.家具設備及家務維護,25889,19850,26235,"5.Furnishings,household equipment        and routine household maintenance"
6.醫療保健,129564,142596,128817,6.Health
7.交通,70659,63484,71070,7.Transport
(1)個人交通工具之購置,12485,6268,12841,(1)Purchase of vehicles
(2)個人交通設備管理維護,46419,52075,46095,(2)Operation of personal transport equipment
(3)客運與貨物運輸服務,11754,5141,12133,(3)Passenger and goods transport services
8.資通訊,34220,30032,34460,8.Information and communication
9.休閒、運動與文化,38638,19451,39737,"9.Recreation,sport and culture"
(1)套裝旅遊(不含自助旅遊),19599,9838,20158,(1)Package holidays
(2)休閒、運動與文化用品,5094,2786,5226,"(2)Recreational,sporting and cultural goods"
(3)休閒、運動與文化服務,10815,4624,11169,"(3)Recreational,sporting and cultural services"
(4)書報雜誌文具,3130,2203,3183,"(4)Newspapers,books and stationery"
10.教育,22398,11714,23010,10.Education services
11.餐廳及住宿,130580,97427,132479,11.Restaurants and accommodation services
12.保險及金融服務,41607,34924,41990,12.Insurance and financial services
13.其他,40070,38424,40165,13.Miscellaneous goods and services
可支配所得(平均數),1210367,1080566,1217803,Disposable income(mean)
可支配所得(中位數),1017802,908959,1029617,Disposable income(median)
消費支出,920397,772424,928873,Consumption expenditures
儲蓄,289970,308141,288930,Saving
所得總額,1528597,1284253,1542593,Current receipts
