appleL0394年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2005"
,,,,,,,
第3表 平均每戶家庭收支按農家、非農家及都市化程度別分,Table 3. Average Family Income and Expenditure per Household,,,,,,
,,,,by Farm or Non-farm and Degree of Urbanization,,,
民 國 94 年,,,單位：元,2 0 0 5,Unit:NT$,,
,,,,都  市  化  程  度,,,
,總 平 均,農 家,非 農 家,Degree   of   urbanization,,,
,General average,Farm,Non-farm,都 市,城 鎮,鄉 村,
,City,Town,Village,,,,
,,,,,,,
家庭戶數,7206883,590554,6616329,5937560,1081259,188064,No. of households
平均每戶人數,3.42,3.76,3.39,3.42,3.52,3.04,No. of persons per household
平均每戶成年人數,2.57,2.9,2.54,2.56,2.64,2.37,No. of adults per household
平均每戶就業人數,1.51,2.08,1.46,1.5,1.56,1.48,No. of persons employed per household
平均每戶所得收入者人數,1.64,1.76,1.63,1.64,1.64,1.36,No. of income recipients per household
一、所得收入總計,1082168,838585,1103909,1144103,823687,612850,A.Total receipts
1.受僱人員報酬,628527,319559,656104,679584,423251,196755,1.Compensation of employees
(1)本業薪資,474690,257872,494043,508210,344760,163423,(1)Full time payroll
(2)兼業薪資,38729,15803,40775,43589,16431,13480,(2)Part time payroll
(3)其他收入,115107,45883,121286,127785,62060,19851,(3)Other receipts or subsidies
2.產業主所得,163882,242971,156823,167190,143588,176130,2.Entrepreneurial income
3.財產所得收入,46789,22019,49000,53332,16581,13877,3. Property income
4.自用住宅設算租金收入,63480,44717,65155,68314,43047,28354,4.Imputed rent income
5.經常移轉收入,179313,209055,176658,175514,197000,197536,5.Current transfer receipts
(1)從私人,50542,50687,50529,50653,49216,54683,(1)From individuals
(2)從政府,39030,67075,36526,34716,57951,66425,(2)From government
(3)社會保險受益,86911,89718,86661,87074,87988,75567,(3)Benefit of social insurance
(4)從企業,1564,690,1642,1702,993,515,(4)From enterprises
(5)從國外,1265,886,1299,1370,852,346,(5)From abroad
6.雜項收入,177,264,169,168,221,199,6.Miscellaneous receipts
二、非消費支出,187594,127912,192921,201153,130133,89878,B.Nonconsumption expenditures
1.利息支出,20469,5881,21771,23236,8167,3833,1.Interest
2.經常移轉支出,167125,122031,171150,177916,121966,86045,2.Current transfer expenditures
(1)對私人,52794,39385,53991,56344,36974,31696,(1)To private
(2)對政府,35835,21457,37118,39124,21947,11821,(2)To government
(3)社會保險,75224,59668,76613,78554,62664,42312,(3)Social insurance
(4)對國外,3271,1521,3428,3895,381,216,(4)To abroad
,,,,,,,
94年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2005"
,,,,,,,
第3表 平均每戶家庭收支按農家、非農家及都市化程度別分(續),Table 3. Average Family Income and Expenditure per Household,,,,,,
,,,,by Farm or Non-farm and Degree of Urbanization (Cont.),,,
民 國 94 年,,,單位：元,2 0 0 5,Unit:NT$,,
,,,,都  市  化  程  度,,,
,總 平 均,農 家,非 農 家,Degree   of   urbanization,,,
,General average,Farm,Non-farm,都 市,城 鎮,鄉 村,
,City,Town,Village,,,,
,,,,,,,
三、消費支出,701076,563863,713324,738553,545013,415148,C.Consumption expenditures
1.食品費,153072,136862,154519,158624,130283,108810,1.Food
2.飲料費,6461,6961,6417,6549,6006,6319,2.Beverage
3.菸草,6091,7592,5957,5896,7029,6863,3.Tobacco
4.衣著、鞋、襪類,23863,17321,24447,25455,17326,11205,4.Clothing and footwear
5.房地租及水費,144110,94542,148534,156662,89259,63181,5.Rent and water charges
6.燃料及燈光,19455,18152,19572,19975,17540,14046,6.Fuel and light
7.家具及家庭設備,12233,8992,12522,13067,8731,6019,7.Furniture and family facilities
8.家事管理,13109,5399,13798,14568,6547,4799,8.Household operations
9.保健及醫療,93982,99212,93516,94302,93454,86935,9.Health care and medical
10.運輸交通及通訊,88037,70923,89565,92127,73196,44233,10.Transport and communications
(1)交通及通訊工具之購置,12642,7763,13078,13679,8901,1430,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,40319,36694,40643,41425,37123,23793,(2)Operation of transport equipment
(3)乘交通設備之費用,8112,5822,8316,8663,5590,5207,(3)Purchased transportation
(4)其他通訊費,22041,16049,22576,23303,16991,11242,(4)Other communications
(5)汽機車保險費支出,4922,4594,4952,5057,4592,2562,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,91059,60287,93806,98577,59696,34039,"11.Recreation ,education and culture"
(1)旅遊費用,20951,12179,21734,23345,10335,6405,(1)Traveling
(2)娛樂消遣服務,9433,6134,9727,10116,6440,5076,(2)Recreation service
(3)書報雜誌文具,4419,2849,4559,4798,2822,1623,(3)Books and stationery
(4)娛樂器材及附屬品,8485,4993,8797,9263,5153,3077,(4)Recreation facilities
(5)教育與研究費,47772,34131,48990,51056,34945,17858,(5)Education and research
12.什項消費,49602,37621,50671,52751,35946,28700,12.Miscellaneous
可支配所得,894574,710673,910988,942950,693554,522972,Disposable income
消費支出,701076,563863,713324,738553,545013,415148,Consumption expenditures
儲蓄,193497,146810,197665,204398,148541,107824,Saving
所得總額,1133642,872677,1156935,1200172,854990,635243,Current receipts
