appleL17,,,,"The Survey of Family Income and Expenditure, 2002"
,,,,
第6表 所得收入者人數按性別及可支配所得組別分,,,,
Table 6. Numbers of Income Recipients by Sex,,,,
and Disposable Income Groups,,,,
,,,,單位：人
,民 國 91 年,,2 0 0 2,Unit：persons
可支配所得組別,合 計Total,性 別 Sex,Disposable income groups,
,,,,
男,女,,,
Male,Female,,,
總   計,11297826,7019901,4277925,Total
"未滿160,000元",771271,410815,360456,"Under NT$160,000"
"160,000～179,999",244530,126357,118173,"160,000～179,999"
"180,000～199,999",270691,143357,127334,"180,000～199,999"
"200,000～219,999",344718,157786,186932,"200,000～219,999"
"220,000～239,999",409981,168689,241293,"220,000～239,999"
"240,000～259,999",478244,201293,276952,"240,000～259,999"
"260,000～279,999",422773,201476,221297,"260,000～279,999"
"280,000～299,999",408858,188401,220457,"280,000～299,999"
"300,000～319,999",452723,236057,216666,"300,000～319,999"
"320,000～339,999",443442,233015,210427,"320,000～339,999"
"340,000～359,999",444918,244811,200107,"340,000～359,999"
"360,000～379,999",405732,227297,178436,"360,000～379,999"
"380,000～399,999",427078,267870,159208,"380,000～399,999"
"400,000～419,999",410715,258175,152541,"400,000～419,999"
"420,000～439,999",330361,225258,105103,"420,000～439,999"
"440,000～459,999",328356,213633,114723,"440,000～459,999"
"460,000～479,999",322794,219857,102938,"460,000～479,999"
"480,000～499,999",301356,214547,86809,"480,000～499,999"
"500,000～519,999",277131,194328,82803,"500,000～519,999"
"520,000～539,999",245006,177101,67905,"520,000～539,999"
"540,000～559,999",245572,183824,61749,"540,000～559,999"
"560,000～579,999",225635,167077,58559,"560,000～579,999"
"580,000～599,999",220544,164068,56476,"580,000～599,999"
"600,000～619,999",176316,129947,46368,"600,000～619,999"
"620,000～639,999",163921,122194,41727,"620,000～639,999"
"640,000～659,999",157497,115358,42139,"640,000～659,999"
"660,000～689,999",235360,182593,52767,"660,000～689,999"
"690,000～719,999",212434,161658,50776,"690,000～719,999"
"720,000～749,999",183994,141248,42746,"720,000～749,999"
"750,000～789,999",229472,170385,59087,"750,000～789,999"
"790,000～829,999",194147,143222,50926,"790,000～829,999"
"830,000～879,999",193979,141675,52304,"830,000～879,999"
"880,000～939,999",190032,141347,48686,"880,000～939,999"
"940,000～999,999",166983,129868,37115,"940,000～999,999"
"1,000,000～1,069,999",148230,115794,32435,"1,000,000～1,069,999"
"1,070,000～1,149,999",127876,94312,33564,"1,070,000～1,149,999"
"1,150,000～1,249,999",107158,86869,20289,"1,150,000～1,249,999"
"1,250,000～1,399,999",109199,88473,20726,"1,250,000～1,399,999"
"1,400,000～1,799,999",150244,128213,22031,"1,400,000～1,799,999"
"1,800,000～2,499,999",66327,58626,7701,"1,800,000～2,499,999"
"2,500,000元及以上",52225,43030,9195,"Above $2,500,000"
