appleL1696年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2007",,96年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2007"
第5表 所得收入者平均每人可支配所得依可支配所得按所得收入者五等分位分及性別、年齡別、教育程度別分,"Table 5. Average Disposable Income per Income Recipient by Five EqualDivisions of Recipients according to Disposable Incomeand Sex, Age and Educational Attainment",,第5表 所得收入者平均每人可支配所得依可支配所得按所得收入者五等分位分及性別、年齡別、教育程度別分(續),"Table 5. Average Disposable Income per Income Recipient by Five EqualDivisions of Recipients according to Disposable Incomeand Sex, Age and Educational Attainment (Cont.)",,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
民 國 96 年,,,單位：人；元,2 0 0 7 Unit:Person;NT$,,,,,民 國 96 年,,,單位：人；元,2 0 0 7 Unit:Person;NT$,,,
,總    平    均,,依 可 支 配 所 得,按 所 得 收 入 者 五 等 分 位 分,,,,依  可  支  配  所  得,按 所 得 收 入 者 五 等 分 位 分,,,,,,,
,General   average,,Five equal divisions,of recipients according to disposable income,,,,Five equal divisions of,recipients according to disposable income,,,,,,,
,人   數,平均每人所得,1,,2,,,,,3,,4,,5,,
,No. of income,Average disposable,人   數,平均每人所得,人   數,平均每人所得,,,,人   數,平均每人所得,人   數,平均每人所得,人   數,平均每人所得,
,recipients,income,No. of income recipients,Average disposable income,No. of income recipients,Average disposable income,,,,No. of income recipients,Average disposable income,No. of income recipients,Average disposable income,No. of income recipients,Average disposable income,
,,,,,,,,,,,,,,,,
全 體 所 得 收 入 者,12285858,521714,2457172,190065,2457172,322049,All income recipients,,全 體 所 得 收 入 者,2457172,431576,2457172,590373,2457170,1074508,All income recipients
按 性 別 分,,,,,,,Sex,,按 性 別 分,,,,,,,Sex
男,7465600,580712,1177473,186658,1162058,324452,Male,,男,1487416,433789,1759281,592140,1879371,1091631,Male
女,4820258,430339,1279699,193200,1295114,319893,Female,,女,969756,428182,697891,585919,577799,1018815,Female
按 年 齡 組 別 分,,,,,,,Age,,按 年 齡 組 別 分,,,,,,,Age
未 滿 30 歲,2061314,384448,450665,199209,684000,323489,Under 30 years,,未 滿 30 歲,555136,427488,273021,574871,98492,884935,Under 30 years
30 ～ 34 歲,1360457,498105,149873,208409,307575,325207,30～34 years,,30 ～ 34 歲,354191,432268,355549,586862,193269,955280,30～34 years
35 ～ 39 歲,1379785,578297,153219,209165,243456,326983,35～39 years,,35 ～ 39 歲,282026,433443,361060,591728,340025,1030454,35～39 years
40 ～ 44 歲,1500097,583491,201567,197956,238520,321154,40～44 years,,40 ～ 44 歲,313918,431954,344581,594378,401510,1042016,40～44 years
45 ～ 54 歲,2829067,621743,414036,189483,442666,321729,45～54 years,,45 ～ 54 歲,476940,434582,635495,594480,859929,1108258,45～54 years
55 ～ 64 歲,1503660,597907,300545,179507,251974,317418,55～64 years,,55 ～ 64 歲,252771,432874,290298,594504,408073,1183899,55～64 years
65 歲 及 以 上,1651478,368378,787268,179938,288982,316390,65 years and over,,65 歲 及 以 上,222191,429856,197167,589373,155871,1049351,65 years and over
按 教 育 程 度 別 分,,,,,,,Educational attainment,,按 教 育 程 度 別 分,,,,,,,Educational attainment
國 小 及 以 下,2393648,350567,1074044,179090,511407,317696,Primary school and below,,國 小 及 以 下,377988,429578,278860,586490,151349,1046507,Primary school and below
國 （初） 中 （初 職）,1802067,444542,421802,196697,418194,318096,Junior middle (vocational),,國 （初） 中 （初 職）,405084,429036,357020,582969,199966,1016042,Junior middle (vocational)
高 中,1097158,508582,170119,203427,246061,324321,High school,,高 中,247672,431814,249473,593350,183833,1025996,High school
高 職,2750761,484658,458899,199070,704008,323627,Senior vocational school,,高 職,624538,431498,548279,588100,415038,1016917,Senior vocational school
專 科,1740704,619417,136850,208932,284427,325608,Junior college,,專 科,364862,432647,441859,593197,512705,1047486,Junior college
大 學 及 以 上,2501520,719597,195458,190080,293074,326134,College and above,,大 學 及 以 上,437028,434742,581681,595501,994279,1137473,College and above
